Electorate Candidate Votes and Turnout by Electorate,,,,,,,,,,,,,,
,,,,,,Electorate Candidate Votes Cast,,,,,,Percentage of,,
,Valid Votes Cast,,,Informal Votes Cast,,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected to Total Votes Cast,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
Albany,31876,3645,35521,187,51,238,0,711,36470,40846,49624,89.29,49.66,0.67
Aoraki,30825,2176,33001,253,35,288,0,245,33534,37625,51904,89.13,41.02,0.87
Auckland Central,28110,5304,33414,226,60,286,0,1792,35492,38697,49371,91.72,36.57,0.85
Banks Peninsula,34677,3480,38157,198,30,228,0,528,38913,42660,52626,91.22,41.13,0.59
Bay of Plenty,30186,2476,32662,205,41,246,0,821,33729,38512,54131,87.58,42.63,0.75
Christchurch Central,26212,3803,30015,399,77,476,0,986,31477,36087,49737,87.23,32.28,1.56
Christchurch East,29084,2684,31768,302,58,360,0,644,32772,37091,50352,88.36,35.17,1.12
Clutha-Southland,29325,2026,31351,181,21,202,0,448,32001,37033,53615,86.41,47.09,0.64
Coromandel,32985,2717,35702,339,55,394,0,648,36744,41377,50563,88.8,33.64,1.09
Dunedin North,30459,3,33211,327,59,386,0,526,34123,37732,52756,90.44,52.32,1.15
Dunedin South,32876,2393,35269,229,40,269,0,485,36023,39814,53164,90.48,36.37,0.76
Epsom,30923,5129,36052,172,60,232,0,1235,37519,41020,52315,91.47,69.95,0.64
Hamilton East,29176,3,32463,205,49,254,0,795,33512,37550,50443,89.25,43.19,0.78
Hamilton West,29613,3164,32777,193,28,221,0,875,33873,38661,54385,87.62,38.73,0.67
Hunua,27783,2922,30705,176,49,225,0,923,31853,36135,49308,88.15,38.93,0.73
Hutt South,28378,2794,31172,280,58,338,0,763,32273,35605,52481,90.64,44.99,1.07
Ilam,34094,3321,37415,313,42,355,0,601,38371,42098,53693,91.15,44.26,0.94
Invercargill,29102,2400,31502,184,23,207,0,326,32035,36482,53804,87.81,48.83,0.65
Kaikoura,30952,2773,33725,259,32,291,0,448,34464,38995,49644,88.38,41.09,0.86
Karapiro,29588,2424,32012,183,22,205,0,481,32698,38102,54294,85.82,46.52,0.64
Mahia,25216,2311,27527,233,33,266,0,669,28462,32517,49358,87.53,39.11,0.96
Mana,24794,2812,27606,243,60,303,0,842,28751,31620,49544,90.93,41.32,1.09
Mangere,20839,2896,23735,395,74,469,0,1636,25840,30219,50280,85.51,55.94,1.94
Manukau East,28947,3587,32534,340,58,398,0,1464,34396,38973,49408,88.26,46.93,1.21
Manurewa,22446,2820,25266,174,35,209,0,1499,26974,31484,49389,85.68,55.47,0.82
Maungakiekie,27715,4356,32071,314,86,400,0,1935,34406,38309,53281,89.81,36.24,1.23
Napier,29621,2596,32217,337,57,394,0,597,33208,37146,51111,89.4,55.11,1.21
Nelson,32080,2504,34584,136,29,165,0,415,35164,39890,49832,88.15,59.22,0.47
New Lynn,27509,3098,30607,258,59,317,0,1344,32268,36295,49521,88.9,50.29,1.03
New Plymouth,31103,2539,33642,175,30,205,0,389,34236,38822,53739,88.19,61.67,0.61
North Shore,32496,3756,36252,182,43,225,0,765,37242,41193,51678,90.41,43.48,0.62
Northcote,30247,3351,33598,221,42,263,0,863,34724,38926,51448,89.21,41.01,0.78
Northland,26624,2481,29105,155,35,190,0,758,30053,34583,49644,86.9,44.78,0.65
Ohariu-Belmont,29222,3264,32486,634,105,739,0,576,33801,37135,50828,91.02,48.99,2.22
Otago,33032,2908,35940,246,38,284,0,628,36852,41202,53893,89.44,37.96,0.78
Otaki,32315,2641,34956,176,50,226,0,677,35859,39760,52211,90.19,40.57,0.64
Owairaka,28338,4251,32589,350,79,429,0,1560,34578,38108,52765,90.74,51.2,1.3
Pakuranga,30934,2933,33867,269,31,300,0,643,34810,38882,52289,89.53,56.65,0.88
Palmerston North,30159,2971,33130,208,64,272,0,601,34003,38389,23653,88.57,55.28,0.81
Port Waikato,26039,2565,28604,214,52,266,0,751,29621,34194,49368,86.63,43.8,0.92
Rakaia,31176,2590,33766,249,30,279,0,348,34393,38998,50443,88.19,44.6,0.82
Rangitikei,30121,2329,32450,184,28,212,0,494,33156,37581,53776,88.23,33.67,0.65
Rimutaka,28779,2541,31320,174,49,223,0,544,32087,35581,53232,90.18,37.24,0.71
Rodney,34978,3325,38303,345,59,404,0,753,39460,44245,51537,89.19,39.46,1.04
Rongotai,30776,4318,35094,306,77,383,0,1200,36677,40424,54038,90.73,51.87,1.08
Rotorua,27131,2454,29585,168,30,198,0,798,30581,34517,51204,88.6,40.98,0.66
Tamaki,27931,3896,31827,269,89,358,0,1258,33443,36653,49394,91.24,46.62,1.11
Taranaki-King Country,25284,2070,27354,221,36,257,0,503,28114,32673,51377,86.05,54.5,0.93
Taupo,26104,2491,28595,188,46,234,0,821,29650,34637,53006,85.6,38.94,0.81
Tauranga,34803,3212,38015,201,43,244,0,723,38982,43735,52011,89.13,49.97,0.64
