Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,
Electorate,National Party,,Labour Party,,New Zealand First Party,,Alliance,,ACT New Zealand,,United New Zealand Party,,Christian Coalition,,Other,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Albany,17639,49.66,3753,10.57,5992,16.87,4621,13.01,1820,5.12,0,0,942,2.65,754,2.12,35521
Aoraki,10606,32.14,13538,41.02,4595,13.92,3021,9.15,531,1.61,0,0,635,1.92,75,0.23,33001
Auckland Central,7462,22.33,12219,36.57,1565,4.68,8866,26.53,1848,5.53,0,0,398,1.19,1056,3.16,33414
Banks Peninsula,15694,41.13,11316,29.66,1782,4.67,7235,18.96,571,1.511,0,0,808,2.12,751,1.97,38157
Bay of Plenty,13923,42.63,5354,16.39,8770,26.85,2609,7.99,359,1.1,0,0,1253,3.84,394,1.21,32662
Christchurch Central,9036,30.1,9689,32.28,3067,10.22,6377,21.25,953,3.18,224,0.75,0,0,669,2.23,30015
Christchurch East,8216,25.86,11174,35.17,2970,9.35,7305,22.99,569,1.79,0,0,0,0,1.534,4.83,31768
Clutha-Southland,14764,47.09,5721,18.25,5075,16.19,2326,7.42,2049,6.54,0,0,1060,3.38,356,1.14,31351
Coromandel,12011,33.64,4255,11.92,7932,22.22,9561,26.78,833,2.33,433,1.21,0,0,677,1.9,35702
Dunedin North,7168,21.58,17375,52.32,1824,5.49,4488,13.51,1157,3.48,553,1.67,0,0,646,1.95,33211
Dunedin South,5859,16.61,12829,36.37,1782,5.05,8553,24.25,505,1.43,5058,14.34,0,0,683,1.94,35269
Epsom,25217,69.95,4575,12.69,1342,3.72,1787,4.96,1134,3.15,78,0.22,577,1.6,1342,3.72,36052
Hamilton East,14020,43.19,11673,35.96,2920,8.99,1684,5.19,578,1.78,0,0,798,2.46,790,2.43,32463
Hamilton West,12696,38.73,12099,36.91,3861,11.78,1738,5.3,725,2.21,0,0,1043,3.18,615,1.88,32777
Hunua,11953,38.93,5049,16.44,3267,10.64,1682,5.48,739,2.41,6855,22.33,1017,3.31,143,0.47,30705
Hutt South,11.567,37.11,14023,44.99,2042,6.55,2125,6.82,684,2.19,222,0.71,0,0,509,1.63,31172
Ilam,16.561,44.26,6471,17.3,2707,7.24,5229,13.98,892,2.38,5447,14.56,0,0,108,0.29,37415
lnvercargill,11148,35.39,15383,48.83,2302,7.31,1536,4.88,441,1.4,111,0.35,0,0,581,1.84,31502
Kaikourn,13858,41.09,7946,23.56,5332,15.81,5275,15.64,731,2.17,0,0,0,0,583,1.73,33725
Karapiro,14893,46.52,5526,17.26,4898,15.3,3245,10.14,1561,4.88,408,1.27,1055,3.3,426,1.33,32012
Mallia,9788,35.56,10766,39.11,2910,10.57,1763,6.4,1848,6.71,0,0,0,0,452,1.64,27527
Mana,7786,28.2,11408,41.32,3128,11.33,2472,8.95,697,2.52,0,0,902,3.27,1213,4.39,27606
Mangere,3960,16.68,13277,55.94,1972,8.31,3190,13.44,409,1.72,94,0.4,563,2.37,270,1.14,23735
Manukau  East,10686,32.85,15269,46.93,2361,7.26,1108,3.41,1058,3.25,292,0.9,0,0,1760,5.41,32534
Manurewa,5442,21.54,14015,55.47,2.24,8.87,1492,5.91,555,2.2,378,1.5,781,3.09,363,1.44,25266
Maungakickie,11621,36.24,11393,35.52,4031,12.57,3188,9.94,965,3.01,200,0.62,0,0,673,2.1,32071
Napier,7610,23.62,17756,55.11,2567,7.97,2865,8.89,1285,3.99,0,0,0,0,134,0.42,32217
Nelson,20481,59.22,8057,23.3,1510,4.37,3.171,9.17,251,0.73,0,0,749,2.17,365,1.06,34584
New Lynn,8254,26.97,15392,50.29,2616,8.55,3554,11.61,0,0,128,0.42,0,0,663,2.17,30607
New Plymouth,9213,27.39,20746,61.67,1771,5.26,1277,3.8,391,1.16,0,0,0,0,244,0.73,33642
North Shore,15763,43.48,4375,12.07,4165,11.49,4897,13.51,5415,14.94,0,0,780,2.15,857,2.36,36252
Northcote,13779,41.01,9216,27.43,2875,8.56,3923,11.68,1235,3.68,1955,5.82,0,0,615,1.83,33598
Northland,13033,44.78,2825,9.71,7117,24.45,3515,12.08,589,2.02,0,0,738,2.54,1288,4.42,29105
