Part V - Electorate Summary of Votes for Registered Parties,,,,,,,,,,,,,,,,,,,,,,,
,XXX,,,,,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Advance NZ,Alliance,Animals First,Aoteroa Legalise Cannabis Party,Asia Pacific United Party,Christian Coalition,Ethnic Minority Party,Green Society,Labour Party,Mana Maori Movement,McGillicuddy Serious,Natural Law Party,NZ Conservative Party,New Zealand First Party,National Party,NZ Superannutants and Youth Action,Progressive Greens,Te Tawharau,Libertariannz,United Future,Total Valid Party Votes,Informal Party Votes
Albany,3910,55,2288,61,507,4,1603,69,16,7221,1,88,50,7,3536,15812,18,121,0,15,303,35685,74
Aoraki,1677,6,4491,42,615,0,1211,3,17,10088,2,85,25,6,3802,10861,12,40,0,1,184,33168,121
Auckland Central,3393,14,3855,90,1003,21,598,40,110,12465,32,129,70,5,2307,8945,14,229,3,41,199,33563,137
Banks Peninsula,2378,3,5352,43,511,1,1650,12,24,10597,15,81,84,2,2839,14284,10,72,0,3,336,38297,88
Bay of Plenty,1513,4,2732,51,446,1,1884,1,17,7016,19,108,44,12,7237,11387,33,65,42,10,169,32791,117
Christchurch Central,1517,3,4372,85,931,1,1162,10,19,9967,11,102,66,8,2434,9355,16,106,1,7,226,30399,92
Christchurch East,971,197,5418,59,618,4,1494,8,17,11675,4,51,38,3,2805,8480,13,48,1,3,128,32035,93
Clutha-Southland,1901,2,2345,37,390,2,2147,2,15,6058,2,133,24,14,4709,13449,11,33,0,10,181,31465,88
Coromandel,1710,5,4561,48,576,5,1877,5,23,7823,5,116,64,14,7251,11476,43,79,3,20,276,35980,116
Dunedin North,1452,4,4648,75,1100,8,1198,12,28,13449,20,120,56,5,2224,8304,7,63,0,6,718,33497,100
Dunedin South,901,37,4979,60,668,2,1150,6,19,14253,9,69,26,8,2929,9241,12,107,0,4,942,35422,116
Epsom,7976,14,1569,98,427,11,1116,219,54,6935,11,91,53,8,2067,14870,15,149,0,58,451,36192,92
Hamilton East,2088,4,2757,63,430,5,1734,31,16,8219,29,123,63,9,3604,13029,47,88,0,19,279,32637,80
Hamilton West,1674,8,2651,62,457,2,1735,17,17,8754,32,84,53,3,4459,12584,37,95,1,11,183,32919,79
Hunua,2170,7,1938,69,492,2,1328,31,18,6569,6,86,27,3,4237,12932,15,83,1,15,805,30834,96
Hutt South,1609,2,3314,61,382,21,1443,14,15,10633,9,102,14,4,2618,10562,53,47,1,10,473,31387,123
Ilam,3203,2,3119,42,375,4,1582,27,15,8663,3,79,28,7,2887,16835,11,53,0,3,752,37690,80
Invercargill,921,6,3083,47,521,2,1495,1,69,10459,4,105,49,14,3757,10825,11,60,4,8,153,31594,115
Kaikoura,1970,6,4522,43,378,3,1496,0,24,7813,3,125,112,8,4849,12280,5,80,0,5,199,33921,95
Karapiro,2446,8,2385,57,317,0,1650,5,22,5778,14,86,50,10,5230,13713,21,50,0,10,280,32132,85
Mahia,1879,10,2787,69,363,1,1187,2,164,7182,29,42,26,10,4138,9631,12,66,4,5,111,27718,75
Mana,1277,6,3031,49,419,35,1098,5,10,10211,21,85,25,9,2393,8728,18,60,4,8,282,27774,135
Mangere,492,88,2134,42,330,9,728,55,13,13118,11,44,57,5,2426,4230,7,49,0,9,105,23952,252
Manukau East,2064,64,1941,43,355,6,1151,190,17,11037,11,47,37,110,3390,11996,24,49,0,6,212,32750,182
Manurewa,951,37,2054,50,447,2,1147,69,41,9820,3,64,29,4,3317,7055,18,41,0,4,209,25362,113
Maungakiekie,2317,22,2706,46,400,7,1207,255,15,11024,14,72,78,14,3405,10351,25,115,0,17,222,32312,159
Napier,1738,5,3931,80,659,40,1131,6,363,10897,6,57,45,87,3855,9327,19,61,1,2,180,32490,121
Nelson,1900,7,4220,62,464,21,2206,4,26,11012,6,187,59,7,3417,10652,14,94,1,13,230,34602,147
New Lynn,1506,38,2916,52,423,6,1674,232,18,10953,7,73,36,5,3300,9266,26,101,0,8,172,30812,112
New Plymouth,1492,7,3282,77,642,2,1619,8,21,9833,20,93,48,19,3999,12185,14,100,1,11,223,33696,151
North Shore,5015,0,2125,50,456,4,1181,71,50,7518,3,87,43,11,3547,15612,41,103,0,11,476,36404,73
Northcote,3467,2,3078,54,451,4,1318,119,32,8267,5,83,49,7,3227,12997,26,110,0,19,455,33770,91
Northland,1924,2,3207,33,432,2,1321,0,19,5741,17,101,81,5,6348,9665,17,116,1,9,153,29194,101
Ohariu-Belmont,2105,4,2749,76,388,15,1590,21,15,8645,4,113,66,16,1949,14454,22,43,0,9,851,33135,90
Otago,1928,20,3673,72,677,0,1443,3,20,9727,4,139,46,124,3917,13875,10,72,3,6,327,36086,138
Otaki,1358,7,4494,66,394,2,1811,5,256,10461,16,74,68,108,4409,11143,17,47,1,6,300,35043,139
