Electorate Candidate Special Declaration Votes by Electorate,,,,,,,,,,
,,,Electorate Candidate Special Votes Allowed ,,,,,,,
,,Valid Votes Cast,,,Informal Votes Cast,,Total,Electorate Candidate Votes Disallowed,Total Electorate Candidate Special Votes Cast,% of Electorate Special Votes Allowed to Special Votes Cast
Electorate,NZ,Overseas,Total,NZ,Overseas,Total,X,X,X,X
Albany,3378,191,3569,83,5,88,3657,,,
Aoraki,1927,89,2016,28,2,30,2046,,,
Auckland Central,5584,0,5584,105,0,105,5689,,,
Banks Peninsula,3411,177,3588,44,0,44,3632,,,
Bay of Plenty,3225,95,3320,50,2,52,3372,,,
Christchurch Central,3784,225,4009,83,3,86,4095,,,
Christchurch East,2551,76,2627,48,0,48,2675,,,
Clutha-Southland,2200,37,2237,36,1,37,2274,,,
Coromandel,2748,135,2883,42,0,42,2925,,,
Dunedin North,4430,241,4671,71,2,73,4744,,,
Dunedin South,2412,0,2412,44,0,44,2456,,,
East Coast,1874,81,1955,48,1,49,2004,,,
Epsom,4034,468,4502,82,3,85,4587,,,
Hamilton East,3653,199,3852,83,1,84,3936,,,
Hamilton West,3288,126,3414,83,0,83,3497,,,
Hunua,2846,123,2969,70,3,73,3042,,,
Hutt South,2506,295,2801,54,5,59,2860,,,
Ilam,3329,276,3605,81,3,84,3689,,,
Invercargill,1972,96,2068,33,0,33,2101,,,
Kaikoura,2173,44,2217,42,0,42,2259,,,
Karapiro,2171,64,2235,66,1,67,2302,,,
Mana,2995,219,3214,48,3,51,3265,,,
Mangere,2810,59,2869,135,2,137,3006,,,
Manukau East,3399,135,3534,112,7,119,3653,,,
Manurewa,3154,97,3251,111,1,112,3363,,,
Maungakiekie,4457,210,4667,162,7,169,4836,,,
Mt Albert,3544,227,3771,96,1,97,3868,,,
Mt Roskill,3978,235,4213,112,4,116,4329,,,
Napier,2812,114,2926,62,0,62,2988,,,
Nelson,2431,147,2578,28,0,28,2606,,,
New Plymouth,2120,144,2264,32,1,33,2297,,,
North Shore,3176,575,3751,55,12,67,3818,,,
Northcote,2922,275,3197,58,2,60,3257,,,
Northland,3094,87,3181,49,0,49,3230,,,
Ohariu-Belmont,3273,546,3819,87,8,95,3914,,,
Otago,2863,114,2977,43,2,45,3022,,,
Otaki,2565,158,2723,52,1,53,2776,,,
Pakuranga,2488,176,2664,64,1,65,2729,,,
Palmerston North,3470,422,3892,97,8,105,3997,,,
Port Waikato,2783,84,2867,67,0,67,2934,,,
Rakaia,2596,119,2715,36,2,38,2753,,,
Rangitikei,2252,188,2440,52,0,52,2492,,,
Rimutaka,2266,163,2429,57,1,58,2487,,,
Rodney,2889,112,3001,32,0,32,3033,,,
Rongotai,3841,525,4366,75,6,81,4447,,,
Rotorua,2255,99,2354,52,0,52,2406,,,
Tamaki,3604,377,3981,69,1,70,4051,,,
Taranaki-King Country,2185,60,2245,59,0,59,2304,,,
Taupo,2292,96,2388,41,2,43,2431,,,
Tauranga,2976,115,3091,59,1,60,3151,,,
Te Atatu,2821,97,2918,93,0,93,3011,,,
Titirangi,2961,125,3086,44,3,47,3133,,,
Tukituki,2529,0,2529,59,0,59,2588,,,
Waimakariri,2578,131,2709,51,4,55,2764,,,
Wairarapa,2038,93,2131,30,0,30,2161,,,
Waitakere,3261,136,3397,65,4,69,3466,,,
Wellington Central,5268,1253,6521,75,18,93,6614,,,
West Coast-Tasman,2310,101,2411,38,0,38,2449,,,
Whanganui,1814,93,1907,42,1,43,1950,,,
Whangarei,2504,0,2504,41,0,41,2545,,,
Wigram,3255,139,3394,75,0,75,3469,,,
General Electorate Totals,180325,11084,191409,3891,135,4026,195435,,,
Hauraki,3742,33,3775,111,1,112,3887,,,
Ikaroa-Rawhiti,3390,75,3465,74,5,79,3544,,,
Te Tai Hauauru,3285,20,3305,123,0,123,3428,,,
Te Tai Tokerau,3715,78,3793,135,1,136,3929,,,
Te Tai Tonga,7141,67,7208,234,1,235,7443,,,
Waiariki,2541,30,2571,104,1,105,2676,,,
Maori Electorate Totals Including Tangata Whenua Votes,23814,303,24117,781,9,790,24907,,,
Combined Totals,204139,11387,215526,4672,144,4816,220342,,,
