Part IX - General Statistics - Electorate Candidate and Informal Votes,,,,,,,,,,,,,,
,Electorate Candidate Votes Cast,,,,,,,,,,,Percentage of,,
,Valid Votes Cast,,,Informal Votes Cast,,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),,(f:c+d)
Albany,30533,3569,34102,424,88,512,,592,35206,41815,55007,84.19,40.18,1.48
Aoraki,31811,2016,33827,481,30,511,,225,34563,39665,54106,87.14,51.48,1.49
Auckland Central,27056,5584,32640,400,105,505,,1181,34326,39934,53034,85.96,38.74,1.52
Banks Peninsula,33791,3588,37379,346,44,390,,402,38171,42584,54694,89.64,41.4,1.03
Bay of Plenty,30988,3320,34308,396,52,448,,763,35519,41630,51893,85.32,46,1.29
Christchurch Central,28623,4009,32632,467,86,553,,710,33895,40083,56539,84.56,52.8,1.67
Christchurch East,29341,2627,31968,465,48,513,,491,32972,38061,52728,86.63,56.8,1.58
Clutha-Southland,28258,2237,30495,444,37,481,,259,31235,37167,54441,84.04,51.22,1.55
Coromandel,31337,2883,34220,618,42,660,,478,35358,40278,52800,87.78,39.98,1.89
Dunedin North,26556,4671,31227,311,73,384,,417,32028,36885,54353,86.83,60.38,1.21
Dunedin South,33076,2412,35488,653,44,697,,356,36541,41686,56332,87.66,50.9,1.93
East Coast,24972,1955,26927,593,49,642,,528,28097,33275,51220,84.44,49.73,2.33
Epsom,29059,4502,33561,385,85,470,,656,34687,40316,55254,86.04,36.83,1.38
Hamilton East,28672,3852,32524,487,84,571,,668,33763,39443,53606,85.6,44.06,1.73
Hamilton West,28330,3414,31744,521,83,604,,690,33038,39305,55828,84.06,44.57,1.87
Hunua,28387,2969,31356,533,73,606,,515,32477,38326,54795,84.74,48.07,1.9
Hutt South,28923,2801,31724,520,59,579,,811,33114,37576,54689,88.13,54.86,1.79
Ilam,29759,3605,33364,551,84,635,,498,34497,39472,53725,87.4,47.99,1.87
Invercargill,29413,2068,31481,398,33,431,,330,32242,37303,54208,86.43,57.08,1.35
Kaikoura,29862,2217,32079,536,42,578,,391,33048,38550,51414,85.73,38.07,1.77
Karapiro,28264,2235,30499,773,67,840,,361,31700,38167,53782,83.06,43.72,2.68
Mana,26770,3214,29984,345,51,396,,776,31156,34968,52583,89.1,46.95,1.3
Mangere,20290,2869,23159,810,137,947,,1071,25177,32851,53331,76.64,68.6,3.93
Manukau East,25922,3534,29456,647,119,766,,1203,31425,40490,53413,77.61,55.08,2.53
Manurewa,23582,3251,26833,737,112,849,,1335,29017,35815,55739,81.02,67.15,3.07
Maungakiekie,23359,4667,28026,682,169,851,,1052,29929,36417,54361,82.18,44.49,2.95
Mt Albert,25719,3771,29490,559,97,656,,735,30881,37264,53580,82.87,64.37,2.18
Mt Roskill,27492,4213,31705,674,116,790,,921,33416,40122,56113,83.29,58.27,2.43
Napier,30008,2926,32934,471,62,533,,549,34016,38801,53821,87.67,59.95,1.59
Nelson,32127,2578,34705,457,28,485,,331,35521,41212,54657,86.19,44.78,1.38
New Plymouth,30034,2264,32298,431,33,464,,293,33055,38635,53463,85.56,68.48,1.42
North Shore,31053,3751,34804,523,67,590,,511,35905,41569,55707,86.37,48.17,1.67
Northcote,28093,3197,31290,444,60,504,,563,32357,38191,53322,84.72,32.22,1.59
Northland,27372,3181,30553,414,49,463,,610,31626,36748,53646,86.06,40.71,1.49
Ohariu-Belmont,31445,3819,35264,537,95,632,,546,36442,41067,55108,88.74,57.4,1.76
Otago,29201,2977,32178,551,45,596,,443,33217,37096,51785,89.54,41.94,1.82
Otaki,33173,2723,35896,432,53,485,,476,36857,41629,54761,88.54,51.85,1.33
Pakuranga,29403,2664,32067,587,65,652,,597,33316,39358,54759,84.65,44.45,1.99
Palmerston North,28154,3892,32046,367,105,472,,511,33029,38376,55120,86.07,63.02,1.45
Port Waikato,27127,2867,29994,724,67,791,,682,31467,37490,53794,83.93,43.26,2.57
Rakaia,30206,2715,32921,548,38,586,,292,33799,38633,51898,87.49,56.25,1.75
Rangitikei,28731,2440,31171,607,52,659,,430,32260,37381,54173,86.3,39.42,2.07
Rimutaka,28802,2429,31231,467,58,525,,578,32334,36913,53630,87.6,53.81,1.65
Rodney,30507,3001,33508,400,32,432,,515,34455,39579,51041,87.05,41.71,1.27
Rongotai,28335,4366,32701,473,81,554,,805,34060,38635,53336,88.16,60.49,1.67
Rotorua,26771,2354,29125,493,52,545,,551,30221,35457,53188,85.23,49.7,1.84
Tamaki,28594,3981,32575,531,70,601,,733,33909,39326,54063,86.23,46.58,1.81
Taranaki-King Country,25142,2245,27387,562,59,621,,455,28463,34455,53204,82.61,45.63,2.22
Taupo,25377,2388,27765,471,43,514,,580,28859,34483,51698,83.69,49.42,1.82
Tauranga,30690,3091,33781,404,60,464,,590,34835,40079,51812,86.92,30.27,1.35
Te Atatu,26633,2918,29551,438,93,531,,737,30819,36947,52960,83.41,54.92,1.77
Titirangi,26324,3086,29410,426,47,473,,557,30440,35696,51725,85.28,50.77,1.58
Tukituki,29791,2529,32320,575,59,634,,623,33577,38768,56068,86.61,54.7,1.92
Waimakariri,34183,2709,36892,548,55,603,,415,37910,43305,56652,87.54,38.88,1.61
Wairarapa,30414,2131,32545,527,30,557,,376,33478,38023,53785,88.05,46.21,1.68
Waitakere,26492,3397,29889,435,69,504,,699,31092,36916,53171,84.22,44.56,1.66
Wellington Central,29594,6521,36115,538,93,631,,917,37663,41883,51085,89.92,48.37,1.72
West Coast-Tasman,28455,2411,30866,344,38,382,,265,31513,36590,51416,86.12,47.98,1.22
Whanganui,28974,1907,30881,473,43,516,,355,31752,37123,54213,85.53,41.56,1.64
Whangarei,30653,2504,33157,417,41,458,,326,33941,39350,53346,86.25,32.31,1.36
Wigram,30279,3394,33673,506,75,581,,724,34978,40803,56209,85.72,50.31,1.7
General Electorate Totals,1752282,191409,1943691,30877,4026,34903,,36050,2014644,2349965,3282184,85.73,0,1.76
Hauraki,12033,3775,15808,349,112,461,,1406,17675,26476,55074,66.76,60.3,2.83
Ikaroa-Rawhiti,14690,3465,18155,387,79,466,,914,19535,26957,58287,72.47,40.99,2.5
Te Tai Hauauru,12346,3305,15651,438,123,561,,993,17205,24725,54443,69.59,52.15,3.46
Te Tai Tokerau,14345,3793,18138,363,136,499,,810,19447,27748,55943,70.08,47.32,2.68
Te Tai Tonga,11413,7208,18621,255,235,490,,630,19741,27584,58260,71.57,49.27,2.56
