Part IX - General Statistics - Party and Informal Votes,,,,,,,,,,,,,
,Party Votes Cast,,,,,,,,,,,Percentage of,
,Valid Votes Cast,,,Informal Votes Cast,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f)
Albany,30828,3637,34465,129,20,149,,592,35206,41815,55007,84.19,0.43
Aoraki,31995,2030,34025,297,16,313,,225,34563,39665,54106,87.14,0.91
Auckland Central,27237,5648,32885,219,41,260,,1181,34326,39934,53034,85.96,0.78
Banks Peninsula,33923,3609,37532,214,23,237,,402,38171,42584,54694,89.64,0.63
Bay of Plenty,31139,3345,34484,245,27,272,,763,35519,41630,51893,85.32,0.78
Christchurch Central,28848,4070,32918,242,25,267,,710,33895,40083,56539,84.56,0.8
Christchurch East,29552,2660,32212,254,15,269,,491,32972,38061,52728,86.63,0.83
Clutha-Southland,28389,2248,30637,313,26,339,,259,31235,37167,54441,84.04,1.09
Coromandel,31625,2902,34527,330,23,353,,478,35358,40278,52800,87.78,1.01
Dunedin North,26700,4735,31435,167,9,176,,417,32028,36885,54353,86.83,0.56
Dunedin South,33393,2434,35827,336,22,358,,356,36541,41686,56332,87.66,0.99
East Coast,25309,1987,27296,256,17,273,,528,28097,33275,51220,84.44,0.99
Epsom,29291,4563,33854,153,24,177,,656,34687,40316,55254,86.04,0.52
Hamilton East,28896,3901,32797,263,35,298,,668,33763,39443,53606,85.6,0.9
Hamilton West,28557,3469,32026,294,28,322,,690,33038,39305,55828,84.06,1
Hunua,28678,3016,31694,242,26,268,,515,32477,38326,54795,84.74,0.84
Hutt South,29173,2838,32011,270,22,292,,811,33114,37576,54689,88.13,0.9
Ilam,30043,3650,33693,267,39,306,,498,34497,39472,53725,87.4,0.9
Invercargill,29512,2083,31595,299,18,317,,330,32242,37303,54208,86.43,0.99
Kaikoura,30117,2248,32365,281,11,292,,391,33048,38550,51414,85.73,0.89
Karapiro,28734,2290,31024,303,12,315,,361,31700,38167,53782,83.06,1.01
Mana,26910,3242,30152,205,23,228,,776,31156,34968,52583,89.1,0.75
Mangere,20665,2925,23590,435,81,516,,1071,25177,32851,53331,76.64,2.14
Manukau East,26237,3604,29841,332,49,381,,1203,31425,40490,53413,77.61,1.26
Manurewa,23981,3293,27274,338,70,408,,1335,29017,35815,55739,81.02,1.47
Maungakiekie,23719,4775,28494,322,61,383,,1052,29929,36417,54361,82.18,1.33
Mt Albert,26012,3825,29837,266,43,309,,735,30881,37264,53580,82.87,1.03
Mt Roskill,27850,4283,32133,316,46,362,,921,33416,40122,56113,83.29,1.11
Napier,30204,2967,33171,275,21,296,,549,34016,38801,53821,87.67,0.88
Nelson,32256,2589,34845,328,17,345,,331,35521,41212,54657,86.19,0.98
New Plymouth,30151,2271,32422,314,26,340,,293,33055,38635,53463,85.56,1.04
North Shore,31395,3805,35200,181,13,194,,511,35905,41569,55707,86.37,0.55
Northcote,28340,3236,31576,197,21,218,,563,32357,38191,53322,84.72,0.69
Northland,27538,3209,30747,248,21,269,,610,31626,36748,53646,86.06,0.87
Ohariu-Belmont,31836,3891,35727,146,23,169,,546,36442,41067,55108,88.74,0.47
Otago,29477,2999,32476,275,23,298,,443,33217,37096,51785,89.54,0.91
Otaki,33282,2743,36025,323,33,356,,476,36857,41629,54761,88.54,0.98
Pakuranga,29791,2707,32498,199,22,221,,597,33316,39358,54759,84.65,0.68
Palmerston North,28334,3968,32302,187,29,216,,511,33029,38376,55120,86.07,0.66
Port Waikato,27536,2906,30442,315,28,343,,682,31467,37490,53794,83.93,1.11
Rakaia,30466,2740,33206,288,13,301,,292,33799,38633,51898,87.49,0.9
Rangitikei,29089,2474,31563,249,18,267,,430,32260,37381,54173,86.3,0.84
Rimutaka,28996,2457,31453,273,30,303,,578,32334,36913,53630,87.6,0.95
Rodney,30668,3025,33693,239,8,247,,515,34455,39579,51041,87.05,0.73
Rongotai,28541,4413,32954,267,34,301,,805,34060,38635,53336,88.16,0.91
Rotorua,27018,2388,29406,246,18,264,,551,30221,35457,53188,85.23,0.89
Tamaki,28911,4024,32935,214,27,241,,733,33909,39326,54063,86.23,0.73
Taranaki-King Country,25429,2283,27712,275,21,296,,455,28463,34455,53204,82.61,1.06
Taupo,25589,2397,27986,259,34,293,,580,28859,34483,51698,83.69,1.04
Tauranga,30842,3109,33951,252,42,294,,590,34835,40079,51812,86.92,0.86
Te Atatu,26819,2959,29778,252,52,304,,737,30819,36947,52960,83.41,1.01
Titirangi,26570,3107,29677,180,26,206,,557,30440,35696,51725,85.28,0.69
Tukituki,30039,2551,32590,327,37,364,,623,33577,38768,56068,86.61,1.1
Waimakariri,34416,2748,37164,315,16,331,,415,37910,43305,56652,87.54,0.88
Wairarapa,30624,2141,32765,317,20,337,,376,33478,38023,53785,88.05,1.02
Waitakere,26767,3437,30204,160,29,189,,699,31092,36916,53171,84.22,0.62
Wellington Central,29969,6593,36562,163,21,184,,917,37663,41883,51085,89.92,0.5
West Coast-Tasman,28506,2434,30940,293,15,308,,265,31513,36590,51416,86.12,0.99
Whanganui,29158,1928,31086,289,22,311,,355,31752,37123,54213,85.53,0.99
Whangarei,30774,2524,33298,296,21,317,,326,33941,39350,53346,86.25,0.94
Wigram,30415,3442,33857,370,27,397,,724,34978,40803,56209,85.72,1.16
General Electorate Totals,1767059,193775,1960834,16100,1660,17760,,36050,2014644,2349965,3282184,85.73,0.9
Hauraki,12202,3823,16025,180,64,244,,1406,17675,26476,55074,66.76,1.5
Ikaroa-Rawhiti,14758,3475,18233,319,69,388,,914,19535,26957,58287,72.47,2.08
Te Tai Hauauru,12446,3343,15789,338,85,423,,993,17205,24725,54443,69.59,2.61
Te Tai Tokerau,14415,3813,18228,293,116,409,,810,19447,27748,55943,70.08,2.19
Te Tai Tonga,11510,7268,18778,158,175,333,,630,19741,27584,58260,71.57,1.74
Waiariki,14995,2612,17607,266,64,330,,1081,19018,25910,55251,73.4,1.84
Maori Electorate Totals Including Tangata Whenua Votes,80326,24334,104660,1554,573,2127,,5834,112621,159400,337258,70.65,1.99
Combined Totals,1847385,218109,2065494,17654,2233,19887,,41884,2127265,2509365,3619442,84.77,0.95
