Part VII - Electorate Summary of Electorate Candidate Votes with percentages,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Alliance,,Green Party,,Labour Party,,National Party,,New Zealand First Party,,United NZ,,Other,,Total Valid Votes
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,
Albany,2414,7.08,3775,11.07,1585,4.65,8753,25.67,13701,40.18,751,2.2,0,0,3123,9.16,34102
Aoraki,657,1.94,2031,6,1061,3.14,17415,51.48,10276,30.38,705,2.08,0,0,1682,4.97,33827
Auckland Central,2301,7.05,6129,18.78,3057,9.37,12645,38.74,7360,22.55,380,1.16,0,0,768,2.35,32640
Banks Peninsula,704,1.88,1474,3.94,3842,10.28,15475,41.4,14020,37.51,510,1.36,0,0,1354,3.62,37379
Bay of Plenty,520,1.52,1338,3.9,1815,5.29,8679,25.3,15781,46,4185,12.2,0,0,1990,5.8,34308
Christchurch Central,951,2.91,2690,8.24,1658,5.08,17229,52.8,7825,23.98,641,1.96,0,0,1638,5.02,32632
Christchurch East,667,2.09,2127,6.65,1296,4.05,18157,56.8,6995,21.88,528,1.65,0,0,2198,6.88,31968
Clutha-Southland,945,3.1,1049,3.44,854,2.8,9218,30.23,15619,51.22,1131,3.71,0,0,1679,5.51,30495
Coromandel,0,0,1217,3.56,13682,39.98,3892,11.37,13432,39.25,1237,3.61,0,0,760,2.22,34220
Dunedin North,915,2.93,1968,6.3,1318,4.22,18856,60.38,6161,19.73,224,0.72,0,0,1785,5.72,31227
Dunedin South,575,1.62,4825,13.6,1424,4.01,18065,50.9,7457,21.01,999,2.82,0,0,2143,6.04,35488
East Coast,604,2.24,1775,6.59,0,0,13391,49.73,9546,35.45,844,3.13,0,0,767,2.85,26927
Epsom,10453,31.15,895,2.67,1601,4.77,6815,20.31,12361,36.83,384,1.14,0,0,1052,3.13,33561
Hamilton East,734,2.26,1334,4.1,0,0,13637,41.93,14329,44.06,1113,3.42,0,0,1377,4.23,32524
Hamilton West,1148,3.62,1667,5.25,0,0,14147,44.57,12518,39.43,957,3.01,0,0,1307,4.12,31744
