Part V - Electorate Summary of Votes for Registered Parties,,,,,,,,,,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,ALLIANCE,ANIMALS FIRST,AOTEAROA LEGALISE CANNABIS PARTY,CHRISTIAN HERITAGE PARTY,FREEDOM MOVEMENT,FUTURE NEW ZEALAND,GREEN PARTY,LABOUR PARTY,LIBERTARIANZ,MCGILLICUDDY SERIOUS,MANA MAORI MOVEMENT,MAURI PACIFIC,NATIONAL PARTY,NATURAL LAW PARTY,NEW ZEALAND FIRST PARTY,NMP,ONENZ PARTY,REPUBLICAN PARTY,SOUTH ISLAND PARTY,THE PEOPLES CHOICE PARTY,UNITED NZ,Total Valid Party Votes, Informal Party Votes
Electorate,ACT New Zealand,Alliance,Animals First,Aotearoa Legalise Cannabis Party,Christian Heritage Party,Freedom Movement,Future New Zealand,Green Party,Labour Party,Libertarianz,Mcgillicuddy Serious,Mana Maori Movement,Mauri Pacific,National Party,Natural Law Party,New Zealand First Party,Nmp,OneNZ Party,Republican Party,South Island Party,The Peoples Choice Party,United NZ,Total Valid Party Votes, Informal Party Votes
Albany,4232,1967,53,243,575,5,556,1529,10271,69,45,5,1,13583,19,1033,19,18,3,3,3,233,34465,149
Aoraki,1694,2881,66,450,953,2,115,1505,14413,139,35,4,1,10393,7,992,4,17,3,209,5,137,34025,313
Auckland Central,2929,2321,58,296,332,1,150,4235,13647,124,52,19,108,7747,27,671,9,17,1,7,4,130,32885,260
Banks Peninsula,2530,2844,39,286,769,3,409,2739,14018,95,30,4,1,12643,48,788,1,12,3,56,2,212,37532,237
Bay of Plenty,2138,1769,41,255,795,6,1210,1847,11342,139,50,57,5,11350,28,3178,8,72,3,4,6,181,34484,272
Christchurch Central,1731,3369,58,584,695,2,423,2421,13407,132,56,6,7,8887,17,880,4,7,7,69,2,154,32918,267
Christchurch East,1127,3665,71,449,774,1,456,1568,15084,131,36,11,5,7816,58,719,1,18,2,73,4,143,32212,269
Clutha-Southland,2260,1883,57,293,1128,4,243,935,9182,87,65,5,6,12882,8,1043,0,15,3,421,5,112,30637,339
Coromandel,2187,2241,39,268,855,6,336,2640,12390,104,59,8,6,10747,11,2406,27,34,2,3,2,156,34527,353
Dunedin North,1485,3902,49,397,651,6,185,2336,15052,64,46,9,1,6427,15,401,28,12,0,216,2,151,31435,176
Dunedin South,1228,4192,30,356,704,1,178,1440,18099,48,31,8,2,8158,3,758,8,13,4,413,4,149,35827,358
East Coast,1784,2481,50,253,675,7,225,1164,10348,98,33,47,24,8608,23,1366,1,23,8,1,3,74,27296,273
Epsom,5551,1133,43,171,381,0,229,1946,8583,80,54,7,8,14626,37,783,7,15,6,2,1,191,33854,177
Hamilton East,2993,2394,50,304,783,4,446,1712,10738,100,67,13,35,11620,39,1293,6,27,2,3,5,163,32797,298
Hamilton West,2414,2604,60,298,901,3,329,1366,11769,115,76,13,38,10491,15,1376,5,41,2,1,6,103,32026,322
Hunua,3543,1778,54,340,780,3,266,1363,9430,96,56,14,11,12118,41,1561,21,25,7,2,2,183,31694,268
Hutt South,2085,2454,57,365,633,0,564,1465,13502,88,49,7,19,9678,24,786,7,10,5,4,8,201,32011,292
Ilam,3385,2159,52,241,778,1,433,1474,9669,105,52,3,2,14168,34,810,4,13,4,56,2,248,33693,306
Invercargill,1051,3132,44,372,832,1,245,974,14196,92,44,8,2,9453,13,875,0,13,0,157,5,86,31595,317
Kaikoura,2134,2717,48,234,985,2,324,2168,11357,64,81,4,3,10688,88,1161,1,12,1,103,4,186,32365,292
Karapiro,3069,2263,47,273,1032,3,177,1160,8551,98,69,9,2,12106,14,1971,24,24,4,1,4,123,31024,315
Mana,1606,2351,35,388,559,1,549,1390,13394,41,58,13,75,8653,5,694,9,13,0,3,6,309,30152,228
Mangere,544,1945,36,182,396,6,149,603,15881,52,22,20,56,2863,66,688,4,10,5,1,5,56,23590,516
Manukau East,2237,1527,32,170,640,1,160,673,13545,45,23,3,106,9568,11,955,2,5,4,3,8,123,29841,381
Manurewa,1361,1737,40,284,770,0,164,859,14140,53,42,12,44,6730,19,911,9,13,4,1,10,71,27274,408
Maungakiekie,2202,1891,39,178,377,2,266,1183,13234,63,30,10,43,7878,69,810,13,12,21,1,3,169,28494,383
Mt Albert,1776,2146,46,186,542,10,284,1675,15327,58,29,7,14,6823,12,694,3,9,3,6,1,186,29837,309
Mt Roskill,2150,2024,47,155,1159,1,308,1205,14702,73,31,24,8,8884,57,1059,5,10,3,8,11,209,32133,362
Napier,1936,3555,67,349,785,0,294,1569,14684,102,25,3,2,8797,13,844,5,16,5,2,8,110,33171,296
Nelson,1920,3108,51,278,1624,4,216,2835,14154,114,95,5,4,9419,14,732,32,34,3,67,5,131,34845,345
New Plymouth,1804,2425,67,426,678,4,606,1734,13612,104,45,7,13,9487,12,1201,5,14,2,2,48,126,32422,340
North Shore,5052,1625,47,211,563,1,365,1751,10113,65,38,3,3,13871,24,1171,7,15,7,3,3,262,35200,194
Northcote,3319,2366,45,235,484,3,400,1459,11344,60,47,3,8,10502,42,1020,11,9,14,3,6,196,31576,218
Northland,2691,2081,53,273,970,8,360,2425,9627,143,58,25,25,9297,5,2518,47,13,4,3,5,116,30747,269
Ohariu-Belmont,3167,1894,57,289,701,9,610,1649,11154,84,71,6,18,14133,18,703,135,13,2,5,5,1004,35727,169
Otago,2462,2524,50,310,955,2,128,1853,11873,67,40,4,3,10943,17,683,19,16,1,382,1,143,32476,298
Otaki,1670,3371,63,381,955,2,587,1444,15035,95,38,9,15,10575,10,1400,23,120,1,2,8,221,36025,356
Pakuranga,4193,1602,47,210,810,3,214,1123,9436,71,30,2,4,13171,46,1259,23,16,9,3,3,223,32498,221
Palmerston North,1837,3412,71,403,708,1,820,1636,12671,111,75,9,12,9315,28,1025,4,11,3,6,4,140,32302,216
Port Waikato,2833,2025,62,274,810,6,184,1566,9313,120,86,16,23,11122,35,1700,31,37,4,2,4,189,30442,343
Rakaia,2417,2269,56,280,911,1,137,1215,9455,191,88,4,0,14934,15,915,7,20,1,114,5,171,33206,301
Rangitikei,2259,2916,62,360,1136,4,431,1176,10544,175,75,4,19,10585,15,1514,4,25,1,8,9,241,31563,267
Rimutaka,1679,2732,67,449,678,2,641,1259,13675,77,50,7,11,8993,6,911,4,6,2,6,7,191,31453,303
Rodney,3565,1953,45,235,722,1,637,1995,10196,73,49,5,4,12034,47,1917,15,37,6,4,6,147,33693,247
Rongotai,1899,2654,52,462,426,3,453,2533,13704,63,62,9,17,9594,20,726,3,13,3,8,0,250,32954,301
Rotorua,1710,2018,55,316,713,1,536,1557,11299,127,42,54,16,9037,27,1708,4,29,1,3,9,144,29406,264
Tamaki,4975,1355,37,177,363,6,284,1274,10345,58,25,4,10,12808,10,978,10,11,6,4,3,192,32935,241
Taranaki-King Country,2556,2371,35,284,976,4,194,1187,7099,76,43,13,18,11215,13,1433,14,23,1,5,9,143,27712,296
Taupo,1976,1550,36,265,524,6,341,1405,10876,111,41,16,20,9399,8,1269,8,17,3,0,5,110,27986,293
Tauranga,2088,1558,39,249,945,3,1182,1634,11372,112,44,12,7,10083,16,4387,23,28,3,3,4,159,33951,294
Te Atatu,1592,2727,46,305,769,2,431,974,14549,42,42,3,47,7023,37,1012,5,20,3,2,4,143,29778,304
Titirangi,2126,2394,43,282,643,1,259,1845,13401,85,29,3,38,7502,26,835,11,7,17,2,5,123,29677,206
Tukituki,2249,2134,58,357,1174,5,299,1373,13514,111,32,14,10,10093,39,976,6,23,3,2,5,113,32590,364
Waimakariri,1836,2955,46,375,1036,3,435,1422,14338,131,51,2,4,12918,145,1190,5,11,11,70,1,179,37164,331
Wairarapa,2352,3294,43,378,898,3,273,1506,11897,185,59,4,6,10242,29,1413,2,15,9,2,3,152,32765,337
Waitakere,3258,1984,52,272,580,1,364,1644,9529,69,52,5,20,11118,13,1038,11,19,25,8,3,139,30204,189
Wellington Central,2807,2787,43,582,315,2,297,3543,11960,78,69,11,21,13086,36,507,10,1,3,8,2,394,36562,184
West Coast-Tasman,1565,3503,54,612,962,2,118,2377,9307,185,157,6,7,9559,10,1948,15,35,7,224,10,277,30940,308
Whanganui,1574,3568,60,339,1501,15,158,1430,12116,72,44,11,20,8604,11,1406,6,14,0,2,10,125,31086,311
Whangarei,2758,2939,54,298,1298,2,111,1836,11078,138,48,4,19,10209,12,2302,25,27,4,2,3,131,33298,317
Wigram,1138,5474,59,378,884,1,383,1567,13976,110,43,1,7,8693,34,828,1,11,4,90,7,168,33857,397
General Electorate Totals,144689,152893,3063,19165,47951,193,22127,101371,742517,5858,3114,634,1084,623949,1641,74131,761,1216,278,2874,333,10992,1960834,17760
Hauraki,137,1046,37,532,169,51,82,968,8986,16,9,496,401,909,10,2138,1,13,5,1,6,12,16025,244
Ikaroa-Rawhiti,99,1223,28,716,231,60,170,727,10763,8,13,750,369,812,28,2185,3,23,1,1,14,9,18233,388
Te Tai Hauauru,106,983,16,495,138,52,127,654,8755,8,7,966,766,698,7,1976,5,7,2,1,11,9,15789,423
Te Tai Tokerau,174,1214,36,553,282,43,89,1046,9403,16,16,494,746,1182,5,2868,17,22,4,0,9,9,18228,409
Te Tai Tonga,196,1468,43,787,228,14,236,1151,10105,29,23,381,340,1573,10,1952,148,25,1,34,6,28,18778,333
Waiariki,92,1032,21,439,155,41,202,643,9670,14,9,1469,302,809,11,2676,1,5,1,1,8,6,17607,330
Maori Electorate Totals Including Tangata Whenua Votes,804,6966,181,3522,1203,261,906,5189,57682,91,77,4556,2924,5983,71,13795,175,95,14,38,54,73,104660,2127
