Part VI - Elected Candiate Votes,,,,,,
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Albany,"MCCULLY,  Murray",National Party,13701,4948,40.18%,no      
Aoraki,"SUTTON,  Jim",Labour Party,17415,7139,51.48%,yes     
Auckland Central,"TIZARD,  Judith Ngaire",Labour Party,12645,5285,38.74%,yes     
Banks Peninsula,"DYSON,  Ruth",Labour Party,15475,1455,41.40%,yes     
Bay of Plenty,"RYALL,  Tony",National Party,15781,7102,46.00%,yes     
Christchurch Central,"BARNETT,  Tim",Labour Party,17229,9404,52.80%,no      
Christchurch East,"DALZIEL,  Lianne",Labour Party,18157,11162,56.80%,yes     
Clutha-Southland,"ENGLISH,  Bill",National Party,15619,6401,51.22%,yes     
Coromandel,"FITZSIMONS,  Jeanette",Green Party,13682,250,39.98%,yes     
Dunedin North,"HODGSON,  Pete",Labour Party,18856,12695,60.38%,yes     
Dunedin South,"BENSON-POPE,  David",Labour Party,18065,10608,50.90%,yes     
East Coast,"MACKEY,  Janet Elsdon",Labour Party,13391,3845,49.73%,yes     
Epsom,"WORTH,  Richard",National Party,12361,1908,36.83%,yes     
Hamilton East,"STEEL,  Tony",National Party,14329,692,44.06%,no      
Hamilton West,"GALLAGHER,  Martin Owen",Labour Party,14147,1629,44.57%,no      
Hunua,"KYD,  Warren",National Party,15072,5195,48.07%,no      
Hutt South,"MALLARD,  Trevor",Labour Party,17404,8885,54.86%,yes     
Ilam,"BROWNLEE,  Gerry",National Party,16012,6792,47.99%,yes     
Invercargill,"PECK,  Mark",Labour Party,17970,7990,57.08%,yes     
Kaikoura,"SCOTT,  Lynda",National Party,12214,1486,38.07%,yes     
Karapiro,"TISCH,  Lindsay",National Party,13333,5216,43.72%,no      
Mana,"KELLY,  Graham",Labour Party,14078,5475,46.95%,yes     
Mangere,"FIELD,  Taito Phillip",Labour Party,15888,13047,68.60%,yes     
Manukau East,"ROBERTSON,  Ross",Labour Party,16224,7086,55.08%,no      
Manurewa,"HAWKINS,  George",Labour Party,18018,13062,67.15%,no      
Maungakiekie,"GOSCHE,  Mark",Labour Party,12469,2512,44.49%,yes     
Mt Albert,"CLARK,  Helen Elizabeth",Labour Party,18982,13108,64.37%,yes     
Mt Roskill,"GOFF,  Phil",Labour Party,18475,9707,58.27%,yes     
Napier,"BRAYBROOKE,  Geoff",Labour Party,19743,11863,59.95%,no      
Nelson,"SMITH,  Nick",National Party,15542,4521,44.78%,yes     
New Plymouth,"DUYNHOVEN,  Harry",Labour Party,22118,15092,68.48%,yes     
North Shore,"MAPP,  Wayne",National Party,16765,7048,48.17%,yes     
Northcote,"HARTLEY,  Ann",Labour Party,10081,278,32.22%,yes     
Northland,"CARTER,  John",National Party,12437,5454,40.71%,yes     
Ohariu-Belmont,"DUNNE,  Peter Francis",United NZ,20240,12557,57.40%,yes     
Otago,"HERLIHY,  Gavan ",National Party,13495,2367,41.94%,yes     
Otaki,"KEALL,  Judy",Labour Party,18611,7250,51.85%,yes     
Pakuranga,"WILLIAMSON,  Maurice",National Party,14253,5314,44.45%,yes     
Palmerston North,"MAHAREY,  Steven",Labour Party,20196,13153,63.02%,yes     
Port Waikato,"HUTCHISON,  Paul",National Party,12975,3915,43.26%,yes     
Rakaia,"SHIPLEY,  Jenny",National Party,18517,10602,56.25%,yes     
Rangitikei,"POWER,  Simon",National Party,12287,289,39.42%,yes     
Rimutaka,"SWAIN,  Paul",Labour Party,16806,8374,53.81%,yes     
Rodney,"SMITH,  Lockwood",National Party,13975,6905,41.71%,yes     
Rongotai,"KING,  Annette",Labour Party,19782,12928,60.49%,yes     
Rotorua,"CHADWICK,  Steve (Stephanie)",Labour Party,14474,4978,49.70%,yes     
Tamaki,"SIMICH,  Clem",National Party,15175,4911,46.58%,no      
Taranaki-King Country,"ARDERN,  Shane",National Party,12498,6510,45.63%,yes     
Taupo,"BURTON,  Mark",Labour Party,13721,3578,49.42%,yes     
Tauranga,"PETERS,  Winston",New Zealand First Party,10225,63,30.27%,yes     
Te Atatu,"CARTER,  Chris",Labour Party,16229,9262,54.92%,yes     
Titirangi,"CUNLIFFE,  David",Labour Party,14932,5800,50.77%,yes     
Tukituki,"BARKER,  Rick",Labour Party,17680,8646,54.70%,yes     
Waimakariri,"COSGROVE,  Clayton",Labour Party,14342,1141,38.88%,no      
Wairarapa,"BEYER,  Georgina",Labour Party,15040,3033,46.21%,yes     
Waitakere,"NEESON,  Brian",National Party,13320,4056,44.56%,yes     
Wellington Central,"HOBBS,  Marian",Labour Party,17470,1482,48.37%,yes     
West Coast-Tasman,"O’CONNOR,  Damien",Labour Party,14810,7378,47.98%,no      
Whanganui,"PETTIS,  Jill",Labour Party,12834,3155,41.56%,yes     
Whangarei,"HEATLEY,  Phil",National Party,10713,1934,32.31%,yes     
Wigram,"ANDERTON,  Jim",Alliance,16940,9885,50.31%,yes     
Hauraki,"TAMIHERE,  John",Labour Party,9532,7238,60.30%,no      
Ikaroa-Rawhiti,"HOROMIA,  Parekura Tureia",Labour Party,7442,695,40.99%,yes     
Te Tai Hauauru,"MAHUTA,  Nanaia",Labour Party,8162,6233,52.15%,yes     
Te Tai Tokerau,"SAMUELS,  Dover",Labour Party,8583,5692,47.32%,yes     
Te Tai Tonga,"OKEROA,  Mahara",Labour Party,9175,4522,49.27%,no      
Waiariki,"RIRINUI,  Mita",Labour Party,7853,4369,45.11%,yes     
