General Statistics - Electorate Candidate and Informal Votes,,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of,
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f),
Aoraki,29049,1924,30973,346,27,373,,143,31489,39535,52177,79.6484128,51.8149195,1.18994449
Auckland Central,25614,5078,30692,304,53,357,,969,32018,40331,53547,79.38806377,41.53288775,1.14979548
Banks Peninsula,32853,3253,36106,288,38,326,,311,36743,44612,56914,82.36124809,44.17984378,0.89481774
Bay of Plenty,27636,2576,30212,181,33,214,,483,30909,38972,51893,79.31078723,41.97806464,0.70334582
Christchurch Central,27013,3565,30578,440,76,516,,577,31671,42753,56894,74.079012,54.27678318,1.65948414
Christchurch East,28621,2330,30951,351,38,389,,413,31753,40937,56310,77.56552752,62.30592385,1.24122527
Clevedon,27965,2881,30846,308,51,359,,534,31739,41225,56169,76.98969072,36.63316425,1.15045666
Clutha-Southland,27159,1876,29035,168,17,185,,210,29430,37654,51902,78.15902693,54.90655793,0.63312799
Coromandel,30717,3041,33758,360,26,386,,352,34496,41608,53687,82.90713324,42.63102968,1.13050609
Dunedin North,26928,2604,29532,262,29,291,,280,30103,38054,51756,79.10600725,58.37624157,0.97575697
Dunedin South,30532,1687,32219,482,39,521,,187,32927,41122,53113,80.07149458,61.94916026,1.5913256
East Coast,26202,1916,28118,469,72,541,,363,29022,37573,53637,77.24163628,50.0275653,1.88771416
East Coast Bays,28188,2850,31038,358,34,392,,552,31982,41368,56749,77.310965,37.9400913,1.24721604
Epsom,26997,4777,31774,340,69,409,,640,32823,41519,54525,79.05537224,41.32163422,1.27085728
Hamilton East,28001,3316,31317,232,52,284,,484,32085,40939,55263,78.37270085,39.97818295,0.89870574
Hamilton West,27483,2632,30115,223,42,265,,497,30877,41079,56672,75.16492612,47.32972763,0.8722844
Helensville,25854,2748,28602,274,53,327,,499,29428,36949,52281,79.64491597,33.2166644,1.13035362
Hutt South,27681,2540,30221,457,51,508,,482,31211,38839,52910,80.35994748,47.52811509,1.65316151
Ilam,30483,3141,33624,451,64,515,,372,34511,43397,56906,79.52393023,45.7042682,1.50853862
Invercargill,27988,1841,29829,279,17,296,,240,30365,38876,51673,78.10731557,47.91042318,0.98257261
Kaikoura,29517,2324,31841,265,38,303,,236,32380,40124,52855,80.69983053,46.83446572,0.94263315
Mana,26449,2432,28881,402,53,455,,579,29915,36903,53671,81.06387015,48.72472004,1.55099536
Mangere,21148,2963,24111,366,122,488,,1093,25692,36240,56830,70.89403974,70.04125798,1.98382048
Manukau East,23016,3279,26295,400,81,481,,1105,27881,39257,56426,71.02172861,59.33431369,1.79638482
Manurewa,22604,2816,25420,258,70,328,,1064,26812,36642,56815,73.17286174,59.00716097,1.27388535
Maungakiekie,22224,3662,25886,409,101,510,,886,27282,36911,51913,73.91292569,52.31654571,1.93211093
Mt Albert,23806,4238,28044,377,70,447,,619,29110,38305,51941,75.99530087,67.03538303,1.5689165
Mt Roskill,25081,3961,29042,289,65,354,,945,30341,39263,54064,77.27631612,61.63936587,1.20424548
Napier,29531,2170,31701,731,70,801,,349,32851,41119,55382,79.89250711,44.62269033,2.46446373
Nelson,31116,2266,33382,260,26,286,,255,33923,42628,56025,79.57914985,46.51416443,0.84947131
New Lynn,25259,3109,28368,501,89,590,,544,29502,37568,52141,78.52959966,56.56226696,2.03743352
New Plymouth,28037,1931,29968,343,27,370,,206,30544,39633,52194,77.06709056,68.44224725,1.21959259
North Shore,30765,3499,34264,240,55,295,,391,34950,43484,56032,80.37439058,43.1130186,0.85361266
Northcote,27612,2918,30530,260,38,298,,559,31387,40492,54675,77.51407685,39.68203396,0.96665369
Northland,25803,2336,28139,190,44,234,,457,28830,36770,54115,78.40630949,45.30003469,0.82472773
Ohariu-Belmont,30117,3280,33397,177,34,211,,419,34027,41222,54232,82.54572801,56.88130014,0.62782671
Otago,28884,2490,31374,429,60,489,,305,32168,40048,52491,80.32361167,43.87279284,1.53469541
Otaki,32677,2381,35058,350,46,396,,408,35862,43506,56725,82.43000965,51.84317662,1.11694026
Pakuranga,29258,2630,31888,335,43,378,,484,32750,41889,56269,78.18281649,42.77862595,1.17151181
Palmerston North,27603,2601,30204,353,38,391,,343,30938,39671,52859,77.98643846,55.05203956,1.2779866
Piako,27679,2202,29881,264,40,304,,365,30550,40303,56643,75.80080887,38.57610475,1.00712274
Port Waikato,27974,2564,30538,280,26,306,,390,31234,39460,56578,79.15357324,44.66927067,0.99208922
Rakaia,29384,2225,31609,432,53,485,,250,32344,40633,54711,79.60032486,49.06628741,1.51118589
Rangitikei,27229,2234,29463,318,40,358,,297,30118,37783,51920,79.71309848,52.32419151,1.20049629
Rimutaka,29244,2213,31457,354,50,404,,504,32365,40329,55998,80.25242381,57.7413873,1.26800791
Rodney,29658,2497,32155,187,22,209,,374,32738,39974,52885,81.89823385,38.87836765,0.64577926
Rongotai,28238,3991,32229,370,65,435,,714,33378,41394,53113,80.63487462,54.21535143,1.33174137
Rotorua,26015,1962,27977,302,33,335,,487,28799,37401,53647,77.00061496,49.93228932,1.18324385
Tamaki,28855,3636,32491,346,82,428,,608,33527,42429,56282,79.01906715,34.21421541,1.300161
Taranaki-King Country,25184,2160,27344,551,60,611,,301,28256,37503,53788,75.34330587,49.53284258,2.18565552
Taupo,24690,2011,26701,330,41,371,,466,27538,36350,52274,75.75790922,53.92911613,1.37041962
Tauranga,29594,2956,32550,142,34,176,,629,33355,41214,53449,80.93123696,51.40158897,0.53779869
Te Atatu,23824,2912,26736,309,69,378,,660,27774,36695,52774,75.68878594,60.56383668,1.39411374
Tukituki,29290,2090,31380,387,36,423,,412,32215,40851,56977,78.85975864,50.560298,1.3300632
Waimakariri,31314,2266,33580,222,31,253,,281,34114,42318,55964,80.61345054,51.50671279,0.74779062
Wairarapa,28675,1986,30661,243,21,264,,235,31160,38429,52261,81.08459757,43.55584082,0.85367825
Waitakere,24159,2768,26927,158,46,204,,683,27814,35685,51630,77.94311335,35.07586108,0.75190741
Wellington Central,30307,5997,36304,317,73,390,,601,37295,46258,54289,80.62389208,39.96782411,1.06284406
West Coast-Tasman,27590,2172,29762,430,9,439,,163,30364,38270,51719,79.34152077,52.75984719,1.45359425
Whanganui,28806,1680,30486,320,33,353,,343,31182,40363,56031,77.25392067,45.33063947,1.1446545
