Part I - Summary of Party List and Electorate Candidate Seats,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,523,,,,593,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT,9,145078,7.14,60,0,70888,3.55,56,Yes,Yes
Alliance,0,25888,1.27,48,0,33655,1.69,61,Yes,No
Christian Heritage,0,27492,1.35,20,0,40810,2.05,69,Yes,No
Green Party,9,142250,7,65,0,106717,5.35,57,Yes,Yes
Labour Party,7,838219,41.26,74,45,891866,44.69,69,Yes,Yes
Legalise Cannabis,0,12987,0.64,12,0,3397,0.17,7,Yes,No
Mana Maori,0,4980,0.25,12,0,8130,0.41,5,Yes,No
National Party,6,425310,20.93,65,21,609458,30.54,69,Yes,Yes
NMP,0,274,0.01,2,0,0,0,0,Yes,No
NZ First,12,210912,10.38,22,1,79380,3.98,24,Yes,Yes
OneNZ Party,0,1782,0.09,10,0,2617,0.13,8,Yes,No
Outdoor Rec. NZ,0,25985,1.28,12,0,0,0,0,Yes,No
Progressive Coalition,1,34542,1.7,61,1,36647,1.84,61,Yes,Yes
United Future,7,135918,6.69,60,1,92484,4.63,63,Yes,Yes
Libertarianz,0,0,0,0,0,672,0.03,5,Yes,No
Anti-Capitalist Alliance,0,0,0,0,0,336,0.02,4,No,No
Aotearoa NZ Youth,0,0,0,0,0,136,0.01,1,No,No
Aroha Ngia Tatou,0,0,0,0,0,147,0.01,1,No,No
Beneficiaries,0,0,0,0,0,129,0.01,1,No,No
Communist League,0,0,0,0,0,171,0.01,2,No,No
Human Rights,0,0,0,0,0,66,0,1,No,No
MAI,0,0,0,0,0,115,0.01,1,No,No
New Generation,0,0,0,0,0,308,0.02,1,No,No
Nga Iwi Morehu,0,0,0,0,0,522,0.03,2,No,No
NZ Economic Euthenics,0,0,0,0,0,55,0,1,No,No
NZ Equal Rights,0,0,0,0,0,1106,0.06,2,No,No
P.C.P COALITION,0,0,0,0,0,657,0.03,1,No,No
Project Hope,0,0,0,0,0,52,0,1,No,No
Quality of Life,0,0,0,0,0,83,0,1,No,No
Reform's Tahi,0,0,0,0,0,55,0,1,No,No
Independent,0,0,0,0,0,14927,0.75,18,No,No
