Part II - The Sainte-Lague Formula,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,
Divisor,Labour Party,Seat No.,National Party,Seat No.,New Zealand First Party,Seat No.,ACT New Zealand,Seat No.,Green Party,Seat No.,United Future,Seat No.,Jim Anderton's Progressive Coalition,Seat No.
1,838219,1,425310,2,210912,4,145078,6,142250,7,135918,9,34542,28
3,279406.3333,3,141770,8,70304,14,48359.33333,19,47416.66667,20,45306,22,11514,83
5,167643.8,5,85062,12,42182.4,24,29015.6,33,28450,35,27183.6,37,6908.4,0
7,119745.5714,10,60758.57143,16,30130.28571,32,20725.42857,46,20321.42857,48,19416.85714,51,4934.57143,0
9,93135.44444,11,47256.66667,21,23434.66667,42,16119.77778,60,15805.55556,62,15102,65,3838,0
11,76201.72727,13,38664.54545,26,19173.81818,52,13188.90909,73,12931.81818,74,12356.18182,79,3140.18182,0
13,64478.38462,15,32716.15385,30,16224,59,11159.84615,87,10942.30769,89,10455.23077,93,2657.07692,0
15,55881.26667,17,28354,36,14060.8,69,9671.86667,100,9483.33333,102,9061.2,107,2302.8,0
17,49307,18,25018.23529,40,12406.58824,78,8534,113,8367.64706,116,7995.17647,0,2031.88235,0
19,44116.78947,23,22384.73684,44,11100.63158,88,7635.68421,0,7486.84211,0,7153.57895,0,1818,0
21,39915.19048,25,20252.85714,49,10043.42857,97,6908.47619,0,6773.80952,0,6472.28571,0,1644.85714,0
23,36444.30435,27,18491.73913,54,9170.08696,106,6307.73913,0,6184.78261,0,5909.47826,0,1501.82609,0
25,33528.76,29,17012.4,57,8436.48,115,5803.12,0,5690,0,5436.72,0,1381.68,0
27,31045.14815,31,15752.22222,63,7811.55556,0,5373.25926,0,5268.51852,0,5034,0,1279.33333,0
29,28904.10345,34,14665.86207,67,7272.82759,0,5002.68966,0,4905.17241,0,4686.82759,0,1191.10345,0
31,27039.32258,38,13719.67742,71,6803.6129,0,4679.93548,0,4588.70968,0,4384.45161,0,1114.25806,0
33,25400.57576,39,12888.18182,76,6391.27273,0,4396.30303,0,4310.60606,0,4118.72727,0,1046.72727,0
35,23949.11429,41,12151.71429,80,6026.05714,0,4145.08571,0,4064.28571,0,3883.37143,0,986.91429,0
37,22654.56757,43,11494.86486,84,5700.32432,0,3921.02703,0,3844.59459,0,3673.45946,0,933.56757,0
39,21492.79487,45,10905.38462,90,5408,0,3719.94872,0,3647.4359,0,3485.07692,0,885.69231,0
