General Statistics - Party and Informal Votes,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f)
Aoraki,29272,2036,31308,123,9,132,,49,31489,39535,52177,79.6484128,0.41984733
Auckland Central,25836,5747,31583,82,7,89,,346,32018,40331,53547,79.38806377,0.2810053
Banks Peninsula,33048,3503,36551,93,3,96,,96,36743,44612,56914,82.36124809,0.26195869
Bay of Plenty,27737,2874,30611,80,6,86,,212,30909,38972,51893,79.31078723,0.28015767
Christchurch Central,27340,3993,31333,113,22,135,,203,31671,42753,56894,74.079012,0.42900725
Christchurch East,28873,2599,31472,99,3,102,,179,31753,40937,56310,77.56552752,0.32305061
Clevedon,28215,3200,31415,58,12,70,,254,31739,41225,56169,76.98969072,0.22232809
Clutha-Southland,27174,2022,29196,153,13,166,,68,29430,37654,51902,78.15902693,0.56535658
Coromandel,30979,3265,34244,98,13,111,,141,34496,41608,53687,82.90713324,0.32309707
Dunedin North,27093,2811,29904,97,2,99,,100,30103,38054,51756,79.10600725,0.329967
Dunedin South,30922,1843,32765,92,5,97,,65,32927,41122,53113,80.07149458,0.29517376
East Coast,26556,2179,28735,115,7,122,,165,29022,37573,53637,77.24163628,0.42277437
East Coast Bays,28476,3238,31714,70,5,75,,193,31982,41368,56749,77.310965,0.23593067
Epsom,27273,5208,32481,64,8,72,,270,32823,41519,54525,79.05537224,0.22117777
Hamilton East,28138,3665,31803,95,10,105,,177,32085,40939,55263,78.37270085,0.32907108
Hamilton West,27579,2973,30552,127,15,142,,183,30877,41079,56672,75.16492612,0.46263113
Helensville,26059,3098,29157,69,9,78,,193,29428,36949,52281,79.64491597,0.26680349
Hutt South,28029,2778,30807,109,8,117,,287,31211,38839,52910,80.35994748,0.37834692
Ilam,30865,3465,34330,69,12,81,,100,34511,43397,56906,79.52393023,0.23538985
Invercargill,28164,1988,30152,103,5,108,,105,30365,38876,51673,78.10731557,0.35690681
Kaikoura,29688,2506,32194,94,4,98,,88,32380,40124,52855,80.69983053,0.30348074
Mana,26748,2706,29454,103,6,109,,352,29915,36903,53671,81.06387015,0.36870412
Mangere,21329,3475,24804,185,33,218,,670,25692,36240,56830,70.89403974,0.87123331
Manukau East,23281,3836,27117,135,24,159,,605,27881,39257,56426,71.02172861,0.58293005
Manurewa,22732,3353,26085,130,34,164,,563,26812,36642,56815,73.17286174,0.62478571
Maungakiekie,22489,4162,26651,144,64,208,,423,27282,36911,51913,73.91292569,0.77441454
Mt Albert,24045,4792,28837,138,22,160,,113,29110,38305,51941,75.99530087,0.55178122
Mt Roskill,25267,4628,29895,103,21,124,,322,30341,39263,54064,77.27631612,0.41307172
Napier,30160,2391,32551,102,10,112,,188,32851,41119,55382,79.89250711,0.34289563
Nelson,31268,2453,33721,108,7,115,,87,33923,42628,56025,79.57914985,0.33987469
New Lynn,25665,3470,29135,95,24,119,,248,29502,37568,52141,78.52959966,0.40678198
New Plymouth,28249,2066,30315,131,12,143,,86,30544,39633,52194,77.06709056,0.46949898
North Shore,30937,3727,34664,68,7,75,,211,34950,43484,56032,80.37439058,0.21589568
Northcote,27793,3254,31047,79,5,84,,256,31387,40492,54675,77.51407685,0.2698275
Northland,25883,2633,28516,110,11,121,,193,28830,36770,54115,78.40630949,0.42253029
Ohariu-Belmont,30223,3548,33771,71,12,83,,173,34027,41222,54232,82.54572801,0.24517044
Otago,29230,2724,31954,83,9,92,,122,32168,40048,52491,80.32361167,0.28708731
Otaki,32941,2603,35544,86,10,96,,222,35862,43506,56725,82.43000965,0.26936027
Pakuranga,29515,2954,32469,78,6,84,,197,32750,41889,56269,78.18281649,0.25804073
Palmerston North,27802,2871,30673,154,8,162,,103,30938,39671,52859,77.98643846,0.52537701
Piako,27816,2415,30231,127,14,141,,178,30550,40303,56643,75.80080887,0.46424338
Port Waikato,28117,2781,30898,137,12,149,,187,31234,39460,56578,79.15357324,0.47991754
Rakaia,29738,2441,32179,78,3,81,,84,32344,40633,54711,79.60032486,0.25108493
Rangitikei,27449,2414,29863,98,10,108,,147,30118,37783,51920,79.71309848,0.36034834
Rimutaka,29469,2464,31933,129,17,146,,286,32365,40329,55998,80.25242381,0.45512641
Rodney,29756,2720,32476,89,8,97,,165,32738,39974,52885,81.89823385,0.29779265
Rongotai,28480,4405,32885,128,13,141,,352,33378,41394,53113,80.63487462,0.42693635
Rotorua,26212,2224,28436,105,9,114,,249,28799,37401,53647,77.00061496,0.39929947
Tamaki,29113,4013,33126,88,26,114,,287,33527,42429,56282,79.01906715,0.34296029
Taranaki-King Country,25606,2327,27933,129,8,137,,186,28256,37503,53788,75.34330587,0.48806555
Taupo,24945,2265,27210,75,10,85,,243,27538,36350,52274,75.75790922,0.31141235
Tauranga,29636,3353,32989,100,11,111,,255,33355,41214,53449,80.93123696,0.33534743
Te Atatu,23989,3330,27319,144,25,169,,286,27774,36695,52774,75.68878594,0.61481374
Tukituki,29574,2322,31896,103,9,112,,207,32215,40851,56977,78.85975864,0.34991252
Waimakariri,31416,2469,33885,120,9,129,,100,34114,42318,55964,80.61345054,0.3792556
Wairarapa,28801,2124,30925,117,4,121,,114,31160,38429,52261,81.08459757,0.38974425
Waitakere,24236,3232,27468,81,14,95,,251,27814,35685,51630,77.94311335,0.34466495
Wellington Central,30546,6502,37048,78,6,84,,163,37295,46258,54289,80.62389208,0.22621997
West Coast-Tasman,27764,2283,30047,256,14,270,,47,30364,38270,51719,79.34152077,0.89058944
Whanganui,29018,1896,30914,108,6,114,,154,31182,40363,56031,77.25392067,0.36741008
Whangarei,29687,2520,32207,111,14,125,,128,32460,40573,54133,80.00394351,0.38661388
Wigram,28938,3031,31969,203,12,215,,168,32352,42684,56879,75.7942086,0.66803381
General Electorate Totals,1733179,190168,1923347,6710,757,7467,,12845,1943659,2475916,3366578,78.50262287,0.38822948
Ikaroa-Rawhiti,13245,1527,14772,164,18,182,,363,15317,26781,51262,57.19353273,1.21706567
Tainui,13187,1809,14996,158,24,182,,400,15578,27292,54358,57.07899751,1.19910397
Tamaki Makaurau,13713,2460,16173,106,16,122,,393,16688,30781,54692,54.21526266,0.74869592
Te Tai Hauauru,13067,1400,14467,118,18,136,,361,14964,25566,51103,58.5308613,0.93131548
Te Tai Tokerau,14144,2046,16190,165,24,189,,183,16562,28231,54466,58.66600545,1.1539166
Te Tai Tonga,14247,1702,15949,150,17,167,,211,16327,27193,52204,60.04118707,1.03623728
Waiariki,14065,1658,15723,140,46,186,,400,16309,28270,53680,57.69013088,1.16914954
Maori Electorate Totals,95668,12602,108270,1001,163,1164,,2311,111745,194114,371765,57.56668762,1.06365481
Combined Totals,1828847,202770,2031617,7711,920,8631,,15156,2055404,2670030,3738343,76.98055827,0.42303681
