Part VII - Summary of Electorate Candidate Votes by Party,,,,,,,,,,,,,,,,,
Electorate,ACT,,Green Party,,Labour Party,,National Party,,NZ First,,United Future,,Progressive Coalition,,Others,,Total Valid Votes
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,
Aoraki,579,1.87,1327,4.28,16316,52.68,9863,31.84,0,0,1176,3.8,446,1.44,1266,4.09,30973
Auckland Central,1223,3.98,6212,20.24,13298,43.33,8093,26.37,0,0,770,2.51,333,1.08,763,2.49,30692
Banks Peninsula,834,2.31,4223,11.7,16233,44.96,12176,33.72,0,0,1284,3.56,646,1.79,710,1.97,36106
Bay of Plenty,371,1.23,1098,3.63,6494,21.49,12975,42.95,7378,24.42,1231,4.07,249,0.82,416,1.38,30212
Christchurch Central,762,2.49,1791,5.86,17190,56.22,6837,22.36,0,0,1160,3.79,761,2.49,2077,6.79,30578
Christchurch East,841,2.72,1557,5.03,19784,63.92,4920,15.9,0,0,1532,4.95,834,2.69,1483,4.79,30951
Clevedon,1914,6.21,1427,4.63,8500,27.56,11627,37.69,3655,11.85,0,0,340,1.1,3383,10.97,30846
Clutha-Southland,396,1.36,605,2.08,9351,32.21,16159,55.65,1059,3.65,742,2.56,168,0.58,555,1.91,29035
Coromandel,771,2.28,7724,22.88,8748,25.91,14706,43.56,0,0,1113,3.3,367,1.09,329,0.97,33758
Dunedin North,520,1.76,2028,6.87,17573,59.5,6936,23.49,0,0,697,2.36,306,1.04,1472,4.98,29532
Dunedin South,859,2.67,2023,6.28,20398,63.31,5674,17.61,0,0,1338,4.15,750,2.33,1177,3.65,32219
East Coast,571,2.03,1398,4.97,14519,51.64,9176,32.63,0,0,1573,5.59,0,0,881,3.13,28118
East Coast Bays,1993,6.42,1688,5.44,10600,34.15,12134,39.09,0,0,2872,9.25,508,1.64,1243,4,31038
Epsom,7059,22.22,1831,5.76,7944,25,13563,42.69,0,0,731,2.3,0,0,646,2.03,31774
Hamilton East,751,2.4,1665,5.32,12827,40.96,12213,39,2099,6.7,1101,3.52,177,0.57,484,1.55,31317
Hamilton West,1304,4.33,1203,3.99,14614,48.53,9040,30.02,2091,6.94,932,3.09,234,0.78,697,2.31,30115
Helensville,0,0,0,0,8070,28.21,9775,34.18,2725,9.53,1184,4.14,273,0.95,6575,22.99,28602
Hutt South,2033,6.73,1726,5.71,14834,49.09,7063,23.37,0,0,2910,9.63,566,1.87,1089,3.6,30221
Ilam,1327,3.95,1418,4.22,11901,35.39,15773,46.91,0,0,1760,5.23,437,1.3,1008,3,33624
Invercargill,313,1.05,963,3.23,14548,48.77,11756,39.41,0,0,806,2.7,1006,3.37,437,1.47,29829
Kaikoura,458,1.44,2313,7.26,12096,37.99,15165,47.63,0,0,644,2.02,365,1.15,800,2.51,31841
Mana,801,2.77,2086,7.22,14576,50.47,8200,28.39,0,0,1663,5.76,399,1.38,1156,4,28881
Mangere,467,1.94,874,3.62,17995,74.63,2620,10.87,0,0,754,3.13,609,2.53,792,3.28,24111
Manukau East,1393,5.3,0,0,16543,62.91,5886,22.38,0,0,884,3.36,775,2.95,814,3.1,26295
Manurewa,992,3.9,1193,4.69,15821,62.24,3273,12.88,1881,7.4,994,3.91,329,1.29,937,3.69,25420
Maungakiekie,949,3.67,1114,4.3,14273,55.14,7670,29.63,0,0,867,3.35,373,1.44,640,2.47,25886
Mt Albert,1550,5.53,1537,5.48,19514,69.58,3490,12.44,0,0,726,2.59,299,1.07,928,3.31,28044
Mt Roskill,1494,5.14,0,0,18702,64.4,4987,17.17,1301,4.48,1253,4.31,229,0.79,1076,3.7,29042
Napier,1381,4.36,1782,5.62,14659,46.24,10502,33.13,0,0,1569,4.95,0,0,1808,5.7,31701
Nelson,0,0,4084,12.23,11547,34.59,15779,47.27,0,0,762,2.28,211,0.63,999,2.99,33382
New Lynn,1494,5.27,1713,6.04,16687,58.82,5502,19.4,0,0,1471,5.19,396,1.4,1105,3.9,28368
New Plymouth,0,0,1004,3.35,20905,69.76,5975,19.94,0,0,1459,4.87,103,0.34,522,1.74,29968
North Shore,3018,8.81,1913,5.58,9970,29.1,15068,43.98,2013,5.87,1329,3.88,296,0.86,657,1.92,34264
Northcote,1255,4.11,1294,4.24,12455,40.8,9831,32.2,1528,5,1139,3.73,2530,8.29,498,1.63,30530
Northland,609,2.16,2503,8.9,5502,19.55,13060,46.41,4381,15.57,799,2.84,337,1.2,948,3.37,28139
Ohariu-Belmont,823,2.46,1008,3.02,6821,20.42,4440,13.29,0,0,19355,57.95,210,0.63,740,2.22,33397
Otago,1294,4.12,0,0,14113,44.98,13429,42.8,0,0,1115,3.55,438,1.4,985,3.14,31374
Otaki,780,2.22,1648,4.7,18592,53.03,10856,30.97,0,0,0,0,492,1.4,2690,7.67,35058
Pakuranga,2419,7.59,1040,3.26,9454,29.65,14010,43.94,2001,6.28,1461,4.58,478,1.5,1025,3.21,31888
Palmerston North,0,0,1436,4.75,17032,56.39,9405,31.14,0,0,1089,3.61,0,0,1242,4.11,30204
