Part IV - All Registered Party Votes by Electorate,,,,,,,,,,,,,,,,
,ACT,ALLIANCE,LEGALISE CANNABIS,CHRISTIAN HERITAGE,GREEN PARTY,LABOUR PARTY,MANA MAORI,NATIONAL PARTY,NZ FIRST,NMP,ONENZ PARTY,UNITED FUTURE,OUTDOOR REC. NZ,PROGRESSIVE COALITION,Total Valid Party Votes,Informal Party Votes
Electorate,ACT,Alliance,Legalise Cannabis,Christian Heritage,Green Party,Labour Party,Mana Maori,National Party,NZ First,Nmp,OneNZ Party,United Future,Outdoor Rec. Nz,Progressive Coalition,Total Valid Party Votes,Informal Party Votes
Aoraki,1377,337,264,387,1613,13950,11,7550,2758,8,10,1879,521,643,31308,132
Auckland Central,3358,513,164,163,4990,13929,20,4748,1809,3,15,1266,137,468,31583,89
Banks Peninsula,2744,469,172,378,3739,14704,5,7892,2340,2,13,2717,424,952,36551,96
Bay of Plenty,1458,162,122,350,1691,9457,13,7130,6896,3,15,2506,569,239,30611,86
Christchurch Central,1845,598,327,430,3479,13853,10,5338,2106,3,16,2118,280,930,31333,135
Christchurch East,1212,466,222,441,2068,16142,8,4368,2532,3,15,2394,430,1171,31472,102
Clevedon,3578,218,122,426,1229,10739,13,7764,4355,6,14,2281,350,320,31415,70
Clutha-Southland,1491,224,147,335,1006,9290,2,11881,1977,1,13,1928,602,299,29196,166
Coromandel,2137,175,139,306,3232,11778,10,7663,5740,7,27,2159,473,398,34244,111
Dunedin North,1254,924,212,248,3697,14866,9,4841,1333,6,15,1658,253,588,29904,99
Dunedin South,1144,564,213,356,2036,18311,8,5004,2016,1,9,1923,415,765,32765,97
East Coast,1396,336,147,308,1638,11687,29,6255,3989,3,83,1859,521,484,28735,122
East Coast Bays,3796,287,123,334,1646,10722,4,7876,3163,6,75,3052,227,403,31714,75
Epsom,6652,332,90,209,2161,9328,6,9499,1994,4,12,1857,83,254,32481,72
Hamilton East,3116,365,157,395,2281,11369,18,7573,3256,2,17,2643,255,356,31803,105
Hamilton West,2481,243,164,412,1748,12715,14,6415,3577,4,15,2087,298,379,30552,142
Helensville,3676,299,118,288,1755,8988,10,7524,3481,2,15,2416,313,272,29157,78
Hutt South,2474,462,167,362,1980,13985,12,5718,2139,1,22,2700,223,562,30807,117
Ilam,3482,507,125,459,2018,11413,4,10255,2400,1,14,2842,270,540,34330,81
Invercargill,1073,241,219,301,1298,14089,2,8021,1838,1,14,1851,444,760,30152,108
Kaikoura,1873,197,125,508,2220,12636,4,8536,2825,3,17,1859,821,570,32194,98
Mana,1821,507,182,359,2184,13997,14,5088,1857,1,47,2623,212,562,29454,109
Mangere,573,273,164,345,806,17586,31,1839,1585,3,9,889,83,618,24804,218
Manukau East,1883,214,129,384,695,15235,15,4371,2199,8,14,1335,95,540,27117,159
Manurewa,1332,249,141,509,970,14752,15,3261,2658,5,14,1443,186,550,26085,164
Maungakiekie,2256,250,93,266,1466,13491,14,4547,2044,3,10,1558,129,524,26651,208
Mt Albert,2063,494,115,295,3080,15021,6,3777,1855,4,4,1534,98,491,28837,160
Mt Roskill,2351,357,109,425,1577,14866,10,5126,2329,4,12,2162,121,446,29895,124
Napier,2061,411,164,515,2023,14853,6,6074,3045,6,119,1977,805,492,32551,112
Nelson,1346,398,193,628,3008,15149,3,6517,2147,5,30,2254,1602,441,33721,115
New Lynn,1929,405,91,440,2087,14128,5,4315,2949,6,11,2109,175,485,29135,119
New Plymouth,1491,294,182,400,2039,12605,7,6628,3616,5,13,2367,302,366,30315,143
North Shore,4897,282,112,292,2234,10841,1,9507,3525,5,18,2408,179,363,34664,75
Northcote,3161,332,147,332,1983,12040,8,6687,3069,6,24,2283,221,754,31047,84
Northland,2106,232,152,476,2651,8445,13,6523,5428,4,23,1656,383,424,28516,121
Ohariu-Belmont,3428,418,126,292,2183,12374,8,8232,1654,1,21,4394,246,394,33771,83
Otago,1919,260,232,431,2598,12943,4,8472,2127,7,19,1779,635,528,31954,92
Otaki,1662,421,184,662,1964,15700,12,7340,3907,6,128,2494,344,720,35544,96
Pakuranga,4712,192,93,426,1173,10375,2,8470,3859,4,20,2543,204,396,32469,84
Palmerston North,1620,700,166,442,2241,13051,13,6603,2640,9,75,2269,309,535,30673,162
Piako,2575,212,142,411,1434,9688,12,8066,4752,4,17,2038,517,363,30231,141
Port Waikato,3326,166,142,411,1733,8681,15,8432,5120,2,27,2026,505,312,30898,149
Rakaia,2525,272,137,420,1610,9938,8,10926,2766,3,8,2319,658,589,32179,81
Rangitikei,1816,334,190,616,1398,10699,13,8214,3419,7,39,2185,478,455,29863,108
Rimutaka,2004,394,179,526,1683,14856,7,5387,2641,10,82,2933,562,669,31933,146
Rodney,2994,235,103,379,2056,10514,6,7435,4996,0,20,3008,340,390,32476,97
Rongotai,2322,775,253,236,4286,14783,18,5571,1783,3,16,2041,180,618,32885,141
Rotorua,1518,252,156,350,1679,10700,28,5809,4677,1,19,2014,791,442,28436,114
Tamaki,5328,260,83,200,1573,11289,5,9053,2738,5,13,2153,110,316,33126,114
Taranaki-King Country,2265,213,114,528,1419,7701,16,9199,3920,5,17,1646,541,349,27933,137
Taupo,1700,198,137,292,1467,10775,19,5961,3629,1,13,1523,1072,423,27210,85
Tauranga,1517,191,140,342,1865,10608,12,7250,7278,5,27,3155,337,262,32989,111
Te Atatu,1381,618,132,473,1248,14128,8,3595,2953,3,16,2100,174,490,27319,169
Tukituki,2234,275,187,738,1800,13032,14,7319,3118,3,180,2050,572,374,31896,112
Waimakariri,1771,329,167,481,1628,14383,8,7593,3834,2,18,2379,571,721,33885,129
Wairarapa,1770,311,178,891,1827,11867,5,7678,3605,3,32,1735,525,498,30925,121
Waitakere,1860,667,170,414,2194,12868,8,3848,2924,0,14,1861,215,425,27468,95
Wellington Central,4435,1034,233,177,6021,13668,15,7396,1161,5,14,2233,141,515,37048,84
West Coast-Tasman,1293,416,323,494,3081,10261,4,6555,3355,5,22,1991,1586,661,30047,270
Whanganui,1187,376,183,853,1883,12298,8,7291,3796,9,32,1904,373,721,30914,114
Whangarei,2623,351,143,807,2111,11374,11,7493,5008,3,23,1483,383,394,32207,125
Wigram,1285,611,175,497,2179,14533,6,5457,2266,4,10,2402,366,2178,31969,215
General Electorate Totals,143957,23098,9981,25851,130662,780047,645,420756,194756,245,1716,133251,25235,33147,1923347,7467
Ikaroa-Rawhiti,108,251,471,298,1366,8875,511,515,1832,3,15,240,97,190,14772,182
Tainui,162,511,442,151,1506,8007,811,582,2189,4,10,350,104,167,14996,182
Tamaki Makaurau,223,470,423,240,1659,9052,464,516,2430,2,4,411,51,228,16173,122
Te Tai Hauauru,94,290,454,245,1602,8113,590,596,1832,4,13,377,92,165,14467,136
Te Tai Tokerau,231,594,384,308,1839,7646,531,674,3318,7,7,348,81,222,16190,189
Te Tai Tonga,216,409,412,200,2048,8157,481,1083,1956,4,6,512,178,287,15949,167
Waiariki,87,265,420,199,1568,8322,947,588,2599,5,11,429,147,136,15723,186
Maori Electorate Totals,1121,2790,3006,1641,11588,58172,4335,4554,16156,29,66,2667,750,1395,108270,1164
Combined Totals,145078,25888,12987,27492,142250,838219,4980,425310,210912,274,1782,135918,25985,34542,2031617,8631
