Electorate Candidate Votes and Turnout by Electorate,,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of,
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f),
Aoraki,31699,2083,33782,229,26,255,,219,34256,40922,52177,83.71047358,53.28117702,0.74918471
Auckland Central,30253,5732,35985,233,59,292,,941,37218,45159,53547,82.41546536,42.43645548,0.80491772
Banks Peninsula,36388,3855,40243,275,49,324,,439,41006,47640,56914,86.07472712,43.01565625,0.79867873
Bay of Plenty,32941,3023,35964,210,45,255,,709,36928,44128,51893,83.68382886,56.70764731,0.70405036
Christchurch Central,29463,4176,33639,326,84,410,,763,34812,43667,56894,79.72152884,50.80144778,1.20414696
Christchurch East,31952,2815,34767,363,61,424,,497,35688,43960,56310,81.18289354,58.75644474,1.20485351
Clevedon,32811,4039,36850,331,70,401,,693,37944,47198,56169,80.393237,57.52688172,1.07648117
Clutha-Southland,28230,1886,30116,202,9,211,,253,30580,37567,51902,81.4012298,65.4676259,0.69574966
Coromandel,33218,2789,36007,232,28,260,,417,36684,43641,53687,84.05856878,51.96816051,0.71690518
Dunedin North,29170,3089,32259,217,24,241,,383,32883,39418,51756,83.42127962,54.03704042,0.74153846
Dunedin South,32829,2317,35146,356,42,398,,495,36039,42500,53113,84.79764706,55.58700297,1.11973892
East Coast,28453,2049,30502,247,19,266,,554,31322,38717,53637,80.89986311,43.63067492,0.86453458
East Coast Bays,33568,3036,36604,236,88,324,,574,37502,46167,56749,81.23118245,45.89888539,0.87738302
Epsom,30971,4814,35785,197,48,245,,732,36762,44686,54525,82.26737681,41.48577335,0.6799889
Hamilton East,33500,3475,36975,233,59,292,,757,38024,45825,55263,82.97654119,49.70807911,0.78353503
Hamilton West,30626,2903,33529,251,49,300,,660,34489,42991,56672,80.22376777,44.6403201,0.88681309
Helensville,31057,3278,34335,206,47,253,,634,35222,42511,52281,82.85384959,62.48367498,0.73146756
Hutt South,29511,2727,32238,288,19,307,,520,33065,39626,52910,83.44268914,48.76757901,0.94330926
Ilam,32197,3583,35780,416,52,468,,423,36671,44279,56906,82.81804015,51.83932808,1.29110572
Invercargill,29444,2007,31451,293,23,316,,307,32074,39414,51673,81.37717562,48.54399202,0.99474297
Kaikoura,31626,2730,34356,302,33,335,,305,34996,42294,52855,82.74459734,50.73436964,0.96566833
Mana,28626,2869,31495,316,30,346,,698,32539,39043,53671,83.34144405,51.51664157,1.08664929
Mangere,24382,3411,27793,404,49,453,,1461,29707,40755,56830,72.89166973,66.08880062,1.60376691
Manukau East,28389,3266,31655,462,93,555,,1546,33756,46077,56426,73.25997786,55.70565233,1.72306737
Manurewa,26715,3119,29834,398,76,474,,1352,31660,41763,56815,75.80873022,56.21920404,1.56394351
Maungakiekie,25697,3962,29659,356,53,409,,1069,31137,40192,51913,77.47064092,50.81093233,1.3602501
Mt Albert,27093,4338,31431,266,50,316,,933,32680,40698,51941,80.29878618,64.00856793,0.99536964
Mt Roskill,29007,3485,32492,382,57,439,,815,33746,42310,54064,79.75892224,57.71350679,1.3330904
Napier,32572,2659,35231,280,25,305,,415,35951,42825,55382,83.94862814,49.94297794,0.85828456
Nelson,33641,2788,36429,239,21,260,,363,37052,44761,56025,82.77741784,54.78516679,0.70865927
New Lynn,28948,3284,32232,494,55,549,,684,33465,40810,52141,82.0019603,54.04751233,1.67475062
New Plymouth,30650,2269,32919,311,27,338,,282,33539,41250,52194,81.30666667,52.2138406,1.01632739
North Shore,33248,3650,36898,371,59,430,,583,37911,45687,56032,82.97984109,57.96470681,1.15195028
Northcote,31014,3129,34143,251,45,296,,603,35042,43527,54675,80.50635238,48.09656983,0.85949069
Northland,28220,2408,30628,208,25,233,,567,31428,38574,54115,81.47456836,52.74595902,0.75499822
Ohariu-Belmont,32959,3734,36693,208,39,247,,468,37408,43616,54232,85.76669112,45.02780154,0.66865187
Otago,33351,2937,36288,302,29,331,,441,37060,44124,52491,83.99057202,46.85375067,0.90390235
Otaki,35894,2475,38369,222,20,242,,423,39034,46039,56725,84.78463911,44.97617462,0.62676439
Pakuranga,32582,2878,35460,323,36,359,,455,36274,44955,56269,80.68957847,52.817445,1.00226137
Palmerston North,29425,2620,32045,242,34,276,,471,32792,39798,52859,82.39610031,52.64393755,0.85393397
Piako,31435,2439,33874,307,34,341,,397,34612,43014,56643,80.46682475,53.76747949,0.9966389
Port Waikato,32595,2935,35530,287,38,325,,542,36397,44043,56578,82.63969303,62.13698931,0.90642867
Rakaia,33849,2411,36260,354,27,381,,326,36967,44182,54711,83.66982029,56.67216707,1.03981878
Rangitikei,29563,2078,31641,198,18,216,,347,32204,38811,51920,82.97647574,59.36840144,0.67802995
Rimutaka,31658,2470,34128,311,42,353,,560,35041,41997,55998,83.43691216,53.31183471,1.02375221
Rodney,34224,2937,37161,199,36,235,,480,37876,44926,52885,84.30752793,54.52265287,0.62840946
Rongotai,31613,4387,36000,365,66,431,,753,37184,43391,53113,85.69519025,57.48709122,1.18305838
Rotorua,28261,2204,30465,293,33,326,,485,31276,38490,53647,81.25746947,39.71096048,1.05875093
Tamaki,32116,4016,36132,346,65,411,,768,37311,45211,56282,82.52637632,56.16574201,1.12470241
Taranaki-King Country,28647,2214,30861,490,43,533,,358,31752,38839,53788,81.75287726,65.71869489,1.69777665
Taupo,26695,2342,29037,184,23,207,,478,29722,37043,52274,80.23648193,44.44855662,0.70783751
Tauranga,32866,3225,36091,196,33,229,,651,36971,44003,53449,84.01927141,40.62643694,0.63050661
Te Atatu,27469,2994,30463,320,50,370,,820,31653,40062,52774,79.01003445,57.14150318,1.20001297
Tukituki,32371,2592,34963,288,41,329,,841,36133,43367,56977,83.31911361,47.70984972,0.9322226
Waimakariri,36349,2909,39258,246,31,277,,485,40020,48111,55964,83.18264014,47.68615692,0.700645
Wairarapa,29888,2142,32030,227,16,243,,361,32634,39116,52261,83.42877595,41.92253478,0.75295138
Waitakere,28377,3019,31396,229,42,271,,925,32592,40419,51630,80.63534476,47.02074129,0.85578047
Wellington Central,34245,6421,40666,250,38,288,,731,41685,48148,54289,86.57680485,48.45627924,0.70322801
West Coast-Tasman,29630,2194,31824,324,30,354,,321,32499,39387,51719,82.51199634,46.70297548,1.10013052
Whanganui,30313,1839,32152,354,22,376,,384,32912,40699,56031,80.86685177,48.14657268,1.1559272
