Actual Quotuents for Party List Seat Allocation,,,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,,,
Divisor,Labour Party,Seat No.,National Party,Seat No.,New Zealand First Party,Seat No.,Green Party,Seat No.,United Future New Zealand,Seat No.,Maori Party,Seat No.,ACT New Zealand,Seat No.,Jim Anderton's Progressive,Seat No.
1,935319,1,889813,2,130115,8,120521,10,60860,18,48263,23,34469,34,26441,43
3,311773,3,296604.3333,4,43371.66667,26,40173.66667,29,20286.66667,56,16087.66667,71,11489.66667,99,8813.66667,0
5,187063.8,5,177962.6,6,26023,44,24104.2,47,12172,92,9652.6,116,6893.8,0,5288.2,0
7,133617,7,127116.1429,9,18587.85714,61,17217.28571,66,8694.28571,0,6894.71429,0,4924.14286,0,3777.28571,0
9,103924.3333,11,98868.11111,12,14457.22222,78,13391.22222,84,6762.22222,0,5362.55556,0,3829.88889,0,2937.88889,0
11,85029,13,80892.09091,14,11828.63636,96,10956.45455,104,5532.72727,0,4387.54545,0,3133.54545,0,2403.72727,0
13,71947.61538,15,68447.15385,16,10008.84615,112,9270.84615,0,4681.53846,0,3712.53846,0,2651.46154,0,2033.92308,0
15,62354.6,17,59320.86667,19,8674.33333,0,8034.73333,0,4057.33333,0,3217.53333,0,2297.93333,0,1762.73333,0
17,55018.76471,20,52341.94118,21,7653.82353,0,7089.47059,0,3580,0,2839,0,2027.58824,0,1555.35294,0
19,49227.31579,22,46832.26316,24,6848.15789,0,6343.21053,0,3203.15789,0,2540.15789,0,1814.15789,0,1391.63158,0
21,44539,25,42372.04762,27,6195.95238,0,5739.09524,0,2898.09524,0,2298.2381,0,1641.38095,0,1259.09524,0
23,40666.04348,28,38687.52174,30,5657.17391,0,5240.04348,0,2646.08696,0,2098.3913,0,1498.65217,0,1149.6087,0
25,37412.76,31,35592.52,32,5204.6,0,4820.84,0,2434.4,0,1930.52,0,1378.76,0,1057.64,0
27,34641.44444,33,32956.03704,35,4819.07407,0,4463.74074,0,2254.07407,0,1787.51852,0,1276.62963,0,979.2963,0
29,32252.37931,36,30683.2069,37,4486.72414,0,4155.89655,0,2098.62069,0,1664.24138,0,1188.58621,0,911.75862,0
31,30171.58065,38,28703.64516,39,4197.25806,0,3887.77419,0,1963.22581,0,1556.87097,0,1111.90323,0,852.93548,0
33,28343,40,26964.0303,41,3942.87879,0,3652.15152,0,1844.24242,0,1462.51515,0,1044.51515,0,801.24242,0
35,26723.4,42,25423.22857,45,3717.57143,0,3443.45714,0,1738.85714,0,1378.94286,0,984.82857,0,755.45714,0
37,25278.89189,46,24049,48,3516.62162,0,3257.32432,0,1644.86486,0,1304.40541,0,931.59459,0,714.62162,0
39,23982.53846,49,22815.71795,50,3336.28205,0,3090.28205,0,1560.51282,0,1237.51282,0,883.82051,0,677.97436,0
41,22812.65854,51,21702.7561,53,3173.53659,0,2939.53659,0,1484.39024,0,1177.14634,0,840.70732,0,644.90244,0
43,21751.60465,52,20693.32558,55,3025.93023,0,2802.81395,0,1415.34884,0,1122.39535,0,801.60465,0,614.90698,0
45,20784.86667,54,19773.62222,58,2891.44444,0,2678.24444,0,1352.44444,0,1072.51111,0,765.97778,0,587.57778,0
47,19900.40426,57,18932.19149,60,2768.40426,0,2564.2766,0,1294.89362,0,1026.87234,0,733.38298,0,562.57447,0
49,19088.14286,59,18159.44898,63,2655.40816,0,2459.61224,0,1242.04082,0,984.95918,0,703.44898,0,539.61224,0
51,18339.58824,62,17447.31373,65,2551.27451,0,2363.15686,0,1193.33333,0,946.33333,0,675.86275,0,518.45098,0
