Party Votes and Turnout by Electorate,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f)
Aoraki,31797,2230,34027,131,6,137,,92,34256,40922,52177,83.71047358,0.40100691
Auckland Central,30393,6388,36781,93,22,115,,322,37218,45159,53547,82.41546536,0.3116869
Banks Peninsula,36558,4230,40788,105,7,112,,106,41006,47640,56914,86.07472712,0.27383863
Bay of Plenty,33037,3471,36508,114,15,129,,291,36928,44128,51893,83.68382886,0.35210307
Christchurch Central,29610,4859,34469,179,14,193,,150,34812,43667,56894,79.72152884,0.55680572
Christchurch East,32141,3212,35353,174,12,186,,149,35688,43960,56310,81.18289354,0.52336869
Clevedon,33015,4529,37544,127,13,140,,260,37944,47198,56169,80.393237,0.37151046
Clutha-Southland,28286,2049,30335,146,4,150,,95,30580,37567,51902,81.4012298,0.49204527
Coromandel,33322,3050,36372,128,5,133,,179,36684,43641,53687,84.05856878,0.36433365
Dunedin North,29323,3359,32682,64,7,71,,130,32883,39418,51756,83.42127962,0.21677404
Dunedin South,33065,2554,35619,120,7,127,,293,36039,42500,53113,84.79764706,0.35528451
East Coast,28582,2390,30972,118,7,125,,225,31322,38717,53637,80.89986311,0.40196804
East Coast Bays,33710,3474,37184,94,6,100,,218,37502,46167,56749,81.23118245,0.26821157
Epsom,31081,5340,36421,87,7,94,,247,36762,44686,54525,82.26737681,0.25742845
Hamilton East,33629,4029,37658,104,9,113,,253,38024,45825,55263,82.97654119,0.29917132
Hamilton West,30746,3392,34138,131,7,138,,213,34489,42991,56672,80.22376777,0.40261407
Helensville,31172,3724,34896,91,19,110,,216,35222,42511,52281,82.85384959,0.31423185
Hutt South,29661,3012,32673,138,6,144,,248,33065,39626,52910,83.44268914,0.43879696
Ilam,32519,3932,36451,94,6,100,,120,36671,44279,56906,82.81804015,0.27359033
Invercargill,29630,2175,31805,107,4,111,,158,32074,39414,51673,81.37717562,0.34778794
Kaikoura,31787,2942,34729,141,6,147,,120,34996,42294,52855,82.74459734,0.42149329
Mana,28834,3212,32046,108,9,117,,376,32539,39043,53671,83.34144405,0.36377204
Mangere,24522,4152,28674,264,29,293,,740,29707,40755,56830,72.89166973,1.01149584
Manukau East,28665,4324,32989,186,18,204,,563,33756,46077,56426,73.25997786,0.61458741
Manurewa,26940,3942,30882,173,15,188,,590,31660,41763,56815,75.80873022,0.60508529
Maungakiekie,25917,4615,30532,136,13,149,,456,31137,40192,51913,77.47064092,0.48564258
Mt Albert,27244,4968,32212,115,15,130,,338,32680,40698,51941,80.29878618,0.40195412
Mt Roskill,29207,3993,33200,182,11,193,,353,33746,42310,54064,79.75892224,0.57796544
Napier,32730,2918,35648,122,7,129,,174,35951,42825,55382,83.94862814,0.36056684
Nelson,33774,3028,36802,106,7,113,,137,37052,44761,56025,82.77741784,0.30610863
New Lynn,29280,3739,33019,162,21,183,,263,33465,40810,52141,82.0019603,0.55117162
New Plymouth,30840,2479,33319,121,5,126,,94,33539,41250,52194,81.30666667,0.37673793
North Shore,33531,4092,37623,88,2,90,,198,37911,45687,56032,82.97984109,0.2386445
Northcote,31170,3537,34707,95,7,102,,233,35042,43527,54675,80.50635238,0.29302767
Northland,28303,2736,31039,125,8,133,,256,31428,38574,54115,81.47456836,0.42666496
Ohariu-Belmont,33102,4095,37197,65,8,73,,138,37408,43616,54232,85.76669112,0.19586799
Otago,33559,3254,36813,94,10,104,,143,37060,44124,52491,83.99057202,0.28171303
Otaki,35988,2719,38707,128,6,134,,193,39034,46039,56725,84.78463911,0.34499627
Pakuranga,32831,3152,35983,74,14,88,,203,36274,44955,56269,80.68957847,0.24396329
Palmerston North,29571,2980,32551,96,9,105,,136,32792,39798,52859,82.39610031,0.32153356
Piako,31576,2721,34297,166,5,171,,144,34612,43014,56643,80.46682475,0.49611234
Port Waikato,32743,3294,36037,139,4,143,,217,36397,44043,56578,82.63969303,0.39524599
Rakaia,34090,2666,36756,113,4,117,,94,36967,44182,54711,83.66982029,0.31730535
Rangitikei,29668,2311,31979,93,7,100,,125,32204,38811,51920,82.97647574,0.31173042
Rimutaka,31837,2803,34640,132,13,145,,256,35041,41997,55998,83.43691216,0.41684634
Rodney,34330,3275,37605,93,6,99,,172,37876,44926,52885,84.30752793,0.26257161
Rongotai,31828,4852,36680,150,14,164,,340,37184,43391,53113,85.69519025,0.44511997
Rotorua,28446,2504,30950,108,17,125,,201,31276,38490,53647,81.25746947,0.40225261
Tamaki,32340,4467,36807,122,17,139,,365,37311,45211,56282,82.52637632,0.37622476
Taranaki-King Country,29012,2465,31477,125,14,139,,136,31752,38839,53788,81.75287726,0.43965081
Taupo,26796,2630,29426,83,12,95,,201,29722,37043,52274,80.23648193,0.32180482
Tauranga,32922,3651,36573,140,12,152,,246,36971,44003,53449,84.01927141,0.413887
Te Atatu,27631,3523,31154,158,18,176,,323,31653,40062,52774,79.01003445,0.56176189
Tukituki,32534,2920,35454,125,10,135,,544,36133,43367,56977,83.31911361,0.37933069
Waimakariri,36484,3260,39744,111,5,116,,160,40020,48111,55964,83.18264014,0.29101856
Wairarapa,29999,2358,32357,116,8,124,,153,32634,39116,52261,83.42877595,0.38176165
Waitakere,28492,3635,32127,114,13,127,,338,32592,40419,51630,80.63534476,0.39374961
Wellington Central,34421,6952,41373,74,12,86,,226,41685,48148,54289,86.57680485,0.20743385
West Coast-Tasman,29830,2441,32271,124,7,131,,97,32499,39387,51719,82.51199634,0.40429603
Whanganui,30533,2091,32624,134,10,144,,144,32912,40699,56031,80.86685177,0.43945313
Whangarei,32677,2891,35568,109,8,117,,153,35838,43362,54133,82.64840183,0.32786885
Wigram,30319,3611,33930,695,33,728,,212,34870,43658,56879,79.87081405,2.10052513
General Electorate Totals,1927580,213597,2141177,8150,652,8802,,14516,2164495,2639393,3366578,82.00730244,0.41108232
Ikaroa-Rawhiti,16270,1985,18255,217,23,240,,482,18977,28164,51262,67.3803437,1.29764801
Tainui,16403,2313,18716,295,48,343,,444,19503,29669,54358,65.73527925,1.79967469
Tamaki Makaurau,16790,3069,19859,168,31,199,,382,20440,32940,54692,62.05221615,0.99212284
Te Tai Hauauru,16040,2075,18115,200,32,232,,431,18778,27407,51103,68.5153428,1.26451191
Te Tai Tokerau,17175,2667,19842,218,16,234,,630,20706,29670,54466,69.78766431,1.16557083
Te Tai Tonga,17743,2095,19838,167,22,189,,285,20312,30203,52204,67.25159752,0.94372597
Waiariki,17622,2205,19827,290,32,322,,645,20794,29950,53680,69.42904841,1.5980942
Maori Electorate Totals,118043,16409,134452,1555,204,1759,,3299,139510,208003,371765,67.07114801,1.29137882
Combined Totals,2045623,230006,2275629,9705,856,10561,,17815,2304005,2847396,3738343,80.91621257,0.46194761
