All Electorates,Total Party Votes,99 MP Party,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Christian Heritage NZ,Democrats for Social Credit,Destiny New Zealand,Direct Democracy Party,Green Party,Jim Anderton's Progressive,Labour Party,Libertarianz,Maori Party,National Party,New Zealand Family Rights Protection Party,New Zealand First Party,OneNZ Party,The Republic of New Zealand Party,United Future New Zealand,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total % 
 99 MP Party,601,0,2.5,0.67,1,0,0.5,1.33,1.83,5.66,3.66,28.12,0.33,7.15,27.29,0.33,3.16,0,0.17,6.32,3.16,5.49,1.33,100
ACT New Zealand,34469,0,23.02,0.05,0.08,0.06,0.02,0.34,0.12,1.13,0.81,8.68,0.15,0.5,59.23,0.02,1.14,0.01,0.01,1.63,1.09,1.26,0.66,100
Alliance,1641,0,1.65,15.54,0.06,0,0.18,1.1,0.49,5.36,8.53,41.44,0.24,1.77,12.13,0.18,3.47,0,0.06,2.86,1.65,2.25,1.04,100
Aotearoa Legalise Cannabis Party,5748,0,1.69,0.23,6.4,0.05,0.05,0.92,0.63,20.25,1.36,30.05,0.33,8.94,14.96,0.07,3.57,0.03,0.07,1.79,1.74,2.31,4.56,100
Christian Heritage NZ,2821,0,1.91,0.25,0.07,11.91,0.21,9.57,0.39,2.41,1.77,16.48,0.14,1.52,27.22,0.32,4.11,0,0,14.29,2.2,3.62,1.6,100
Democrats for Social Credit,1079,0,2.87,1.48,0.28,0.28,14.27,1.67,2.13,9.45,6.86,21.69,0.37,1.39,15.85,0,7.78,0.09,0,6.12,2.78,4.26,0.37,100
Destiny New Zealand,14210,0,0.68,0.14,0.02,0.42,0.04,54.24,0.18,0.68,1.04,6.92,0.03,2.29,17.12,0.05,2.7,0.01,0.01,6.69,2.84,1.95,1.94,100
Direct Democracy Party,782,0,1.28,0.13,0.38,0.38,0.13,1.02,48.08,3.96,1.15,16.24,0.38,2.05,13.3,0,3.07,0,0.38,1.53,1.53,2.43,2.56,100
Green Party,120521,0,0.61,0.23,0.33,0.02,0.03,0.14,0.1,25.22,1.64,57.37,0.06,2.36,7.23,0.01,1.04,0,0.02,1.02,0.64,0.69,1.23,100
Jim Anderton's Progressive,26441,0,0.85,0.26,0.06,0.09,0.09,0.46,0.09,2.87,26.89,48.52,0.04,0.87,11.34,0.03,2.45,0.02,0,2.53,0.76,1.05,0.71,100
Labour Party,935319,0,0.56,0.08,0.12,0.02,0.01,0.27,0.05,5.04,1.97,78,0.02,2.94,5.23,0.05,1.68,0,0,1.29,0.4,0.82,1.46,100
Libertarianz,946,0,10.99,0.42,0.53,0,0.11,0.42,1.59,6.13,1.69,12.79,17.55,1.59,29.49,0.21,3.59,0.11,0.11,2.85,2.96,5.29,1.59,100
Maori Party,48263,0,0.17,0.02,0.17,0.02,0,0.94,0.04,1.77,0.36,13.9,0.01,73.18,1.87,0.03,0.91,0,0,0.47,1,1.12,4.02,100
National Party,889813,0,3.02,0.03,0.04,0.05,0.01,0.41,0.05,0.87,0.49,4.23,0.02,0.34,84.13,0.01,1.92,0.01,0,2.59,0.57,0.56,0.64,100
New Zealand Family Rights Protection Party,1178,0,2.21,0.34,0.42,0.25,0.42,2.97,1.1,1.78,2.55,33.11,0.08,3.74,7.64,30.31,2.8,0,0.08,2.55,1.61,3.31,2.72,100
New Zealand First Party,130115,0,1.4,0.14,0.15,0.08,0.09,1.12,0.19,1.87,1.9,20.4,0.04,3.3,32.2,0.04,30.81,0.06,0.02,2.35,0.94,2.04,0.87,100
OneNZ Party,478,0,2.72,0.63,0.21,0,0,0.63,1.05,2.72,2.93,23.01,0.42,1.67,37.87,0.21,7.53,3.35,0.21,3.56,2.93,6.69,1.67,100
The Republic of New Zealand Party,344,0,5.81,0.29,0.29,0.29,0.29,2.33,1.74,7.27,6.4,19.48,0,2.91,22.09,0.29,6.4,0.58,3.49,5.23,6.4,6.69,1.74,100
United Future New Zealand,60860,0,0.92,0.08,0.02,0.21,0.03,1.56,0.06,1.08,1.5,15.5,0.01,0.67,39.86,0.02,2.08,0,0,34.17,1.02,0.67,0.52,100
Party Informals,10561,0,0.62,0.09,0.08,0.01,0.06,0.48,0.18,1.13,3.21,19.92,0.03,2.89,7.83,0.06,1.69,0.02,0.03,0.76,0.55,58.51,1.88,100
Total Party Votes and Percentages,2286190,0,1.93,0.08,0.11,0.06,0.02,0.77,0.08,4.03,1.6,39.46,0.03,3.28,39.49,0.05,3.42,0.01,0.01,2.78,0.58,1.08,1.12,100
