Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,,,
,99 MP PARTY,ACT NEW ZEALAND,ALLIANCE,AOTEAROA LEGALISE CANNABIS PARTY,CHRISTIAN HERITAGE NZ,DEMOCRATS FOR SOCIAL CREDIT,DESTINY NEW ZEALAND,DIRECT DEMOCRACY PARTY,GREEN PARTY,JIM ANDERTON'S PROGRESSIVE,LABOUR PARTY,LIBERTARIANZ,MÂORI PARTY,NATIONAL PARTY,NEW ZEALAND FAMILY RIGHTS PROTEC,NEW ZEALAND FIRST PARTY,ONENZ PARTY,THE REPUBLIC OF NEW ZEALAND PART,UNITED FUTURE NEW ZEALAND,Total Valid Party Votes,Informal Party Votes
Electorate,99 MP Party,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Christian Heritage Nz,Democrats For Social Credit,Destiny New Zealand,Direct Democracy Party,Green Party,Jim Anderton's Progressive,Labour Party,Libertarianz,Maori Party,National Party,New Zealand Family Rights Protec,New Zealand First Party,OneNZ Party,The Republic Of New Zealand Part,United Future New Zealand,Total Valid Party Votes,Informal Party Votes
Aoraki,19,398,24,130,31,30,91,19,1524,523,13596,6,38,14653,13,2048,3,3,878,34027,137
Auckland Central,5,658,19,61,29,10,80,15,4775,297,16639,25,223,12403,13,1044,5,3,477,36781,115
Banks Peninsula,9,443,39,61,45,17,81,5,4255,808,16355,19,80,15697,4,1421,10,5,1434,40788,112
Bay of Plenty,3,332,3,63,20,13,279,10,1213,316,10252,12,226,17934,6,4399,2,4,1421,36508,129
Christchurch Central,10,364,40,125,37,15,144,7,3342,643,16652,9,116,10515,4,1391,2,5,1048,34469,193
Christchurch East,6,277,98,101,54,18,170,13,1948,926,18893,13,97,9851,7,1694,5,6,1176,35353,186
Clevedon,5,903,11,68,48,7,218,16,924,381,11866,16,199,19527,17,2523,4,3,808,37544,140
Clutha-Southland,13,579,23,79,24,26,99,2,719,230,8705,7,63,17334,9,1386,6,3,1028,30335,150
Coromandel,8,557,6,104,25,24,211,2,2713,358,11535,24,165,16062,7,3661,6,9,895,36372,133
Dunedin North,10,322,65,95,35,21,78,4,3536,431,17915,14,96,8217,3,931,4,4,901,32682,71
Dunedin South,4,266,52,90,35,30,128,8,1926,500,20348,8,77,9692,4,1563,6,3,879,35619,127
East Coast,5,214,17,60,20,20,336,2,1316,309,12076,6,494,13070,8,2098,3,2,916,30972,125
East Coast Bays,6,956,15,74,44,14,370,28,1297,338,11813,14,95,19437,6,1775,5,7,890,37184,100
Epsom,6,1237,11,25,33,6,66,9,1941,205,9915,20,107,21310,3,887,3,1,636,36421,94
Hamilton East,12,732,17,56,37,15,109,5,2083,347,13377,21,234,17112,3,2202,8,2,1286,37658,113
Hamilton West,6,550,10,89,56,24,159,11,1313,358,14097,15,229,13664,14,2549,7,13,974,34138,138
Helensville,5,821,9,66,48,8,151,26,1407,281,9761,16,142,19224,8,2051,4,5,863,34896,110
Hutt South,7,420,27,77,21,9,181,4,1831,337,15534,21,193,11464,11,1262,4,3,1267,32673,144
Ilam,7,689,29,38,33,8,57,2,1952,454,12589,15,62,17949,4,1245,6,8,1304,36451,100
Invercargill,9,365,22,96,56,63,188,11,980,388,14369,10,106,12559,11,1530,13,5,1024,31805,111
Kaikoura,10,505,40,68,43,24,139,4,2005,558,12515,9,133,15636,3,2036,13,7,981,34729,147
Mana,8,322,49,83,22,7,224,7,1995,345,16016,9,248,10108,5,1244,5,3,1346,32046,117
Mangere,2,141,48,59,42,5,445,21,503,429,20900,5,330,3894,184,1189,8,2,467,28674,293
Manukau East,8,629,32,62,44,6,472,9,583,525,18100,15,204,10219,145,1434,8,8,486,32989,204
Manurewa,6,232,21,74,50,6,387,42,603,397,18254,8,407,7938,105,1714,10,4,624,30882,188
Maungakiekie,9,584,11,55,46,7,276,11,1267,414,15484,7,184,10223,49,1278,2,2,623,30532,149
Mt Albert,6,651,22,43,40,3,157,10,2985,356,17501,19,168,8488,20,1089,0,5,649,32212,130
Mt Roskill,9,825,22,36,60,7,191,18,1383,391,16501,18,121,11543,64,1173,5,7,826,33200,193
Napier,8,390,29,80,44,16,145,11,1864,316,14615,11,150,15086,6,1989,11,5,872,35648,129
Nelson,6,388,33,104,141,24,361,50,2848,417,15809,9,89,13619,7,1593,11,4,1289,36802,113
New Lynn,7,747,21,51,56,5,158,38,1850,407,16208,11,128,10916,7,1580,7,4,818,33019,183
New Plymouth,12,394,18,86,36,15,244,52,1816,249,12542,14,148,14836,11,2036,12,7,791,33319,126
North Shore,11,1144,10,55,53,5,120,10,1940,261,11252,21,106,20125,6,1683,13,1,807,37623,90
Northcote,10,921,11,73,39,8,195,14,1763,426,13573,25,145,14927,8,1736,4,3,826,34707,102
Northland,11,474,27,94,37,48,196,5,2000,272,9384,27,484,14182,6,3162,6,6,618,31039,133
Ohariu-Belmont,16,554,16,58,17,4,127,2,2174,239,14720,21,104,16042,8,1024,5,3,2063,37197,73
Otago,11,585,26,106,38,53,132,36,2251,389,14573,10,63,16333,7,1407,4,6,783,36813,104
Otaki,14,383,78,88,37,21,154,7,1761,614,16131,9,286,15174,4,2630,14,5,1297,38707,134
Pakuranga,6,1354,13,36,80,4,206,11,907,297,10810,14,73,19173,5,2105,6,5,878,35983,88
Palmerston North,10,285,14,59,49,6,116,5,2116,370,14642,18,161,11943,2,1673,7,4,1071,32551,105
Piako,9,740,13,73,26,25,167,7,1068,250,10502,9,149,17315,3,3059,6,5,871,34297,171
Port Waikato,15,826,9,79,43,10,160,28,1344,242,9335,19,230,19794,11,3021,9,20,842,36037,143
Rakaia,26,869,32,67,34,9,62,1,1426,581,11338,11,51,19204,10,1826,14,8,1187,36756,117
Rangitikei,6,446,22,85,47,12,114,2,1083,287,11538,12,195,14721,5,2363,9,5,1027,31979,100
Rimutaka,14,414,28,91,54,20,197,6,1446,451,16558,19,181,11791,9,1736,8,2,1615,34640,145
Rodney,6,678,18,58,36,15,238,8,1631,319,10462,7,107,19799,8,3039,8,6,1162,37605,99
Rongotai,18,379,31,83,39,10,107,1,4630,394,18327,20,232,10210,11,1109,7,3,1069,36680,164
Rotorua,4,367,20,80,16,16,397,7,1168,267,11350,10,484,12965,9,2860,5,9,916,30950,125
Tamaki,6,1009,6,54,22,5,98,6,1423,265,11890,12,149,19829,19,1393,2,4,615,36807,139
Taranaki-King Country,10,659,15,89,70,35,279,12,990,256,7886,20,191,17760,8,2538,13,8,638,31477,139
Taupo,2,358,15,82,24,15,142,4,1093,285,10977,12,338,13020,5,2281,2,2,769,29426,95
Tauranga,4,329,7,65,22,24,295,3,1283,282,11055,22,124,16559,2,4851,7,3,1636,36573,152
Te Atatu,4,504,24,52,97,4,237,23,1064,347,16209,5,219,9466,101,1830,6,6,956,31154,176
Tukituki,15,407,22,87,50,13,183,10,1373,458,13353,8,256,16487,8,1852,10,6,856,35454,135
Waimakariri,7,362,21,125,49,32,115,5,1527,609,16484,12,62,16565,8,2453,8,5,1295,39744,116
Wairarapa,5,370,29,76,40,8,82,4,1478,261,11669,13,165,14599,6,2889,6,6,651,32357,124
Waitakere,7,427,36,87,58,6,227,33,1903,370,14988,8,213,10976,28,1806,5,5,944,32127,127
Wellington Central,8,848,35,98,24,10,67,2,6530,309,17936,42,168,13513,3,707,1,4,1068,41373,86
West Coast-Tasman,10,348,20,174,131,30,111,10,2913,558,12012,21,118,12776,12,2029,11,10,977,32271,131
Whanganui,18,296,31,68,62,68,282,6,1466,448,13045,16,265,13417,7,2185,52,7,885,32624,144
Whangarei,4,707,19,81,46,23,240,4,1648,409,12884,39,264,15333,3,3217,4,6,637,35568,117
Wigram,3,255,55,89,52,15,112,5,1967,2191,16271,22,90,9895,6,1577,4,8,1313,33930,728
General Electorate Totals,536,34189,1586,4771,2747,1057,11553,749,116063,25941,861886,930,11025,884073,1089,122056,454,323,60149,2141177,8802
Ikaroa-Rawhiti,5,33,5,147,7,2,360,1,443,54,10639,2,5122,499,14,846,3,3,70,18255,240
Tainui,5,49,6,144,11,5,294,2,518,53,10421,1,5184,774,9,1161,2,4,73,18716,343
Tamaki Makaurau,9,42,13,141,14,1,520,18,652,67,10951,3,5457,801,20,1057,5,1,87,19859,199
Te Tai Hauauru,7,27,6,134,8,0,322,7,572,38,9619,3,5739,648,12,872,1,0,100,18115,232
Te Tai Tokerau,33,49,6,126,18,3,398,1,533,71,9788,3,6151,994,17,1559,5,6,81,19842,234
Te Tai Tonga,3,58,14,159,9,8,235,3,1283,169,11485,4,3481,1462,7,1240,4,3,211,19838,189
Waiariki,3,22,5,126,7,3,528,1,457,48,10530,0,6104,562,10,1324,4,4,89,19827,322
Maori Electorate Totals,65,280,55,977,74,22,2657,33,4458,500,73433,16,37238,5740,89,8059,24,21,711,134452,1759
Combined Totals,601,34469,1641,5748,2821,1079,14210,782,120521,26441,935319,946,48263,889813,1178,130115,478,344,60860,2275629,10561
