Electorate Candidate Votes and Turnout by Electorate
,,,,,,"Party Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Valid Votes Recorded for Candidate Elected","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
"Auckland Central",27948,6255,34203,222,68,290,5,1165,35663,44317,57872,80.47250491,41.15469815,.8407503
"Bay of Plenty",33463,2608,36071,288,37,325,5,625,37026,44899,56358,82.46508831,63.20423486,.89295527
"Botany",27746,3173,30919,331,55,386,1,713,32019,41969,54408,76.29202507,54.28651738,1.23302987
"Christchurch Central",28315,3801,32116,266,40,306,34,1003,33459,42226,58309,79.23791029,42.07537583,.94380359
"Christchurch East",31486,2467,33953,245,22,267,7,605,34832,42988,55804,81.02726342,51.58762058,.78024547
"Clutha-Southland",30673,2672,33345,327,27,354,1,364,34064,42394,58166,80.35099307,66.43670737,1.05047628
"Coromandel",33217,2714,35931,429,34,463,5,441,36840,45176,56524,81.54772446,61.49022801,1.27218772
"Dunedin North",28740,3807,32547,197,37,234,0,490,33271,40789,56830,81.56856015,51.47726248,.71382813
"Dunedin South",34146,2571,36717,439,45,484,0,366,37567,45067,57012,83.35811126,51.1060239,1.30104029
"East Coast",29310,2074,31384,229,17,246,0,556,32186,40648,55045,79.18224759,51.14956814,.77774265
"East Coast Bays",31685,3006,34691,231,50,281,8,642,35622,44424,57391,80.18638574,56.56897423,.80349994
"Epsom",32074,5571,37645,219,40,259,19,818,38741,47815,59103,81.02269162,54.46942516,.68330519
"Hamilton East",29948,3240,33188,205,31,236,17,735,34176,42463,55839,80.48418623,56.8849485,.70607946
"Hamilton West",30231,2896,33127,293,54,347,12,782,34268,43582,57867,78.6287917,47.16645267,1.03662544
"Helensville",32622,3748,36370,221,30,251,2,675,37298,45336,59610,82.27016058,71.77596654,.68539909
