Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Jim Anderton's Progressive,,Labour Party,,Maori Party,,National Party,,United Future,,Others,,Total Valid Votes
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,
Auckland Central,581,1.7,4592,13.43,274,0.8,13180,38.53,0,0,14677,42.91,128,0.37,771,2.25,34203
Bay of Plenty,346,0.96,0,0,0,0,5798,16.07,0,0,23402,64.88,180,0.5,6345,17.59,36071
Botany,4717,15.26,1226,3.97,304,0.98,6510,21.06,0,0,17382,56.22,428,1.38,352,1.14,30919
Christchurch Central,482,1.5,2708,8.43,598,1.86,14078,43.83,0,0,13143,40.92,0,0,1107,3.45,32116
Christchurch East,0,0,1843,5.43,575,1.69,17969,52.92,0,0,12204,35.94,204,0.6,1158,3.41,33953
Clutha-Southland,590,1.77,2304,6.91,0,0,7156,21.46,0,0,22631,67.87,0,0,664,1.99,33345
Coromandel,624,1.74,4201,11.69,0,0,8093,22.52,0,0,22653,63.05,0,0,360,1,35931
Dunedin North,573,1.76,3611,11.09,0,0,17127,52.62,0,0,9972,30.64,228,0.7,1036,3.18,32547
Dunedin South,528,1.44,2511,6.84,498,1.36,19199,52.29,0,0,12750,34.73,264,0.72,967,2.63,36717
East Coast,0,0,1684,5.37,0,0,10050,32.02,0,0,16463,52.46,1040,3.31,2147,6.84,31384
East Coast Bays,1246,3.59,2263,6.52,0,0,6177,17.81,0,0,20151,58.09,215,0.62,4639,13.37,34691
Epsom,21102,56.06,2787,7.4,0,0,5112,13.58,0,0,8220,21.84,163,0.43,261,0.69,37645
Hamilton East,420,1.27,1433,4.32,0,0,10621,32,0,0,19441,58.58,168,0.51,1105,3.33,33188
Hamilton West,543,1.64,1389,4.19,0,0,14545,43.91,0,0,16163,48.79,218,0.66,269,0.81,33127
Helensville,811,2.23,2166,5.96,0,0,6224,17.11,0,0,26771,73.61,309,0.85,89,0.24,36370
Hunua,3068,9.02,1525,4.48,0,0,6062,17.81,0,0,21920,64.41,195,0.57,1262,3.71,34032
Hutt South,655,1.93,2635,7.78,0,0,16690,49.28,0,0,12604,37.21,812,2.4,473,1.4,33869
Ilam,775,2.14,4444,12.25,828,2.28,8755,24.12,0,0,20648,56.89,449,1.24,393,1.08,36292
Invercargill,416,1.2,1718,4.95,0,0,12750,36.76,0,0,19414,55.97,258,0.74,131,0.38,34687
Kaikoura,443,1.26,2823,8,0,0,9297,26.36,0,0,20374,57.77,131,0.37,2198,6.23,35266
Mana,628,1.84,2288,6.72,0,0,18070,53.06,0,0,11915,34.99,472,1.39,683,2.01,34056
Mangere,247,1.02,541,2.24,150,0.62,12651,52.4,0,0,3368,13.95,443,1.84,6741,27.92,24141
Manukau East,693,2.65,628,2.41,333,1.28,17254,66.08,0,0,4809,18.42,112,0.43,2280,8.73,26109
Manurewa,879,3.51,963,3.85,263,1.05,13511,53.96,0,0,6785,27.1,185,0.74,2451,9.79,25037
Maungakiekie,969,2.85,1639,4.82,756,2.22,13549,39.84,0,0,15491,45.55,413,1.21,1192,3.5,34009
Mt Albert,1392,4.09,2019,5.94,0,0,20157,59.29,0,0,9806,28.84,0,0,623,1.83,33997
