All Electorates,Total Party Votes,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Democrats for Social Credit,Family Party,Green Party,Jim Anderton's Progressive,Kiwi Party,Labour Party,Libertarianz,Maori Party,National Party,New Zealand First Party,New Zealand Pacific Party,RAM - Residents Action Movement,The Bill and Ben Party,The Republic of New Zealand Party,United Future,Workers Party,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total % 
 ACT New Zealand,85496,16.36,0.03,0.08,0.06,0.42,1.3,0.27,0.45,4.85,0.18,0.44,72.55,0.47,0.05,0.04,0,0.02,1.07,0.02,0.29,0.44,0.64,100
Alliance,1909,3.4,15.03,0.26,0.94,0.42,7.39,4.35,1.31,36.3,0.73,0.47,20.32,1.41,0,0.52,0,0,2.3,0.16,1.31,2.15,1.2,100
Aotearoa Legalise Cannabis Party,9515,2.63,0.14,7.16,0.3,0.39,21.19,0.96,1.42,27.61,0.79,7.04,19.02,1.73,0.25,0.27,0,0.05,0.68,0.05,1.52,1.9,4.89,100
Democrats for Social Credit,1208,2.24,0.5,0.5,32.37,0.75,7.37,1.74,2.15,17.55,0.99,1.16,17.88,3.64,0.17,0.41,0,0.08,2.57,0,3.39,3.97,0.58,100
Family Party,8176,3.47,0.15,0.07,0.22,20.49,3.19,1.16,3.77,12.07,0.13,7.73,32.39,1.36,0.97,0.29,0,0.02,4.12,0.05,1.41,4.01,2.92,100
Green Party,157613,0.79,0.2,0.39,0.07,0.13,33.3,1.26,0.35,47.16,0.07,1.71,10.5,0.77,0.02,0.08,0,0.01,0.62,0.05,0.49,0.69,1.34,100
Jim Anderton's Progressive,21241,1.31,0.48,0.08,0.36,0.4,5.9,22.39,1.1,43.28,0.12,0.81,16.81,1.93,0.15,0.14,0,0.02,1.66,0.04,0.84,1.29,0.88,100
Kiwi Party,12755,2.2,0.16,0.07,0.23,1.5,1.61,1.18,37.77,9.3,0.09,1.25,35.63,1.54,0.33,0.05,0,0.02,3.55,0.02,0.8,1.67,1.03,100
Labour Party,796880,0.67,0.06,0.16,0.04,0.22,6.07,1.47,0.27,77.46,0.04,3.29,4.95,1.51,0.49,0.04,0,0,0.46,0.02,0.18,0.82,1.77,100
Libertarianz,1176,13.18,0.43,1.53,0.51,0.43,5.87,0.94,1.79,11.73,25.34,0.94,24.57,1.7,0.17,0.34,0,0.17,1.45,0,2.38,4.17,2.38,100
Maori Party,55980,0.6,0.06,0.2,0.06,0.24,4.65,0.43,0.46,18.7,0.06,60.74,6.49,0.86,0.1,0.13,0,0.01,0.53,0.02,0.36,1.24,4.05,100
National Party,1053398,4.21,0.02,0.07,0.02,0.38,1.48,0.4,0.46,3.45,0.04,0.63,85.49,0.55,0.06,0.02,0,0,1.19,0.01,0.16,0.52,0.84,100
New Zealand First Party,95356,1.11,0.23,0.16,0.39,0.41,3.09,1.84,1.08,43.19,0.16,4.56,20.05,18.06,0.19,0.12,0,0.01,0.98,0.03,0.89,2.52,0.91,100
New Zealand Pacific Party,8640,0.51,0.03,0.02,0.05,0.75,0.71,0.61,0.63,33.13,0.02,0.39,4.64,0.64,52.01,0.06,0,0,0.57,0.02,0.27,1.45,3.5,100
RAM - Residents Action Movement,465,5.16,0.86,0.65,0.22,0.22,11.61,1.29,3.01,20.43,0.65,3.44,15.91,1.72,0.43,24.73,0,0,3.01,0.22,1.72,3.44,1.29,100
The Bill and Ben Party,13016,4.24,0.25,1.51,0.35,0.52,12,1.48,1.64,25.78,0.59,2.27,38.23,1.95,0.13,0.33,0,0.05,1.73,0.08,2.43,2.1,2.34,100
The Republic of New Zealand Party,313,3.83,0.64,0.32,0.64,0.96,7.35,1.92,4.47,23,2.24,2.88,26.52,2.56,0.32,0.32,0,9.9,2.56,0,1.28,5.11,3.19,100
United Future,20497,2.26,0.13,0.04,0.16,0.94,2.35,1.25,1.89,12.33,0.07,0.59,50.14,1.09,0.2,0.04,0,0.11,24.21,0.01,0.53,0.92,0.72,100
Workers Party,932,3.97,1.72,0.97,1.18,1.5,13.84,2.25,2.47,24.46,0.75,3.54,16.52,2.04,0.54,0.97,0,0,2.58,8.05,4.72,4.4,3.54,100
Party Informals,11970,0.76,0.05,0.08,0.03,0.28,1.49,0.61,0.23,19.44,0.08,3.44,10.63,0.89,0.6,0.13,0,0.02,0.31,0.03,0.38,58.19,2.35,100
Total Party Votes and Percentages,2356536,2.92,0.08,0.16,0.07,0.39,5.5,1.1,0.66,34.38,0.07,3.26,45.49,1.65,0.41,0.05,0,0.01,1.1,0.02,0.27,1.07,1.31,100
