Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,ALLIANCE,AOTEAROA LEGALISE CANNABIS PARTY,DEMOCRATS FOR SOCIAL CREDIT,FAMILY PARTY,GREEN PARTY,JIM ANDERTON'S PROGRESSIVE,KIWI PARTY,LABOUR PARTY,LIBERTARIANZ,MAORI PARTY,NATIONAL PARTY,NEW ZEALAND FIRST PARTY,NEW ZEALAND PACIFIC PARTY,RAM - RESIDENTS ACTION MOVEMENT,THE BILL AND BEN PARTY,THE REPUBLIC OF NEW ZEALAND PART,UNITED FUTURE,WORKERS PARTY,Total Valid Party Votes,Informal Party Votes
Electorate,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Democrats For Social Credit,Family Party,Green Party,Jim Anderton's Progressive,Kiwi Party,Labour Party,Libertarianz,Maori Party,National Party,New Zealand First Party,New Zealand Pacific Party,RAM - Residents Action Movement,The Bill And Ben Party,The Republic Of New Zealand Part,United Future,Workers Party,Total Valid Party Votes,Informal Party Votes
Auckland Central,1456,11,101,10,38,5446,226,70,12166,27,328,14112,806,73,16,132,10,168,12,35208,101
Bay of Plenty,1067,21,135,18,60,1787,175,734,7404,25,258,21526,3030,17,9,144,3,258,3,36674,118
Botany,1528,8,62,2,166,756,217,125,7958,10,98,19355,678,295,6,98,7,220,13,31602,131
Christchurch Central,897,41,187,16,87,3688,697,218,12999,21,230,12409,1036,31,2,187,5,239,33,33023,119
Christchurch East,664,62,117,24,68,2489,696,269,15585,14,176,12289,1352,54,5,210,1,326,26,34427,202
Clutha-Southland,1315,63,131,18,193,1726,226,131,8091,16,141,20235,968,8,4,259,2,254,18,33799,142
Coromandel,1605,29,141,16,51,2773,217,239,9487,13,269,18855,2312,11,4,196,3,272,11,36504,204
Dunedin North,749,106,143,36,57,5221,310,125,14608,9,230,9692,1132,14,4,252,2,312,18,33020,89
Dunedin South,785,72,144,66,58,2971,461,144,17408,15,160,12742,1700,17,3,209,7,276,14,37252,183
East Coast,816,19,99,12,83,2025,199,115,10075,13,457,15160,1862,7,2,175,5,698,10,31832,130
East Coast Bays,2000,14,98,13,505,1439,214,90,7642,25,141,21681,1001,14,5,149,7,263,8,35309,91
Epsom,2389,13,70,6,67,2662,133,80,7711,19,222,24030,557,10,27,120,2,258,13,38389,96
Hamilton East,1387,17,129,17,90,2439,190,189,10420,21,323,16745,1113,13,2,243,16,458,15,33827,112
Hamilton West,1263,12,150,25,120,1719,189,196,12048,31,360,15541,1449,32,2,264,4,378,17,33800,188
Helensville,2481,19,131,8,182,1814,195,105,6826,21,182,23559,940,45,8,170,4,289,9,36988,110
Hunua,2859,16,112,7,95,1168,194,130,6836,10,189,21032,1516,21,2,199,3,286,9,34684,118
Hutt South,950,45,128,7,83,2655,305,203,14769,36,293,13057,1208,63,8,197,3,490,12,34512,157
Ilam,1422,35,118,6,61,3034,550,199,10168,21,195,19541,893,20,2,199,3,516,12,36995,136
