Actual Quotuents for Party List Seat Allocation,,,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,Green Party,Seat No.,New Zealand First Party,Seat No.,Maori Party,Seat No.,Mana,Seat No.,ACT New Zealand,Seat No.,United Future,Seat No.
1,1058636,1,614937,2,247372,4,147544,8,31982,34,24168,45,23889,46,13443,80
3,352878.6667,3,204979,6,82457.33333,13,49181.33333,22,10660.66667,103,8056,0,7963,0,4481,0
5,211727.2,5,122987.4,9,49474.4,21,29508.8,36,6396.4,0,4833.6,0,4777.8,0,2688.6,0
7,151233.7143,7,87848.14286,12,35338.85714,30,21077.71429,53,4568.85714,0,3452.57143,0,3412.71429,0,1920.42857,0
9,117626.2222,10,68326.33333,16,27485.77778,39,16393.77778,67,3553.55556,0,2685.33333,0,2654.33333,0,1493.66667,0
11,96239.63636,11,55903.36364,18,22488.36364,50,13413.09091,81,2907.45455,0,2197.09091,0,2171.72727,0,1222.09091,0
13,81433.53846,14,47302.84615,23,19028.61538,58,11349.53846,96,2460.15385,0,1859.07692,0,1837.61538,0,1034.07692,0
15,70575.73333,15,40995.8,26,16491.46667,66,9836.26667,111,2132.13333,0,1611.2,0,1592.6,0,896.2,0
17,62272.70588,17,36172.76471,29,14551.29412,74,8679.05882,0,1881.29412,0,1421.64706,0,1405.23529,0,790.76471,0
19,55717.68421,19,32365.10526,32,13019.57895,85,7765.47368,0,1683.26316,0,1272,0,1257.31579,0,707.52632,0
21,50411.2381,20,29282.71429,37,11779.61905,92,7025.90476,0,1522.95238,0,1150.85714,0,1137.57143,0,640.14286,0
23,46027.65217,24,26736.3913,41,10755.30435,101,6414.95652,0,1390.52174,0,1050.78261,0,1038.65217,0,584.47826,0
25,42345.44,25,24597.48,44,9894.88,109,5901.76,0,1279.28,0,966.72,0,955.56,0,537.72,0
27,39208.74074,27,22775.44444,48,9161.92593,119,5464.59259,0,1184.51852,0,895.11111,0,884.77778,0,497.88889,0
29,36504.68966,28,21204.72414,52,8530.06897,0,5087.72414,0,1102.82759,0,833.37931,0,823.75862,0,463.55172,0
31,34149.54839,31,19836.67742,56,7979.74194,0,4759.48387,0,1031.67742,0,779.6129,0,770.6129,0,433.64516,0
33,32079.87879,33,18634.45455,59,7496.12121,0,4471.0303,0,969.15152,0,732.36364,0,723.90909,0,407.36364,0
35,30246.74286,35,17569.62857,62,7067.77143,0,4215.54286,0,913.77143,0,690.51429,0,682.54286,0,384.08571,0
37,28611.78378,38,16619.91892,65,6685.72973,0,3987.67568,0,864.37838,0,653.18919,0,645.64865,0,363.32432,0
39,27144.51282,40,15767.61538,70,6342.87179,0,3783.17949,0,820.05128,0,619.69231,0,612.53846,0,344.69231,0
