Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,MANA,,Maori Party,,National Party,,New Zealand First Party,,United Future,,Others,,Total Valid Votes
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,
Auckland Central,149,0.45,2903,8.76,14321,43.23,0,0,0,0,15038,45.39,412,1.24,0,0,306,0.92,33129
Bay of Plenty,0,0,0,0,5950,16.94,251,0.71,0,0,23710,67.48,3704,10.54,213,0.61,1306,3.72,35134
Botany,631,2.27,0,0,7039,25.35,0,0,0,0,17780,64.03,0,0,185,0.67,2135,7.69,27770
Christchurch Central,110,0.41,2321,8.57,12017,44.36,0,0,0,0,12064,44.53,0,0,0,0,577,2.13,27089
Christchurch East,0,0,1347,4.81,15559,55.54,0,0,0,0,10225,36.5,0,0,108,0.39,776,2.77,28015
Clutha-Southland,796,2.56,2633,8.48,5207,16.77,0,0,0,0,21375,68.83,0,0,0,0,1045,3.36,31056
Coromandel,0,0,5660,16.78,5831,17.28,0,0,0,0,18571,55.05,2118,6.28,195,0.58,1361,4.03,33736
Dunedin North,159,0.54,5721,19.51,12976,44.25,0,0,0,0,9487,32.35,0,0,176,0.6,804,2.74,29323
Dunedin South,215,0.62,3197,9.28,16844,48.89,0,0,0,0,12669,36.77,979,2.84,0,0,547,1.59,34451
East Coast,140,0.48,2452,8.45,9229,31.82,256,0.88,0,0,14003,48.27,1184,4.08,392,1.35,1352,4.66,29008
East Coast Bays,467,1.44,2832,8.72,6453,19.88,0,0,0,0,21094,64.98,0,0,0,0,1614,4.97,32460
Epsom,15835,44.1,2160,6.01,3751,10.45,66,0.18,0,0,13574,37.8,0,0,0,0,525,1.46,35911
Hamilton East,230,0.71,1697,5.24,10230,31.57,0,0,0,0,18505,57.11,797,2.46,0,0,943,2.91,32402
Hamilton West,0,0,0,0,12169,39.07,0,0,0,0,16587,53.26,1294,4.16,0,0,1093,3.51,31143
Helensville,180,0.51,2575,7.36,4945,14.14,0,0,0,0,26011,74.38,0,0,0,0,1260,3.6,34971
Hunua,440,1.28,2576,7.49,5766,16.76,0,0,194,0.56,22563,65.59,1405,4.08,0,0,1454,4.23,34398
Hutt South,172,0.54,3693,11.52,15828,49.38,0,0,0,0,11003,34.33,0,0,342,1.07,1015,3.17,32053
Ilam,252,0.76,5099,15.35,6758,20.34,0,0,0,0,20070,60.4,0,0,280,0.84,767,2.31,33226
Invercargill,276,0.87,2433,7.69,11012,34.79,0,0,0,0,17275,54.58,0,0,0,0,654,2.07,31650
Kaikōura,457,1.38,3784,11.42,8516,25.7,0,0,0,0,19961,60.25,0,0,0,0,414,1.25,33132
Mana,182,0.54,2652,7.9,16323,48.61,0,0,0,0,14093,41.97,0,0,0,0,332,0.99,33582
Māngere,121,0.51,1030,4.3,18177,75.9,422,1.76,0,0,3018,12.6,597,2.49,0,0,584,2.44,23949
Manukau East,248,0.99,0,0,19399,77.11,461,1.83,0,0,3561,14.16,999,3.97,0,0,488,1.94,25156
Manurewa,189,0.8,0,0,14961,63.27,387,1.64,0,0,6351,26.86,1122,4.74,0,0,636,2.69,23646
Maungakiekie,0,0,1827,5.63,13168,40.57,145,0.45,0,0,16189,49.88,687,2.12,0,0,443,1.36,32459
Mt Albert,425,1.34,3000,9.49,18716,59.19,0,0,0,0,8695,27.5,0,0,0,0,786,2.49,31622
Mt Roskill,240,0.77,1258,4.01,17906,57.15,0,0,0,0,10635,33.94,468,1.49,77,0.25,749,2.39,31333
Napier,159,0.48,1334,4.01,13636,40.99,86,0.26,0,0,17337,52.11,0,0,0,0,716,2.15,33268
Nelson,171,0.49,3276,9.48,11272,32.62,0,0,0,0,18360,53.14,669,1.94,204,0.59,601,1.74,34553
New Lynn,265,0.81,2364,7.25,16999,52.14,0,0,0,0,11809,36.22,0,0,0,0,1163,3.57,32600
New Plymouth,0,0,1277,3.86,13374,40.41,0,0,0,0,17644,53.31,0,0,0,0,800,2.42,33095
North Shore,1293,3.56,2802,7.7,7481,20.57,0,0,0,0,22709,62.44,900,2.47,173,0.48,1012,2.78,36370
Northcote,185,0.57,1890,5.84,9529,29.46,0,0,0,0,18908,58.46,732,2.26,113,0.35,987,3.05,32344
Northland,261,0.83,3822,12.09,6826,21.6,611,1.93,290,0.92,18188,57.55,0,0,0,0,1606,5.08,31604
Ōhariu,0,0,2160,5.8,12965,34.84,0,0,0,0,6907,18.56,339,0.91,14357,38.58,487,1.31,37215
Ōtaki,115,0.31,1750,4.71,13920,37.48,0,0,0,0,19151,51.57,1122,3.02,110,0.3,970,2.61,37138
Pakuranga,816,2.6,0,0,6848,21.79,0,0,0,0,20694,65.86,1430,4.55,0,0,1634,5.2,31422
Palmerston North,167,0.52,1485,4.61,16525,51.32,0,0,0,0,13240,41.12,0,0,109,0.34,675,2.1,32201
Papakura,212,0.7,1519,5,8206,27.02,0,0,0,0,18096,59.59,1718,5.66,0,0,619,2.04,30370
Port Hills,179,0.55,3252,10,15737,48.41,0,0,0,0,12640,38.89,697,2.14,0,0,0,0,32505
Rangitata,303,0.86,1766,5.03,13043,37.15,0,0,0,0,19580,55.77,0,0,418,1.19,0,0,35110
Rangitīkei,302,0.97,2108,6.79,8902,28.66,110,0.35,0,0,18284,58.87,0,0,0,0,1352,4.35,31058
Rimutaka,241,0.72,1990,5.98,17171,51.58,0,0,0,0,13885,41.71,0,0,0,0,0,0,33287
Rodney,204,0.54,2694,7.12,5170,13.67,0,0,0,0,20253,53.54,1476,3.9,0,0,8031,21.23,37828
Rongotai,168,0.47,7262,20.18,18179,50.52,0,0,168,0.47,9132,25.38,488,1.36,0,0,587,1.63,35984
Rotorua,0,0,0,0,9831,32.13,510,1.67,0,0,17188,56.17,2166,7.08,0,0,903,2.95,30598
Selwyn,0,0,3674,10.18,5512,15.27,0,0,0,0,24963,69.14,1277,3.54,0,0,677,1.88,36103
Tāmaki,877,2.39,2861,7.8,7051,19.21,0,0,0,0,24837,67.67,0,0,0,0,1077,2.93,36703
Taranaki-King Country,0,0,2819,9.42,5753,19.22,0,0,0,0,20842,69.65,0,0,511,1.71,0,0,29925
Taupō,190,0.58,2056,6.25,6819,20.73,266,0.81,0,0,20934,63.65,1508,4.59,216,0.66,900,2.74,32889
Tauranga,190,0.53,2458,6.87,4707,13.15,90,0.25,123,0.34,21971,61.4,4611,12.88,0,0,1636,4.57,35786
Te Atatū,308,1.05,1744,5.92,15860,53.83,0,0,0,0,10444,35.45,0,0,0,0,1106,3.75,29462
Tukituki,252,0.76,2319,6.99,9718,29.3,0,0,0,0,19378,58.42,0,0,0,0,1504,4.53,33171
Waikato,307,1.01,1970,6.45,5619,18.4,0,0,0,0,19817,64.9,1571,5.15,0,0,1249,4.09,30533
Waimakariri,0,0,1197,3.37,16145,45.48,0,0,0,0,16787,47.28,588,1.66,0,0,785,2.21,35502
Wairarapa,352,1.04,2856,8.41,10746,31.64,0,0,0,0,17881,52.65,0,0,0,0,2128,6.27,33963
Waitakere,0,0,1855,6.16,13456,44.71,322,1.07,0,0,13465,44.74,0,0,0,0,997,3.31,30095
Waitaki,198,0.52,3830,10.14,9076,24.02,0,0,0,0,23219,61.45,0,0,0,0,1463,3.87,37786
Wellington Central,412,1.07,5225,13.63,18836,49.15,0,0,0,0,12460,32.51,279,0.73,0,0,1114,2.91,38326
West Coast-Tasman,487,1.47,2123,6.4,15753,47.51,0,0,0,0,13214,39.85,0,0,454,1.37,1125,3.39,33156
Whanganui,135,0.43,1444,4.63,11697,37.51,0,0,0,0,16743,53.69,1043,3.34,0,0,121,0.39,31183
Whangarei,338,1,2993,8.83,7602,22.44,0,0,0,0,20049,59.18,1512,4.46,0,0,1385,4.09,33879
Wigram,0,0,2423,7.76,14080,45.11,0,0,0,0,12580,40.31,0,0,159,0.51,1968,6.31,31210
General Electorate Totals,31001,1.51,149448,7.29,713095,34.78,3983,0.19,775,0.04,1027696,50.13,39892,1.95,18792,0.92,65344,3.19,2050026
Hauraki-Waikato,0,0,0,0,9751,58.38,3816,22.84,2899,17.36,0,0,0,0,0,0,238,1.42,16704
Ikaroa-Rāwhiti,0,0,0,0,10558,60.71,2484,14.28,4017,23.1,0,0,0,0,0,0,332,1.91,17391
Tāmaki Makaurau,0,0,1491,8.46,6184,35.09,2827,16.04,7120,40.4,0,0,0,0,0,0,0,0,17622
Te Tai Hauāuru,0,0,2007,11.49,5212,29.85,1513,8.67,8433,48.3,0,0,0,0,0,0,296,1.7,17461
Te Tai Tokerau,0,0,0,0,6956,37.1,8121,43.31,3114,16.61,0,0,0,0,0,0,559,2.98,18750
Te Tai Tonga,0,0,2546,15.24,6786,40.62,1360,8.14,5311,31.79,0,0,0,0,0,0,703,4.21,16706
Waiariki,0,0,0,0,4355,24.5,5768,32.45,7651,43.05,0,0,0,0,0,0,0,0,17774
Maori Electorate Totals,0,0,6044,4.94,49802,40.69,25889,21.15,38545,31.49,0,0,0,0,0,0,2128,1.74,122408
Combined Totals,31001,1.43,155492,7.16,762897,35.12,29872,1.38,39320,1.81,1027696,47.31,39892,1.84,18792,0.87,67472,3.11,2172434
