All Electorates,Total Party Votes,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Conservative Party,Democrats for Social Credit,Green Party,Labour Party,Libertarianz,Mana,Māori Party,National Party,New Zealand First Party,United Future,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total % 
 ACT New Zealand,23889,20.03,0.03,0.23,2.4,0.13,1.59,7.19,0.24,0.18,0.32,62.75,0.96,0.92,0.38,1.73,0.92,100
Alliance,1209,2.56,13.4,0.58,3.64,1.08,9.43,35.07,0.25,1.08,0.41,17.45,2.32,1.57,1.57,7.94,1.65,100
Aotearoa Legalise Cannabis Party,11738,1.54,0.07,14.53,1.95,0.41,19.99,25.25,0.41,2.64,2.86,18.79,1.83,0.64,1.58,3.23,4.28,100
Conservative Party,59237,1.12,0.08,0.12,39.72,0.37,2.42,12.43,0.12,0.15,0.35,37.88,1.03,0.92,0.38,2.25,0.65,100
Democrats for Social Credit,1714,1.46,0.29,0.41,5.6,27.48,8.11,18.9,0.35,0.64,0.23,13.94,3.03,0.88,2.1,4.61,11.96,100
Green Party,247372,0.28,0.07,0.45,0.77,0.09,33.6,44.42,0.06,1.19,1.59,13.52,0.59,0.46,0.3,1.04,1.57,100
Labour Party,614937,0.23,0.05,0.22,0.61,0.05,5.09,81.47,0.03,1.18,1.32,3.82,0.82,0.28,0.13,2.62,2.08,100
Libertarianz,1595,9.03,0.13,2.51,6.14,1.07,9.59,13.35,15.42,1,0.38,24.14,2.19,1.19,4.39,6.77,2.7,100
Mana,24168,0.15,0.2,0.48,0.38,0.06,6.21,17.67,0.03,56.87,6.48,2.03,0.72,0.1,0.46,3.21,4.95,100
Māori Party,31982,0.27,0.04,0.36,0.74,0.06,5.07,17.86,0.05,4.97,48.2,13.91,0.78,0.47,0.39,2.48,4.36,100
National Party,1058636,2.04,0.03,0.11,1.36,0.04,2.26,5.39,0.04,0.1,0.54,84.04,0.3,1.14,0.11,1.66,0.84,100
New Zealand First Party,147544,0.74,0.11,0.37,4,0.33,5.65,42.71,0.13,1.65,2.31,16.6,19,0.51,0.48,4.38,1.02,100
United Future,13443,1.44,0.1,0.21,3.86,0.31,5.07,18.54,0.18,0.21,0.58,49.83,1.21,14.69,0.86,2.11,0.8,100
Party Informals,19872,0.55,0.1,0.17,1.36,0.12,2.12,32.46,0.03,1.89,2.14,22.74,1.85,0.3,0.28,31.75,2.13,100
Total Party Votes and Percentages,2257336,1.37,0.06,0.28,2.29,0.1,6.89,33.8,0.06,1.32,1.74,45.53,1.77,0.83,0.2,2.36,1.4,100
