Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,ALLIANCE,AOTEAROA LEGALISE CANNABIS PARTY,CONSERVATIVE PARTY,DEMOCRATS FOR SOCIAL CREDIT,GREEN PARTY,LABOUR PARTY,LIBERTARIANZ,MANA,MĀORI PARTY,NATIONAL PARTY,NEW ZEALAND FIRST PARTY,UNITED FUTURE,Total Valid Party Votes,Informal Party Votes
Electorate,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Conservative Party,Democrats For Social Credit,Green Party,Labour Party,Libertarianz,Mana,Maori Party,National Party,New Zealand First Party,United Future,Total Valid Party Votes,Informal Party Votes
Auckland Central,404,10,146,280,202,7797,8590,53,237,562,14447,1403,75,34206,164
Bay of Plenty,418,9,183,1485,13,3142,4965,29,91,213,20853,4569,207,36177,226
Botany,478,9,85,777,7,1277,7111,13,72,84,17749,1278,94,29034,238
Christchurch Central,219,24,180,487,9,4556,8240,22,100,139,12506,1391,151,28024,237
Christchurch East,101,28,145,617,22,3359,9100,17,63,84,13252,1801,160,28749,228
Clutha-Southland,583,17,210,992,75,2751,5160,24,48,136,20020,1556,259,31831,209
Coromandel,473,4,217,1349,21,3929,6239,24,87,151,18021,3813,236,34564,286
Dunedin North,218,50,172,405,62,7010,10127,18,181,126,9707,1706,183,29965,190
Dunedin South,210,58,157,520,126,4798,12326,16,62,107,14163,2522,186,35251,318
East Coast,280,10,133,898,10,3154,7101,9,224,313,14804,2536,271,29743,233
East Coast Bays,530,14,156,1254,9,2704,5769,24,64,130,21079,1657,145,33535,160
Epsom,939,12,118,412,9,4424,5716,31,91,217,23725,959,116,36769,160
Hamilton East,341,8,131,1145,18,3949,8217,25,89,195,17085,1786,260,33249,317
Hamilton West,292,10,175,1022,38,2834,9342,31,115,188,15300,2475,227,32049,286
Helensville,499,4,174,1258,8,3094,5138,19,60,186,23558,1648,163,35809,198
Hunua,515,4,154,1320,30,2438,5705,25,75,188,22161,2626,170,35411,204
Hutt South,249,18,157,667,12,3940,11751,23,123,196,13510,1974,294,32914,266
Ilam,394,17,106,714,16,4586,6552,29,53,171,19934,1350,247,34169,196
Invercargill,397,34,257,643,129,2723,9296,34,63,162,16140,2213,264,32355,324
Kaikōura,379,19,165,1296,42,3786,6775,23,45,147,18909,2236,306,34128,284
Mana,163,16,168,604,10,4398,12999,20,165,227,13754,1667,234,34425,375
Māngere,77,14,95,402,0,962,17960,4,252,134,3592,1466,49,25007,518
Manukau East,143,9,93,393,7,913,17977,10,253,131,5287,1703,41,26960,524
Manurewa,153,22,101,572,3,995,14517,13,215,163,6606,1861,56,25277,411
Maungakiekie,400,13,128,585,7,3220,12467,28,140,213,14747,1753,130,33831,283
Mt Albert,306,21,135,532,5,5660,12238,29,191,172,12102,1494,114,32999,272
Mt Roskill,350,10,108,783,11,2351,14098,11,65,124,12781,1513,125,32330,389
Napier,359,34,175,1137,16,3327,9921,14,83,207,16538,1893,203,33907,321
Nelson,259,14,180,954,37,5660,9639,20,66,161,16016,1913,348,35267,250
New Lynn,334,16,149,871,10,4094,12462,29,151,148,13211,2081,129,33685,295
New Plymouth,347,11,178,667,19,3276,8761,30,72,207,18073,2137,154,33932,235
North Shore,714,8,123,829,12,4035,6036,41,62,223,23113,1806,179,37181,174
Northcote,484,10,181,824,10,3614,8264,37,103,182,17263,1865,193,33030,173
Northland,536,9,213,1714,35,3848,5748,25,420,257,16381,3330,149,32665,308
Ōhariu,286,12,160,636,10,5453,10036,47,73,201,18764,1478,672,37828,137
Ōtaki,253,11,162,1202,15,3612,11137,19,80,210,17609,3057,266,37633,292
Pakuranga,585,20,112,1156,5,2024,6068,9,40,109,20471,1847,149,32595,202
Palmerston North,245,23,157,997,15,3469,11194,19,94,168,14577,1870,210,33038,230
Papakura,331,9,152,967,11,1731,8603,22,159,183,16640,2680,133,31621,250
Port Hills,246,24,164,549,21,6522,9199,22,102,135,14532,1609,157,33282,202
Rangitata,367,24,229,863,19,2894,9687,20,32,123,19282,2084,307,35931,351
Rangitīkei,478,12,152,1333,27,2994,6723,23,62,247,17115,2305,260,31731,363
Rimutaka,235,20,164,955,12,3422,11375,28,80,190,15364,2148,340,34333,240
Rodney,460,12,151,2459,13,3265,5178,18,58,140,23967,2688,154,38563,257
Rongotai,238,23,167,409,11,8920,12606,31,198,251,12168,1640,217,36879,302
Rotorua,269,15,159,948,14,2700,6919,19,327,404,16159,3326,258,31517,307
Selwyn,336,24,123,906,13,4215,5942,11,52,137,23086,1750,256,36851,192
Tāmaki,893,6,107,575,5,3314,6642,30,102,193,24338,1421,156,37782,255
Taranaki-King Country,461,24,181,1180,25,2554,4950,20,83,209,18759,2252,340,31038,251
Taupō,394,12,157,1236,20,2549,6844,22,140,226,19003,2833,311,33747,239
Tauranga,426,8,184,1499,22,3208,5496,18,59,182,19858,5455,205,36620,283
Te Atatū,271,24,169,851,21,2231,11999,14,159,193,12701,2081,121,30835,356
