Electorate Candidate Votes and Turnout by Electorate
,,,,,,"Electorate Candidate Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Valid Votes Recorded for Candidate Elected to Total Votes Cast","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
"Auckland Central",21556,5702,27258,154,41,195,0,1240,28693,36529,57593,78.54855047,43.54372147,.71030488
"Bay of Plenty",32680,3134,35814,342,36,378,8,730,36930,45791,57242,80.64903584,58.85458976,1.04442971
"Botany",29086,3228,32314,566,82,648,2,1255,34219,47623,61067,71.85393612,61.49799819,1.96590013
"Christchurch Central",28767,4436,33203,233,48,281,8,1205,34697,44200,61587,78.5,44.22860766,.83920679
"Christchurch East",28258,3394,31652,343,66,409,10,909,32980,42900,60013,76.87645688,46.15221346,1.27569321
"Clutha-Southland",30535,3120,33655,324,46,370,0,492,34517,43872,62161,78.67660467,62.46487238,1.08743571
"Coromandel",34056,3295,37351,285,28,313,8,621,38293,47848,58879,80.03051329,57.27939832,.83103229
"Dunedin North",30202,4218,34420,172,44,216,7,719,35362,44102,59383,80.18230466,46.13709632,.62362859
"Dunedin South",34220,2833,37053,360,29,389,17,558,38017,46360,58132,82.00388266,47.82597259,1.03894023
"East Coast",31661,2846,34507,280,25,305,3,1078,35893,46387,61834,77.37728243,50.35522247,.87613467
"East Coast Bays",28749,3481,32230,281,46,327,3,711,33271,43825,58399,75.91785511,59.98316853,1.0043923
"Epsom",30540,6233,36773,244,42,286,35,907,38001,48367,60510,78.56803192,42.01468382,.77174236
"Hamilton East",30045,3757,33802,239,56,295,4,1229,35330,45465,61981,77.70812713,54.89102746,.86517875
"Hamilton West",29559,3177,32736,332,41,373,40,1071,34220,45182,59527,75.7381258,50.79485681,1.1265819
"Helensville",29617,5035,34652,183,25,208,6,895,35761,43151,56769,82.8740933,63.53289897,.5966724
"Hunua",31406,3558,34964,308,52,360,4,1018,36346,44797,59225,81.13489743,64.9892698,1.01913713
"Hutt South",34434,4003,38437,233,43,276,10,781,39504,48361,62302,81.6856558,42.61846902,.71293881
"Ilam",30198,4205,34403,391,57,448,3,755,35609,44807,59578,79.47195751,56.11221882,1.28547244
"Invercargill",31343,2302,33645,371,29,400,20,408,34473,44838,59083,76.88344708,50.83978766,1.17491555
"Kaikōura",32982,3139,36121,314,39,353,6,527,37007,46080,59174,80.31032986,56.35960764,.96781269
"Kelston",25313,4334,29647,361,54,415,1,1412,31475,42373,57582,74.28079201,47.94598888,1.38048034
"Mana",31802,4050,35852,343,50,393,0,1173,37418,45470,60755,82.29162085,52.51750494,1.08428749
"Māngere",22389,3693,26082,451,63,514,3,2113,28712,41379,58543,69.38785374,65.85399833,1.93262145
"Manukau East",22076,3343,25419,496,80,576,9,2207,28211,40487,58132,69.67915627,62.65641062,2.21581073
"Manurewa",22357,3527,25884,411,70,481,4,2367,28736,40940,59472,70.19052272,48.8516147,1.82438839
"Maungakiekie",28438,4903,33341,457,83,540,15,1649,35545,46297,62136,76.776033,45.38472359,1.59381364
"Mt Albert",30052,5664,35716,288,48,336,30,1314,37396,46498,60531,80.42496451,56.0755161,.93198713
"Mt Roskill",28629,4347,32976,355,61,416,27,1301,34720,46270,59201,75.03782148,53.67799539,1.24580738
"Napier",32659,3253,35912,229,34,263,19,749,36943,45553,58936,81.0989397,41.5315486,.72702142
"Nelson",34084,3391,37475,363,29,392,20,515,38402,47863,60058,80.23316549,52.0806208,1.03520215
"New Lynn",28423,4064,32487,463,67,530,1,1141,34159,44930,58248,76.02715335,48.4030563,1.60523367
"New Plymouth",33846,3072,36918,395,34,429,17,582,37946,48615,62103,78.05409853,56.83339482,1.14868664
"North Shore",32978,4684,37662,356,56,412,14,770,38858,49159,62277,79.04554609,61.20489989,1.08210327
"Northcote",30432,4112,34544,251,55,306,17,938,35805,46749,60818,76.58987358,55.00907694,.87804878
"Northland",31563,3074,34637,376,43,419,22,1034,36112,45060,60818,80.14203285,50.58983163,1.19523049
"Ōhāriu",32423,4393,36816,237,46,283,22,577,37698,45018,57550,83.7398374,35.99395193,.7628238
