Actual Quotuents for Party List Seat Allocation,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,Green Party,Seat No.,New Zealand First Party,Seat No.,Maori Party,Seat No.,ACT New Zealand,Seat No.,United Future,Seat No.
1,1131501,1,604535,2,257359,4,208300,6,31849,35,16689,68,5286,0
3,377167,3,201511.6667,7,85786.33333,14,69433.33333,16,10616.33333,106,5563,0,1762,0
5,226300.2,5,120907,10,51471.8,22,41660,27,6369.8,0,3337.8,0,1057.2,0
7,161643,8,86362.14286,13,36765.57143,30,29757.14286,38,4549.85714,0,2384.14286,0,755.14286,0
9,125722.3333,9,67170.55556,17,28595.44444,41,23144.44444,49,3538.77778,0,1854.33333,0,587.33333,0
11,102863.7273,11,54957.72727,20,23396.27273,48,18936.36364,60,2895.36364,0,1517.18182,0,480.54545,0
13,87038.53846,12,46502.69231,24,19796.84615,57,16023.07692,71,2449.92308,0,1283.76923,0,406.61538,0
15,75433.4,15,40302.33333,28,17157.26667,66,13886.66667,82,2123.26667,0,1112.6,0,352.4,0
17,66558.88235,18,35560.88235,32,15138.76471,75,12252.94118,93,1873.47059,0,981.70588,0,310.94118,0
19,59552.68421,19,31817.63158,36,13545.21053,84,10963.15789,104,1676.26316,0,878.36842,0,278.21053,0
21,53881,21,28787.38095,40,12255.19048,92,9919.04762,114,1516.61905,0,794.71429,0,251.71429,0
23,49195.69565,23,26284.13043,44,11189.52174,101,9056.52174,0,1384.73913,0,725.6087,0,229.82609,0
25,45260.04,25,24181.4,46,10294.36,110,8332,0,1273.96,0,667.56,0,211.44,0
27,41907.44444,26,22390.18519,51,9531.81481,119,7714.81481,0,1179.59259,0,618.11111,0,195.77778,0
29,39017.27586,29,20846.03448,54,8874.44828,0,7182.75862,0,1098.24138,0,575.48276,0,182.27586,0
31,36500.03226,31,19501.12903,58,8301.90323,0,6719.35484,0,1027.3871,0,538.35484,0,170.51613,0
33,34287.90909,33,18319.24242,62,7798.75758,0,6312.12121,0,965.12121,0,505.72727,0,160.18182,0
35,32328.6,34,17272.42857,65,7353.11429,0,5951.42857,0,909.97143,0,476.82857,0,151.02857,0
37,30581.10811,37,16338.78378,70,6955.64865,0,5629.72973,0,860.78378,0,451.05405,0,142.86486,0
39,29012.84615,39,15500.89744,73,6598.94872,0,5341.02564,0,816.64103,0,427.92308,0,135.53846,0
41,27597.58537,42,14744.7561,77,6277.04878,0,5080.4878,0,776.80488,0,407.04878,0,128.92683,0
43,26313.97674,43,14058.95349,80,5985.09302,0,4844.18605,0,740.67442,0,388.11628,0,122.93023,0
45,25144.46667,45,13434.11111,85,5719.08889,0,4628.88889,0,707.75556,0,370.86667,0,117.46667,0
47,24074.48936,47,12862.44681,88,5475.7234,0,4431.91489,0,677.6383,0,355.08511,0,112.46809,0
49,23091.85714,50,12337.44898,91,5252.22449,0,4251.02041,0,649.97959,0,340.59184,0,107.87755,0
51,22186.29412,52,11853.62745,96,5046.2549,0,4084.31373,0,624.4902,0,327.23529,0,103.64706,0
53,21349.07547,53,11406.32075,99,4855.83019,0,3930.18868,0,600.92453,0,314.88679,0,99.73585,0
55,20572.74545,55,10991.54545,102,4679.25455,0,3787.27273,0,579.07273,0,303.43636,0,96.10909,0
57,19850.89474,56,10605.87719,107,4515.07018,0,3654.38596,0,558.75439,0,292.78947,0,92.73684,0
59,19177.98305,59,10246.35593,111,4362.01695,0,3530.50847,0,539.81356,0,282.86441,0,89.59322,0
61,18549.19672,61,9910.40984,115,4219,0,3414.7541,0,522.11475,0,273.59016,0,86.65574,0
63,17960.33333,63,9595.79365,118,4085.06349,0,3306.34921,0,505.53968,0,264.90476,0,83.90476,0
65,17407.70769,64,9300.53846,0,3959.36923,0,3204.61538,0,489.98462,0,256.75385,0,81.32308,0
67,16888.07463,67,9022.91045,0,3841.1791,0,3108.95522,0,475.35821,0,249.08955,0,78.89552,0
69,16398.56522,69,8761.37681,0,3729.84058,0,3018.84058,0,461.57971,0,241.86957,0,76.6087,0
71,15936.6338,72,8514.57746,0,3624.77465,0,2933.80282,0,448.57746,0,235.05634,0,74.4507,0
73,15500.0137,74,8281.30137,0,3525.46575,0,2853.42466,0,436.28767,0,228.61644,0,72.41096,0
75,15086.68,76,8060.46667,0,3431.45333,0,2777.33333,0,424.65333,0,222.52,0,70.48,0
77,14694.81818,78,7851.1039,0,3342.32468,0,2705.19481,0,413.62338,0,216.74026,0,68.64935,0
79,14322.79747,79,7652.34177,0,3257.70886,0,2636.70886,0,403.1519,0,211.25316,0,66.91139,0
81,13969.14815,81,7463.39506,0,3177.2716,0,2571.60494,0,393.19753,0,206.03704,0,65.25926,0
83,13632.54217,83,7283.55422,0,3100.71084,0,2509.63855,0,383.72289,0,201.07229,0,63.68675,0
85,13311.77647,86,7112.17647,0,3027.75294,0,2450.58824,0,374.69412,0,196.34118,0,62.18824,0
87,13005.75862,87,6948.67816,0,2958.14943,0,2394.25287,0,366.08046,0,191.82759,0,60.75862,0
89,12713.49438,89,6792.52809,0,2891.67416,0,2340.44944,0,357.85393,0,187.51685,0,59.39326,0
91,12434.07692,90,6643.24176,0,2828.12088,0,2289.01099,0,349.98901,0,183.3956,0,58.08791,0
93,12166.67742,94,6500.37634,0,2767.30108,0,2239.78495,0,342.46237,0,179.45161,0,56.83871,0
95,11910.53684,95,6363.52632,0,2709.04211,0,2192.63158,0,335.25263,0,175.67368,0,55.64211,0
97,11664.95876,97,6232.31959,0,2653.18557,0,2147.42268,0,328.34021,0,172.05155,0,54.49485,0
99,11429.30303,98,6106.41414,0,2599.58586,0,2104.0404,0,321.70707,0,168.57576,0,53.39394,0
101,11202.9802,100,5985.49505,0,2548.10891,0,2062.37624,0,315.33663,0,165.23762,0,52.33663,0
103,10985.4466,103,5869.27184,0,2498.63107,0,2022.3301,0,309.21359,0,162.02913,0,51.32039,0
105,10776.2,105,5757.47619,0,2451.0381,0,1983.80952,0,303.32381,0,158.94286,0,50.34286,0
107,10574.7757,108,5649.85981,0,2405.2243,0,1946.72897,0,297.65421,0,155.97196,0,49.40187,0
109,10380.74312,109,5546.19266,0,2361.09174,0,1911.00917,0,292.19266,0,153.11009,0,48.49541,0
111,10193.7027,112,5446.26126,0,2318.54955,0,1876.57658,0,286.92793,0,150.35135,0,47.62162,0
113,10013.28319,113,5349.86726,0,2277.51327,0,1843.36283,0,281.84956,0,147.69027,0,46.77876,0
115,9839.13913,116,5256.82609,0,2237.90435,0,1811.30435,0,276.94783,0,145.12174,0,45.96522,0
117,9670.94872,117,5166.96581,0,2199.64957,0,1780.34188,0,272.21368,0,142.64103,0,45.17949,0
119,9508.41176,120,5080.12605,0,2162.68067,0,1750.42017,0,267.63866,0,140.2437,0,44.42017,0
121,9351.24793,0,4996.15702,0,2126.93388,0,1721.4876,0,263.21488,0,137.92562,0,43.68595,0
Number of Party Votes,1131501,,604535,,257359,,208300,,31849,,16689,,5286,
Percentage,50.17,,26.80,,11.41,,9.24,,1.41,,0.74,,0.23,
Electorate Seats,41,,27,,0,,0,,1,,1,,1,
List Seats,19,,5,,14,,11,,1,,0,,0,
Total seats,60,,32,,14,,11,,2,,1,,1,
