Party Votes and Turnout by Electorate
,,,,,,"Party Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
"Auckland Central",21627,6530,28157,83,16,99,0,437,28693,36529,57593,78.54855047,.35036806
"Bay of Plenty",32942,3645,36587,80,8,88,8,247,36930,45791,57242,80.64903584,.23994547
"Botany",29536,4020,33556,116,12,128,2,533,34219,47623,61067,71.85393612,.38000238
"Christchurch Central",28913,5351,34264,87,21,108,8,317,34697,44200,61587,78.5,.31420924
"Christchurch East",28484,4005,32489,117,24,141,10,340,32980,42900,60013,76.87645688,.43211768
"Clutha-Southland",30759,3470,34229,100,7,107,0,181,34517,43872,62161,78.67660467,.31162628
"Coromandel",34235,3696,37931,106,11,117,8,237,38293,47848,58879,80.03051329,.30750631
"Dunedin North",30285,4747,35032,89,10,99,7,224,35362,44102,59383,80.18230466,.2818024
"Dunedin South",34435,3193,37628,145,16,161,17,211,38017,46360,58132,82.00388266,.42604991
"East Coast",31814,3465,35279,127,21,148,3,463,35893,46387,61834,77.37728243,.41776047
"East Coast Bays",28960,4008,32968,70,3,73,3,227,33271,43825,58399,75.91785511,.22093762
"Epsom",30700,6882,37582,84,9,93,35,291,38001,48367,60510,78.56803192,.24684804
"Hamilton East",30136,4631,34767,148,19,167,4,392,35330,45465,61981,77.70812713,.47804431
"Hamilton West",29749,3921,33670,142,17,159,40,351,34220,45182,59527,75.7381258,.47001094
"Helensville",29737,5624,35361,63,10,73,6,321,35761,43151,56769,82.8740933,.20601682
"Hunua",31611,4265,35876,103,14,117,4,349,36346,44797,59225,81.13489743,.32506321
"Hutt South",34490,4472,38962,177,22,199,10,333,39504,48361,62302,81.6856558,.50815863
"Ilam",30527,4777,35304,62,11,73,3,229,35609,44807,59578,79.47195751,.20634876
"Invercargill",31572,2541,34113,142,11,153,20,187,34473,44838,59083,76.88344708,.44650674
"Kaikōura",33186,3483,36669,110,12,122,6,210,37007,46080,59174,80.31032986,.33160284
"Kelston",25516,5185,30701,158,21,179,1,594,31475,42373,57582,74.28079201,.57966321
"Mana",32009,4629,36638,136,19,155,0,625,37418,45470,60755,82.29162085,.42127579
"Māngere",22622,4716,27338,218,41,259,3,1112,28712,41379,58543,69.38785374,.93850781
"Manukau East",22149,4420,26569,423,79,502,9,1131,28211,40487,58132,69.67915627,1.85438292
"Manurewa",22604,4886,27490,164,33,197,4,1045,28736,40940,59472,70.19052272,.71152526
"Maungakiekie",28670,5891,34561,225,45,270,15,699,35545,46297,62136,76.776033,.77517154
"Mt Albert",30194,6552,36746,146,30,176,30,444,37396,46498,60531,80.42496451,.47668057
"Mt Roskill",28828,5093,33921,156,20,176,27,596,34720,46270,59201,75.03782148,.51617444
"Napier",32758,3702,36460,130,15,145,19,319,36943,45553,58936,81.0989397,.39612075
"Nelson",34333,3717,38050,114,10,124,20,208,38402,47863,60058,80.23316549,.32482842
"New Lynn",28733,4751,33484,153,24,177,1,497,34159,44930,58248,76.02715335,.52583108
"New Plymouth",34121,3432,37553,120,8,128,17,248,37946,48615,62103,78.05409853,.33969374
"North Shore",33264,5243,38507,70,8,78,14,259,38858,49159,62277,79.04554609,.20215109
"Northcote",30586,4713,35299,97,20,117,17,372,35805,46749,60818,76.58987358,.33035916
"Northland",31794,3759,35553,145,9,154,22,383,36112,45060,60818,80.14203285,.43128798
"Ōhāriu",32555,4769,37324,105,21,126,22,226,37698,45018,57550,83.7398374,.3364486
"Ōtaki",34717,3695,38412,270,28,298,6,282,38998,46927,57466,83.1035438,.76982692
"Pakuranga",30762,3758,34520,92,9,101,1,341,34963,46307,59779,75.50262379,.29173045
"Palmerston North",30462,3872,34334,87,6,93,12,343,34782,43378,59567,80.18350316,.27013681
"Papakura",29819,4760,34579,151,35,186,27,592,35384,45992,61230,76.93511915,.53502085
"Port Hills",35214,4651,39865,91,14,105,43,242,40255,49172,62386,81.86569592,.26269702
"Rangitata",33450,2747,36197,146,8,154,7,215,36573,46468,61035,78.70577602,.42364722
"Rangitīkei",31149,3516,34665,107,12,119,27,274,35085,43097,58720,81.40937884,.34211132
"Rimutaka",32916,4119,37035,137,22,159,29,446,37669,46526,62031,80.96333233,.4274883
"Rodney",35233,4090,39323,83,8,91,10,280,39704,48285,59857,82.22843533,.23088243
"Rongotai",32554,5960,38514,206,11,217,13,402,39146,46806,59753,83.63457676,.56027472
"Rotorua",30318,3609,33927,109,13,122,11,343,34403,43394,58397,79.2805457,.35830715
"Selwyn",31607,4268,35875,56,9,65,19,215,36174,42835,56891,84.44963231,.18085698
"Tāmaki",31682,4988,36670,67,11,78,19,332,37099,45796,57028,81.00925845,.21225645
"Taranaki-King Country",30139,3440,33579,90,9,99,2,295,33975,42184,57187,80.54001517,.29396045
"Taupō",32504,3737,36241,104,17,121,18,367,36747,46359,62552,79.26616191,.33276497
"Tauranga",33187,3955,37142,144,8,152,24,279,37597,46822,58202,80.29772329,.40757226
"Te Atatū",28593,4519,33112,203,20,223,3,586,33924,44674,60897,75.9367865,.66896655
"Tukituki",32294,3628,35922,127,8,135,12,382,36451,45446,60298,80.20727897,.37440719
"Upper Harbour",28194,5079,33273,112,18,130,24,370,33797,45516,61519,74.25300993,.3891866
"Waikato",31853,4020,35873,107,20,127,7,321,36328,45623,61638,79.62650418,.35277778
"Waimakariri",32348,3706,36054,108,6,114,7,203,36378,44488,56742,81.77036504,.31519575
"Wairarapa",34026,3383,37409,108,8,116,10,181,37716,46805,59167,80.58113449,.30912725
"Waitaki",35783,3856,39639,121,9,130,25,164,39958,48721,62488,82.01391597,.32688778
"Wellington Central",30707,8323,39030,85,16,101,18,297,39446,46626,60402,84.60086647,.25810738
"West Coast-Tasman",32657,3204,35861,172,20,192,1,229,36283,45093,59021,80.46259952,.5325493
"Whanganui",32438,2857,35295,108,4,112,18,266,35691,46210,61155,77.23652889,.31632163
"Whangarei",33558,3274,36832,105,12,117,31,318,37298,47087,60522,79.21082252,.31665268
"Wigram",26417,4150,30567,110,26,136,24,340,31067,40693,56895,76.34482589,.44295346
"General Electorate Totals",1979015,277348,2256363,8117,1064,9181,863,23743,2290150,2900476,3824424,78.9577297,.40524483
"Hauraki-Waikato",17417,3497,20914,272,30,302,13,796,22025,34648,62309,63.56788271,1.423454
"Ikaroa-Rāwhiti",18645,3166,21811,282,43,325,13,740,22889,34514,58339,66.31801588,1.4681966
"Tāmaki Makaurau",16910,3734,20644,170,34,204,3,550,21401,35287,57766,60.64839743,.97851113
"Te Tai Hauāuru",17295,3170,20465,209,25,234,40,719,21458,32557,60847,65.9090211,1.1304894
"Te Tai Tokerau",18646,4005,22651,227,30,257,46,947,23901,34504,61498,69.27022954,1.12187882
"Te Tai Tonga",17688,2917,20605,108,17,125,12,436,21178,33316,61496,63.56705487,.60299083
"Waiariki",19091,3078,22169,193,36,229,17,880,23295,35115,57676,66.33917129,1.02241272
"Maori Electorate Totals",125692,23567,149259,1461,215,1676,144,5068,156147,239941,419931,65.07724816,1.11041177
"Combined Totals",2104707,300915,2405622,9578,1279,10857,1007,28811,2446297,3140417,4244355,77.89720282,.44929006
