Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,Maori Party,,National Party,,New Zealand First Party,,United Future,,Others,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Auckland Central,193,0.71,2080,7.63,11894,43.63,0,0,12494,45.84,0,0,0,0,597,2.19,27258
Bay of Plenty,0,0,0,0,6639,18.54,0,0,21735,60.69,4542,12.68,135,0.38,2763,7.71,35814
Botany,0,0,0,0,7549,23.36,0,0,21044,65.12,0,0,0,0,3721,11.52,32314
Christchurch Central,122,0.37,2800,8.43,12926,38.93,109,0.33,15346,46.22,1245,3.75,0,0,655,1.97,33203
Christchurch East,0,0,3206,10.13,15221,48.09,190,0.6,11148,35.22,0,0,159,0.5,1728,5.46,31652
Clutha-Southland,447,1.33,2398,7.13,6675,19.83,0,0,21561,64.06,0,0,0,0,2574,7.65,33655
Coromandel,161,0.43,6133,16.42,4236,11.34,176,0.47,21934,58.72,3158,8.45,0,0,1553,4.16,37351
Dunedin North,0,0,5978,17.37,16315,47.4,0,0,10398,30.21,0,0,0,0,1729,5.02,34420
Dunedin South,143,0.39,2813,7.59,18182,49.07,0,0,14324,38.66,0,0,0,0,1591,4.29,37053
East Coast,0,0,2679,7.76,10140,29.39,0,0,18074,52.38,2485,7.2,0,0,1129,3.27,34507
East Coast Bays,0,0,3206,9.95,3915,12.15,0,0,19957,61.92,0,0,0,0,5152,15.99,32230
Epsom,15966,43.42,3021,8.22,3470,9.44,0,0,11716,31.86,621,1.69,0,0,1979,5.38,36773
Hamilton East,139,0.41,2430,7.19,9194,27.2,0,0,19393,57.37,1296,3.83,72,0.21,1278,3.78,33802
Hamilton West,126,0.38,0,0,11598,35.43,289,0.88,17382,53.1,2269,6.93,0,0,1072,3.27,32736
Helensville,302,0.87,4433,12.79,4425,12.77,0,0,22720,65.57,0,0,0,0,2772,8,34652
Hunua,425,1.22,0,0,6245,17.86,244,0.7,23621,67.56,2900,8.29,0,0,1529,4.37,34964
Hutt South,182,0.47,3207,8.34,16836,43.8,0,0,16127,41.96,1005,2.61,107,0.28,973,2.53,38437
