Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,548,,,,601,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,0,13075,0.5,39,1,25471,1.01,41,Yes,Yes
Aotearoa Legalise Cannabis Party,0,8075,0.31,14,0,4144,0.16,6,Yes,No
Ban1080,0,3005,0.12,9,0,3003,0.12,3,Yes,No
Conservative,0,6253,0.24,12,0,6115,0.24,27,Yes,No
Democrats for Social Credit,0,806,0.03,26,0,1794,0.07,13,Yes,No
Green Party,8,162443,6.27,59,0,174725,6.91,66,Yes,Yes
Internet Party,0,499,0.02,8,0,0,0,0,Yes,No
Labour Party,17,956184,36.89,75,29,958155,37.88,71,Yes,Yes
MANA,0,3642,0.14,4,0,8196,0.32,2,Yes,No
Maori Party,0,30580,1.18,26,0,53247,2.11,24,Yes,No
National Party,15,1152075,44.45,75,41,1114367,44.05,64,Yes,Yes
New Zealand First Party,9,186706,7.2,56,0,137816,5.45,57,Yes,Yes
New Zealand People's Party,0,1890,0.07,6,0,0,0,0,Yes,No
NZ Outdoors Party,0,1620,0.06,4,0,1357,0.05,4,Yes,No
The Opportunities Party (TOP),0,63261,2.44,26,0,26034,1.03,21,Yes,No
United Future,0,1782,0.07,10,0,1285,0.05,8,Yes,No
Climate First,0,0,0,0,0,55,0,1,No,No
Communist League,0,0,0,0,0,109,0,2,No,No
Future Youth Party,0,0,0,0,0,82,0,1,No,No
GOdsownNZ,0,0,0,0,0,72,0,1,No,No
Human Rights Party,0,0,0,0,0,28,0,1,No,No
Money Free Party,0,0,0,0,0,293,0.01,4,No,No
NAP,0,0,0,0,0,162,0.01,3,No,No
NZ Economic Euthenics Party,0,0,0,0,0,41,0,1,No,No
Republic of New Zealand Party,0,0,0,0,0,65,0,1,No,No
The Logic Party,0,0,0,0,0,166,0.01,1,No,No
Independent,0,0,0,0,0,12749,0.5,30,No,No
