Actual Quotients for Party List Seat Allocation,,,,,,,,,,
Party List Seat Allocation,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,New Zealand First Party,Seat No.,Green Party,Seat No.,ACT New Zealand,Seat No.
1,1152075,1,956184,2,186706,7,162443,9,13075,95
3,384025,3,318728,4,62235.333,20,54147.667,24,4358.333,0
5,230415,5,191236.8,6,37341.2,33,32488.6,39,2615,0
7,164582.143,8,136597.714,10,26672.286,47,23206.143,54,1867.857,0
9,128008.333,11,106242.667,12,20745.111,60,18049.222,68,1452.778,0
11,104734.091,13,86925.818,15,16973.273,73,14767.545,83,1188.636,0
13,88621.154,14,73552.615,17,14362,86,12495.615,99,1005.769,0
15,76805,16,63745.6,19,12447.067,100,10829.533,115,871.667,0
17,67769.118,18,56246.118,22,10982.706,113,9555.471,0,769.118,0
19,60635.526,21,50325.474,25,9826.632,0,8549.632,0,688.158,0
21,54860.714,23,45532.571,28,8890.762,0,7735.381,0,622.619,0
23,50090.217,26,41573.217,30,8117.652,0,7062.739,0,568.478,0
25,46083,27,38247.36,32,7468.24,0,6497.72,0,523,0
27,42669.444,29,35414.222,35,6915.037,0,6016.407,0,484.259,0
29,39726.724,31,32971.862,37,6438.138,0,5601.483,0,450.862,0
31,37163.71,34,30844.645,41,6022.774,0,5240.097,0,421.774,0
33,34911.364,36,28975.273,43,5657.758,0,4922.515,0,396.212,0
35,32916.429,38,27319.543,45,5334.457,0,4641.229,0,373.571,0
37,31137.162,40,25842.811,48,5046.108,0,4390.351,0,353.378,0
39,29540.385,42,24517.538,50,4787.333,0,4165.205,0,335.256,0
41,28099.39,44,23321.561,53,4553.805,0,3962.024,0,318.902,0
43,26792.442,46,22236.837,56,4342,0,3777.744,0,304.07,0
45,25601.667,49,21248.533,58,4149.022,0,3609.844,0,290.556,0
47,24512.234,51,20344.34,61,3972.468,0,3456.234,0,278.191,0
49,23511.735,52,19513.959,64,3810.327,0,3315.163,0,266.837,0
51,22589.706,55,18748.706,66,3660.902,0,3185.157,0,256.373,0
53,21737.264,57,18041.208,69,3522.755,0,3064.962,0,246.698,0
55,20946.818,59,17385.164,71,3394.655,0,2953.509,0,237.727,0
57,20211.842,62,16775.158,74,3275.544,0,2849.877,0,229.386,0
59,19526.695,63,16206.508,77,3164.508,0,2753.271,0,221.61,0
61,18886.475,65,15675.148,79,3060.754,0,2663,0,214.344,0
63,18286.905,67,15177.524,81,2963.587,0,2578.46,0,207.54,0
65,17724.231,70,14710.523,84,2872.4,0,2499.123,0,201.154,0
67,17195.149,72,14271.403,87,2786.657,0,2424.522,0,195.149,0
69,16696.739,75,13857.739,90,2705.884,0,2354.246,0,189.493,0
71,16226.408,76,13467.38,92,2629.662,0,2287.93,0,184.155,0
73,15781.849,78,13098.411,94,2557.616,0,2225.247,0,179.11,0
75,15361,80,12749.12,97,2489.413,0,2165.907,0,174.333,0
77,14962.013,82,12417.974,101,2424.753,0,2109.649,0,169.805,0
79,14583.228,85,12103.595,104,2363.367,0,2056.241,0,165.506,0
81,14223.148,88,11804.741,106,2305.012,0,2005.469,0,161.42,0
83,13880.422,89,11520.289,108,2249.47,0,1957.145,0,157.53,0
85,13553.824,91,11249.224,110,2196.541,0,1911.094,0,153.824,0
87,13242.241,93,10990.621,112,2146.046,0,1867.161,0,150.287,0
89,12944.663,96,10743.64,117,2097.82,0,1825.202,0,146.91,0
91,12660.165,98,10507.516,119,2051.714,0,1785.088,0,143.681,0
93,12387.903,102,10281.548,0,2007.591,0,1746.699,0,140.591,0
95,12127.105,103,10065.095,0,1965.326,0,1709.926,0,137.632,0
97,11877.062,105,9857.567,0,1924.804,0,1674.67,0,134.794,0
99,11637.121,107,9658.424,0,1885.919,0,1640.838,0,132.071,0
101,11406.683,109,9467.168,0,1848.574,0,1608.347,0,129.455,0
103,11185.194,111,9283.34,0,1812.68,0,1577.117,0,126.942,0
105,10972.143,114,9106.514,0,1778.152,0,1547.076,0,124.524,0
107,10767.056,116,8936.299,0,1744.916,0,1518.159,0,122.196,0
109,10569.495,118,8772.33,0,1712.899,0,1490.303,0,119.954,0
111,10379.054,120,8614.27,0,1682.036,0,1463.45,0,117.793,0
113,10195.354,0,8461.805,0,1652.265,0,1437.549,0,115.708,0
115,10018.043,0,8314.643,0,1623.53,0,1412.548,0,113.696,0
117,9846.795,0,8172.513,0,1595.778,0,1388.402,0,111.752,0
Number of Party Votes,1152075,,956184,,186706,,162443,,13075,
Percentage,46.63,,38.70,,7.56,,6.58,,0.53,
Electorate Seats,41,,29,,0,,0,,1,
List Seats,15,,17,,9,,8,,0,
Total seats,56,,46,,9,,8,,1,
