Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,National Party,,New Zealand First Party,,Other,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Auckland Central,151,0.52,2838,9.73,11617,39.83,13198,45.25,578,1.98,788,2.7,29170
Bay of Plenty,195,0.47,0,0,11356,27.35,25352,61.05,4060,9.78,563,1.36,41526
Botany,330,0.97,2103,6.18,8539,25.1,21378,62.85,0,0,1665,4.89,34015
Christchurch Central,0,0,1957,5.64,16631,47.93,13760,39.65,1091,3.14,1263,3.64,34702
Christchurch East,137,0.4,2018,5.96,18439,54.44,10959,32.36,1529,4.51,789,2.33,33871
Clutha-Southland,0,0,2650,7.27,7465,20.49,21819,59.89,3485,9.57,1015,2.79,36434
Coromandel,0,0,5066,12.11,8727,20.85,23053,55.09,4142,9.9,859,2.05,41847
Dunedin North,150,0.41,3053,8.3,21259,57.78,9505,25.84,1069,2.91,1754,4.77,36790
Dunedin South,128,0.33,2002,5.11,21404,54.59,12687,32.36,1591,4.06,1399,3.57,39211
East Coast,0,0,2705,7.21,12710,33.88,17517,46.7,2916,7.77,1662,4.43,37510
East Coast Bays,389,1.13,2306,6.7,6441,18.72,22731,66.06,1254,3.64,1289,3.75,34410
Epsom,16505,43.17,2785,7.28,7067,18.49,10986,28.74,657,1.72,230,0.6,38230
Hamilton East,140,0.39,2048,5.77,13165,37.08,18975,53.44,1113,3.13,65,0.18,35506
Hamilton West,0,0,2355,6.6,11111,31.15,18842,52.82,2133,5.98,1231,3.45,35672
Helensville,284,0.74,6758,17.59,7096,18.47,21704,56.5,2403,6.26,167,0.43,38412
Hunua,274,0.68,2002,4.97,7382,18.33,26825,66.61,3077,7.64,710,1.76,40270
Hutt South,89,0.22,1331,3.24,18113,44.15,19643,47.88,887,2.16,962,2.34,41025
Ilam,235,0.66,2359,6.63,7662,21.54,16577,46.6,0,0,8741,24.57,35574
Invercargill,0,0,1623,4.58,12523,35.31,18102,51.05,3214,9.06,0,0,35462
Kaikōura,210,0.54,2865,7.33,10401,26.61,20954,53.61,4201,10.75,453,1.16,39084
Kelston,0,0,1984,6.48,16789,54.85,9520,31.1,1467,4.79,851,2.78,30611
Mana,264,0.69,3011,7.87,22709,59.36,11729,30.66,0,0,545,1.42,38258
Māngere,0,0,1203,4.49,18810,70.27,4213,15.74,1097,4.1,1447,5.41,26770
Manukau East,201,0.78,650,2.53,17402,67.81,4813,18.75,1511,5.89,1086,4.23,25663
Manurewa,0,0,880,3.32,15577,58.78,7203,27.18,1691,6.38,1148,4.33,26499
