All Electorates,Total Party Votes,ACT New Zealand,Aotearoa Legalise Cannabis Party,Ban1080,Conservative,Democrats for Social Credit,Green Party,Internet Party,Labour Party,MANA,Maori Party,National Party,New Zealand First Party,New Zealand People's Party,NZ Outdoors Party,The Opportunities Party (TOP),United Future,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total %
ACT New Zealand,13075,18.73,0.26,0.11,0.37,0.1,2.55,0,8.57,0.09,0.89,60.06,3.49,0,0.08,1.11,0.18,0.99,1.24,1.17,100
Aotearoa Legalise Cannabis Party,8075,0.98,6.81,0.73,0.48,0.32,20.8,0,29.91,0.56,5.04,14.43,8.12,0,0.32,1.66,0.09,2.37,2.33,5.05,100
Ban1080,3005,1.13,0.93,13.68,0.67,0.3,11.05,0,21.73,0.27,3.39,22.8,13.38,0,1.6,1.06,0.13,2.13,2.83,2.93,100
Conservative,6253,0.91,0.02,0.1,28.03,0.29,2.54,0,9.6,0.19,1.74,34.66,14.07,0,0.13,1.01,0.37,1.66,3.17,1.52,100
Democrats for Social Credit,806,1.99,0,0.25,2.48,23.2,11.29,0,23.08,0.25,1.24,13.52,11.04,0,0.5,1.12,0.12,3.35,5.33,1.24,100
Green Party,162443,0.25,0.13,0.08,0.06,0.08,33.38,0,52,0.36,1.28,6.41,1.27,0,0.02,1.62,0.03,0.93,0.47,1.62,100
Internet Party,499,1.6,1,0.6,1.2,1.2,17.43,0,29.06,0.4,3.21,17.64,8.22,0,0.6,3.61,1,7.41,3.61,2.2,100
Labour Party,956184,0.21,0.17,0.08,0.06,0.05,8.34,0,77.06,0.37,2,4.37,2.85,0,0.03,0.63,0.03,0.5,0.95,2.32,100
MANA,3642,0.27,0.55,0.11,0.14,0.11,9.36,0,19.66,36.52,19.93,1.48,2.58,0,0.03,0.44,0.03,0.82,2.36,5.6,100
Maori Party,30580,0.23,0.29,0.02,0.21,0.04,6.47,0,19.68,3.07,53.55,8.22,1.8,0,0.03,0.68,0.08,0.54,1.38,3.72,100
National Party,1152075,1.61,0.07,0.07,0.17,0.04,1.66,0,4.91,0.05,0.64,85.87,2.24,0,0.03,0.4,0.05,0.38,0.85,0.97,100
New Zealand First Party,186706,0.51,0.27,0.33,0.64,0.2,3.42,0,23.89,0.46,2.4,22.17,40.94,0,0.2,0.55,0.1,0.62,1.81,1.49,100
New Zealand People's Party,1890,2.65,0.37,0.26,0.85,0.26,5.87,0,34.71,0.42,3.28,25.34,15.29,0,0.11,0.9,0.32,1.43,5.45,2.49,100
NZ Outdoors Party,1620,1.3,1.05,1.6,1.48,0.62,13.58,0,21.79,0.12,1.79,30.12,10.74,0,5.12,1.48,0.19,3.02,3.27,2.72,100
The Opportunities Party (TOP),63261,1.07,0.37,0.24,0.28,0.16,14.87,0,31.38,0.37,3.07,21.88,3.53,0,0.22,17.48,0.09,1.71,1.2,2.07,100
United Future,1782,2.75,0.34,0.34,1.29,0.56,10.38,0,26.43,0,1.29,35.24,6.4,0,0.06,2.19,6.4,2.3,2.19,1.85,100
Informal Party Votes,10793,0.38,0.16,0.11,0.17,0.13,2.73,0,22.43,0.4,2.61,13.37,3.36,0,0.06,0.27,0.05,0.44,50.1,3.24,100
Total Party Votes and Percentages,2602689,0.98,0.16,0.12,0.23,0.07,6.71,0,36.81,0.31,2.05,42.82,5.3,0,0.05,1,0.05,0.53,1.17,1.64,100
