Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,
,XXX,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Aotearoa Legalise Cannabis Party,Ban1080,Conservative,Democrats for Social Credit,Green Party,Internet Party,Labour Party,MANA,Māori Party,National Party,New Zealand First Party,New Zealand People's Party,NZ Outdoors Party,The Opportunities Party (TOP),United Future,Total Valid Party Votes,Informal Party Votes
Auckland Central,317,71,12,29,4,4170,10,11340,12,123,11773,1165,10,8,944,19,30007,63
Bay of Plenty,206,113,40,106,12,1708,3,10817,7,214,23164,4568,31,40,1349,32,42410,140
Botany,209,54,6,91,2,841,9,10279,12,195,21428,1612,44,14,288,33,35117,110
Christchurch Central,155,108,21,94,5,3492,8,14541,11,139,13956,1869,16,21,1246,45,35727,111
Christchurch East,116,108,46,156,19,2343,12,16414,3,133,12319,2194,14,15,807,30,34729,132
Clutha-Southland,141,118,144,75,10,1654,5,8960,4,95,21915,2900,13,26,894,29,36983,171
Coromandel,174,137,125,66,8,2259,5,11820,11,100,21786,5216,30,52,728,13,42530,205
Dunedin North,157,89,55,60,15,5110,10,17808,11,108,10382,1899,17,14,1535,29,37299,86
Dunedin South,116,90,39,54,4,2362,5,19183,6,83,14164,2625,20,20,967,26,39764,103
East Coast,106,124,89,67,5,1770,7,14150,20,290,17011,3820,15,37,905,32,38448,188
East Coast Bays,347,58,5,95,6,1660,4,8130,5,55,22006,1886,18,14,673,34,34996,54
Epsom,696,38,9,80,7,3263,6,9575,6,124,22875,1229,34,7,1043,24,39016,76
Hamilton East,225,89,17,75,6,2221,9,12958,10,199,17380,2074,22,23,1157,29,36494,136
Hamilton West,149,110,32,111,19,1588,6,13539,9,232,17119,2836,28,28,981,35,36822,162
Helensville,319,112,20,87,7,2971,9,10012,13,105,21958,2795,12,20,799,27,39266,67
Hunua,297,102,33,76,5,1237,7,9199,8,103,26005,3541,24,27,611,35,41310,91
Hutt South,189,85,24,71,3,3041,11,16858,6,173,17390,2311,10,52,1442,31,41697,232
Ilam,224,74,14,124,5,2602,8,11341,3,134,19134,1364,18,11,1273,28,36357,91
Invercargill,95,141,103,73,43,1166,9,12891,6,79,17414,3139,21,23,760,27,35990,163
Kaikōura,151,117,119,135,14,1963,3,11587,4,92,20925,3561,10,40,865,23,39609,172
Kelston,112,106,7,91,1,2133,9,15982,24,159,10456,2087,45,11,494,14,31731,120
Mana,125,107,19,54,7,3076,4,17831,47,219,14305,1936,24,16,1311,41,39122,188
Māngere,35,74,3,73,2,760,6,19931,48,573,4864,1447,37,3,191,10,28057,240
Manukau East,70,70,3,50,3,601,10,17730,23,403,6195,1550,78,9,188,12,26995,245
Manurewa,75,104,7,98,12,698,4,16592,22,313,8109,1869,58,9,210,15,28195,218
Maungakiekie,227,82,7,67,3,2092,16,15484,10,288,14542,1815,33,36,780,23,35505,260
Mt Albert,229,63,6,65,2,5657,12,16742,8,175,13112,1329,31,17,1144,22,38614,146
Mt Roskill,207,62,4,90,13,2205,4,15135,9,167,15248,1572,80,16,618,24,35454,213
Napier,152,116,38,145,25,1938,3,14681,11,154,17929,2794,32,28,739,19,38804,119
Nelson,137,99,97,214,15,3130,6,17311,9,92,16374,2712,14,58,1360,23,41651,151
New Lynn,149,66,5,109,23,2147,7,14810,12,122,14503,2116,80,9,514,30,34702,142
New Plymouth,222,163,39,65,8,1798,7,13662,8,250,19517,3107,16,26,1093,36,40017,118
North Shore,372,69,11,86,10,2638,9,10375,7,103,23009,2097,13,14,953,22,39788,83
Northcote,261,93,8,82,50,2496,9,12639,11,136,18005,2221,23,17,845,24,36920,75
Northland,191,200,50,149,25,2458,1,12243,119,133,18834,5353,25,27,806,22,40636,149
Ōhāriu,239,68,18,71,8,3881,8,14306,5,186,18277,1502,13,23,1678,78,40361,84
Ōtaki,163,79,44,69,7,2358,3,15014,9,156,19187,3421,24,19,910,25,41488,198
Pakuranga,272,69,9,83,3,1340,9,8872,6,124,22149,2369,32,18,436,16,35807,96
Palmerston North,138,96,18,116,11,2166,7,14648,15,141,14276,2767,17,16,944,30,35406,139
Papakura,215,116,24,119,8,1074,8,12730,17,242,19464,3338,111,24,455,19,37964,198
Port Hills,153,91,18,80,22,4392,11,16825,5,140,17381,2064,12,23,1459,24,42700,110
