Electorate Candidate Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Elected Candidate to Total Votes Cast,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
Auckland Central,26256,9347,35603,239,143,382,16,624,36625,43627,62919,83.95,34.49,1.06
Banks Peninsula,42066,6843,48909,615,157,772,27,398,50106,56249,68134,89.08,50.68,1.55
Bay of Plenty,38358,6245,44603,445,160,605,9,446,45663,52678,64223,86.68,43.90,1.34
Botany,30282,5971,36253,982,282,1264,25,518,38060,51418,65124,74.02,49.97,3.37
Christchurch Central,32515,7155,39670,512,187,699,15,555,40939,48499,65571,84.41,58.46,1.73
Christchurch East,33504,6374,39878,551,217,768,5,545,41196,48915,63850,84.22,61.25,1.89
Coromandel,40529,6003,46532,670,148,818,7,358,47715,55202,64568,86.44,44.47,1.73
Dunedin,38620,6361,44981,605,137,742,8,418,46149,53002,67167,87.07,52.31,1.62
East Coast,35929,5502,41431,678,160,838,11,624,42904,52626,66175,81.53,49.93,1.98
East Coast Bays,31483,5826,37309,621,172,793,2,435,38539,48711,64635,79.12,53.10,2.08
Epsom,32283,8741,41024,340,144,484,0,803,42311,51074,62147,82.84,46.09,1.17
Hamilton East,32272,6611,38883,451,179,630,12,594,40119,48843,67683,82.14,46.22,1.59
Hamilton West,32516,6518,39034,655,237,892,1,657,40584,49979,67010,81.20,51.01,2.23
Hutt South,38243,6665,44908,424,136,560,6,589,46063,53376,66564,86.30,48.74,1.23
Ilam,35560,7007,42567,637,198,835,16,378,43796,51466,67502,85.10,45.27,1.92
Invercargill,35281,4131,39412,619,116,735,3,307,40457,48734,64992,83.02,44.32,1.83
Kaikōura,37037,5295,42332,514,115,629,8,385,43354,50286,64383,86.21,41.68,1.46
Kaipara ki Mahurangi,35967,8855,44822,541,189,730,3,539,46094,53091,65280,86.82,44.26,1.60
Kelston,27392,7012,34404,645,263,908,20,612,35944,46306,62689,77.62,61.70,2.57
Mana,35524,6612,42136,777,214,991,16,501,43644,51795,65980,84.26,59.85,2.30
Māngere,22261,7721,29982,871,384,1255,17,654,31908,46681,65515,68.35,72.41,4.02
Manurewa,21247,7252,28499,799,382,1181,1,987,30668,43954,66763,69.77,67.87,3.98
Maungakiekie,28572,7661,36233,733,291,1024,15,452,37724,46924,62072,80.39,43.03,2.75
Mt Albert,32637,8198,40835,389,118,507,6,631,41979,49486,60531,84.83,69.65,1.23
Mt Roskill,30247,7028,37275,688,224,912,12,550,38749,50648,66303,76.51,59.49,2.39
Napier,35902,5133,41035,572,150,722,4,346,42107,49787,63257,84.57,50.64,1.73
Nelson,38270,5624,43894,430,124,554,14,292,44754,51719,64019,86.53,47.76,1.25
New Lynn,33762,7165,40927,609,222,831,18,542,42318,51631,67217,81.96,55.18,1.99
New Plymouth,38141,5361,43502,612,157,769,0,317,44588,53016,66810,84.10,47.17,1.74
North Shore,34892,6679,41571,498,165,663,2,381,42617,51338,65331,83.01,45.06,1.57
Northcote,33037,6183,39220,567,189,756,8,436,40420,49862,65249,81.06,47.22,1.89
