Actual Quotients for Party List Seat Allocation,,,,,,,,,,
Party List Seat Allocation,,,,,,,,,,
Divisor,Labour Party,Seat No.,National Party,Seat No.,Green Party,Seat No.,ACT New Zealand,Seat No.,Maori Party,Seat No.
1,1443545,1,738275,2,226757,6,219031,7,33630,39
3,481181.667,3,246091.667,5,75585.667,18,73010.333,19,11210,119
5,288709,4,147655,10,45351.4,29,43806.2,30,6726,0
7,206220.714,8,105467.857,13,32393.857,41,31290.143,44,4804.286,0
9,160393.889,9,82030.556,16,25195.222,54,24336.778,56,3736.667,0
11,131231.364,11,67115.909,21,20614.273,65,19911.909,68,3057.273,0
13,111041.923,12,56790.385,24,17442.846,76,16848.538,80,2586.923,0
15,96236.333,14,49218.333,27,15117.133,88,14602.067,91,2242,0
17,84914.412,15,43427.941,32,13338.647,100,12884.176,104,1978.235,0
19,75976.053,17,38856.579,35,11934.579,111,11527.947,116,1770,0
21,68740.238,20,35155.952,38,10797.952,0,10430.048,0,1601.429,0
23,62762.826,22,32098.913,42,9859,0,9523.087,0,1462.174,0
25,57741.8,23,29531,46,9070.28,0,8761.24,0,1345.2,0
27,53464.63,25,27343.519,49,8398.407,0,8112.259,0,1245.556,0
29,49777.414,26,25457.759,52,7819.207,0,7552.793,0,1159.655,0
31,46565.968,28,23815.323,57,7314.742,0,7065.516,0,1084.839,0
33,43743.788,31,22371.97,60,6871.424,0,6637.303,0,1019.091,0
35,41244.143,33,21093.571,63,6478.771,0,6258.029,0,960.857,0
37,39014.73,34,19953.378,67,6128.568,0,5919.757,0,908.919,0
39,37013.974,36,18930.128,71,5814.282,0,5616.179,0,862.308,0
41,35208.415,37,18006.707,74,5530.659,0,5342.22,0,820.244,0
43,33570.814,40,17169.186,78,5273.419,0,5093.744,0,782.093,0
45,32078.778,43,16406.111,82,5039.044,0,4867.356,0,747.333,0
47,30713.723,45,15707.979,85,4824.617,0,4660.234,0,715.532,0
49,29460.102,47,15066.837,89,4627.694,0,4470.02,0,686.327,0
51,28304.804,48,14475.98,93,4446.216,0,4294.725,0,659.412,0
53,27236.698,50,13929.717,96,4278.434,0,4132.66,0,634.528,0
55,26246.273,51,13423.182,99,4122.855,0,3982.382,0,611.455,0
57,25325.351,53,12952.193,103,3978.193,0,3842.649,0,590,0
59,24466.864,55,12513.136,107,3843.339,0,3712.39,0,570,0
61,23664.672,58,12102.869,110,3717.328,0,3590.672,0,551.311,0
63,22913.413,59,11718.651,114,3599.317,0,3476.683,0,533.81,0
65,22208.385,61,11358.077,118,3488.569,0,3369.708,0,517.385,0
67,21545.448,62,11019.03,0,3384.433,0,3269.119,0,501.94,0
69,20920.942,64,10699.638,0,3286.333,0,3174.362,0,487.391,0
71,20331.62,66,10398.239,0,3193.761,0,3084.944,0,473.662,0
73,19774.589,69,10113.356,0,3106.26,0,3000.425,0,460.685,0
75,19247.267,70,9843.667,0,3023.427,0,2920.413,0,448.4,0
77,18747.338,72,9587.987,0,2944.896,0,2844.558,0,436.753,0
79,18272.722,73,9345.253,0,2870.342,0,2772.544,0,425.696,0
81,17821.543,75,9114.506,0,2799.469,0,2704.086,0,415.185,0
83,17392.108,77,8894.88,0,2732.012,0,2638.928,0,405.181,0
85,16982.882,79,8685.588,0,2667.729,0,2576.835,0,395.647,0
87,16592.471,81,8485.92,0,2606.402,0,2517.598,0,386.552,0
89,16219.607,83,8295.225,0,2547.831,0,2461.022,0,377.865,0
91,15863.132,84,8112.912,0,2491.835,0,2406.934,0,369.56,0
93,15521.989,86,7938.441,0,2438.247,0,2355.172,0,361.613,0
95,15195.211,87,7771.316,0,2386.916,0,2305.589,0,354,0
97,14881.907,90,7611.082,0,2337.701,0,2258.052,0,346.701,0
99,14581.263,92,7457.323,0,2290.475,0,2212.434,0,339.697,0
101,14292.525,94,7309.653,0,2245.119,0,2168.624,0,332.97,0
103,14015,95,7167.718,0,2201.524,0,2126.515,0,326.505,0
105,13748.048,97,7031.19,0,2159.59,0,2086.01,0,320.286,0
107,13491.075,98,6899.766,0,2119.224,0,2047.019,0,314.299,0
109,13243.532,101,6773.165,0,2080.339,0,2009.459,0,308.532,0
111,13004.91,102,6651.126,0,2042.856,0,1973.252,0,302.973,0
113,12774.735,105,6533.407,0,2006.699,0,1938.327,0,297.611,0
115,12552.565,106,6419.783,0,1971.8,0,1904.617,0,292.435,0
117,12337.991,108,6310.043,0,1938.094,0,1872.06,0,287.436,0
119,12130.63,109,6203.992,0,1905.521,0,1840.597,0,282.605,0
121,11930.124,112,6101.446,0,1874.025,0,1810.174,0,277.934,0
123,11736.138,113,6002.236,0,1843.553,0,1780.74,0,273.415,0
125,11548.36,115,5906.2,0,1814.056,0,1752.248,0,269.04,0
127,11366.496,117,5813.189,0,1785.488,0,1724.654,0,264.803,0
129,11190.271,120,5723.062,0,1757.806,0,1697.915,0,260.698,0
131,11019.427,0,5635.687,0,1730.969,0,1671.992,0,256.718,0
133,10853.722,0,5550.94,0,1704.94,0,1646.85,0,252.857,0
135,10692.926,0,5468.704,0,1679.681,0,1622.452,0,249.111,0
Number of Party Votes,1443545,,738275,,226757,,219031,,33630,
Percentage,54.24,,27.74,,8.52,,8.23,,1.26,
Electorate Seats,46,,23,,1,,1,,1,
List Seats,19,,10,,9,,9,,1,
Total seats,65,,33,,10,,10,,2,
