Party Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
Auckland Central,26389,9854,36243,106,54,160,16,206,36625,43627,62919,83.95,0.44
Banks Peninsula,42496,7214,49710,185,56,241,27,128,50106,56249,68134,89.08,0.48
Bay of Plenty,38614,6704,45318,189,61,250,9,86,45663,52678,64223,86.68,0.55
Botany,31064,6551,37615,200,61,261,25,159,38060,51418,65124,74.02,0.69
Christchurch Central,32786,7637,40423,241,71,312,15,189,40939,48499,65571,84.41,0.77
Christchurch East,33839,6921,40760,216,83,299,5,132,41196,48915,63850,84.22,0.73
Coromandel,40888,6339,47227,311,58,369,7,112,47715,55202,64568,86.44,0.78
Dunedin,39083,6731,45814,142,47,189,8,138,46149,53002,67167,87.07,0.41
East Coast,36378,6105,42483,229,59,288,11,122,42904,52626,66175,81.53,0.67
East Coast Bays,31956,6239,38195,148,40,188,2,154,38539,48711,64635,79.12,0.49
Epsom,32471,9357,41828,152,51,203,0,280,42311,51074,62147,82.84,0.48
Hamilton East,32484,7142,39626,239,81,320,12,161,40119,48843,67683,82.14,0.80
Hamilton West,32954,7193,40147,217,83,300,1,136,40584,49979,67010,81.20,0.74
Hutt South,38466,7159,45625,201,54,255,6,177,46063,53376,66564,86.30,0.56
Ilam,35999,7398,43397,198,50,248,16,135,43796,51466,67502,85.10,0.57
Invercargill,35629,4401,40030,271,37,308,3,116,40457,48734,64992,83.02,0.76
Kaikōura,37334,5621,42955,217,34,251,8,140,43354,50286,64383,86.21,0.58
Kaipara ki Mahurangi,36369,9400,45769,139,52,191,3,131,46094,53091,65280,86.82,0.42
Kelston,27770,7560,35330,267,100,367,20,227,35944,46306,62689,77.62,1.03
Mana,36083,7081,43164,218,60,278,16,186,43644,51795,65980,84.26,0.64
Māngere,22874,8363,31237,258,142,400,17,254,31908,46681,65515,68.35,1.26
Manurewa,21716,8237,29953,330,185,515,1,199,30668,43954,66763,69.77,1.69
Maungakiekie,29087,8142,37229,218,88,306,15,174,37724,46924,62072,80.39,0.82
Mt Albert,32837,8602,41439,189,69,258,6,276,41979,49486,60531,84.83,0.62
Mt Roskill,30676,7486,38162,259,62,321,12,254,38749,50648,66303,76.51,0.83
Napier,36237,5467,41704,237,50,287,4,112,42107,49787,63257,84.57,0.68
Nelson,38472,5887,44359,228,48,276,14,105,44754,51719,64019,86.53,0.62
New Lynn,34176,7711,41887,195,58,253,18,160,42318,51631,67217,81.96,0.60
New Plymouth,38494,5655,44149,259,47,306,0,133,44588,53016,66810,84.10,0.69
North Shore,35260,7059,42319,130,48,178,2,118,42617,51338,65331,83.01,0.42
Northcote,33441,6629,40070,163,49,212,8,130,40420,49862,65249,81.06,0.53
Northland,39385,6082,45467,289,74,363,12,118,45960,54621,67803,84.14,0.79
Ōhāriu,37057,6576,43633,175,34,209,29,118,43989,50142,62261,87.73,0.48
Ōtaki,40018,5689,45707,238,62,300,18,125,46150,53130,63263,86.86,0.65
Pakuranga,31293,6042,37335,171,46,217,0,130,37682,47643,62498,79.09,0.58
Palmerston North,33179,5650,38829,211,63,274,0,80,39183,46633,62127,84.02,0.70
Panmure-Ōtāhuhu,22723,8407,31130,333,152,485,2,84,31701,46868,67234,67.64,1.53
Papakura,31550,8476,40026,161,53,214,15,154,40409,48555,61820,83.22,0.53
Port Waikato,34068,6465,40533,226,43,269,1,117,40920,48256,59225,84.80,0.66
Rangitata,37925,4539,42464,324,83,407,14,92,42977,50472,67816,85.15,0.95
Rangitīkei,36094,5669,41763,168,48,216,2,119,42100,49029,63668,85.87,0.51
Remutaka,36707,6585,43292,217,66,283,9,130,43714,51936,67028,84.17,0.65
Rongotai,37577,7813,45390,190,69,259,5,176,45830,52325,62897,87.59,0.57
Rotorua,32399,5829,38228,201,59,260,22,211,38721,47041,63585,82.31,0.68
Selwyn,36966,6008,42974,169,50,219,2,82,43277,48411,62209,89.39,0.51
Southland,34147,5340,39487,138,26,164,2,95,39748,45936,65088,86.53,0.41
Taieri,39208,5567,44775,331,51,382,9,106,45272,52520,65309,86.20,0.85
Takanini,26979,9426,36405,224,94,318,0,134,36857,49563,66306,74.36,0.87
Tāmaki,34157,7496,41653,142,60,202,18,157,42030,49935,61742,84.17,0.48
Taranaki-King Country,34062,6624,40686,201,59,260,4,87,41037,48154,63450,85.22,0.63
Taupō,37487,6644,44131,225,50,275,1,103,44510,52945,68078,84.07,0.62
Tauranga,37087,6727,43814,270,64,334,1,118,44267,51718,66787,85.59,0.76
Te Atatū,30932,7151,38083,251,68,319,12,187,38601,49345,67421,78.23,0.83
Tukituki,36154,5886,42040,246,63,309,0,143,42492,50937,66560,83.42,0.73
Upper Harbour,32433,7946,40379,209,72,281,5,136,40801,51911,66240,78.60,0.69
Waikato,34674,6580,41254,208,55,263,1,124,41642,49128,64265,84.76,0.63
Waimakariri,40567,5900,46467,294,62,356,0,120,46943,53658,65942,87.49,0.76
Wairarapa,39701,5284,44985,235,44,279,5,146,45415,52797,64402,86.02,0.62
Waitaki,38742,5422,44164,242,31,273,20,113,44570,50521,64983,88.22,0.61
Wellington Central,38079,9835,47914,118,58,176,4,212,48306,54037,64272,89.39,0.37
West Coast-Tasman,38046,5301,43347,239,49,288,9,88,43732,50934,63677,85.86,0.66
Whanganui,35975,5080,41055,216,37,253,1,152,41461,50003,64175,82.92,0.61
Whangaparāoa,38035,7463,45498,137,43,180,4,125,45807,53087,65847,86.29,0.39
Whangārei,38796,5495,44291,244,53,297,13,72,44673,53209,67131,83.96,0.67
Wigram,32150,6740,38890,301,103,404,12,156,39462,47244,66396,83.53,1.03
General Electorate Totals,2256674,443582,2700256,14096,4082,18178,559,9340,2728333,3273567,4221168,83.34,0.67
Hauraki-Waikato,17799,6738,24537,325,200,525,16,126,25204,37031,67522,68.06,2.09
Ikaroa-Rāwhiti,19731,5681,25412,324,148,472,10,153,26047,38803,66474,67.13,1.82
Tāmaki Makaurau,19393,6908,26301,284,201,485,11,241,27038,41521,66860,65.12,1.81
Te Tai Hauāuru,19546,6303,25849,291,113,404,1,217,26471,37962,68032,69.73,1.54
Te Tai Tokerau,20582,6736,27318,321,153,474,15,174,27981,40316,68173,69.40,1.71
Te Tai Tonga,23248,6217,29465,277,140,417,2,161,30045,40054,68874,75.01,1.40
Waiariki,20671,6611,27282,263,154,417,13,242,27954,40326,67111,69.32,1.51
Māori Electorate Totals,140970,45194,186164,2085,1109,3194,68,1314,190740,276013,473046,69.11,1.69
Combined Totals,2397644,488776,2886420,16181,5191,21372,627,10654,2919073,3549580,4694214,82.24,0.73
