All Electorates,Total Party Votes,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Maori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total %
ACT New Zealand,219031,21.19,0.35,0.11,0.9,0.5,6.61,0.41,65.49,1.07,0.55,0.31,0.07,0.09,0.04,0.06,0.46,0.01,0.4,0.93,0.46,100
Advance NZ,28429,2.14,62.47,0.28,3.03,0.12,4.71,2.53,8.94,4.99,0.74,1.35,0.5,0.49,0.21,0.07,0.65,0.21,1.43,3.23,1.89,100
Aotearoa Legalise Cannabis Party,13329,2.26,2.54,14.66,13.18,0.23,33.36,6.98,7.12,1.45,1.31,2.71,0.45,0.29,0.32,0.09,0.74,0.25,2.28,4.94,4.85,100
Green Party,226757,0.56,0.22,0.23,29.32,0.09,57.39,2.5,4.79,0.18,0.25,0.29,0.04,0.09,0.19,0.02,2.09,0.02,0.37,0.65,0.72,100
HeartlandNZ,914,3.72,0.98,0.33,2.3,53.72,9.52,1.09,14.99,2.41,1.2,1.53,0.22,0.66,0,0.11,0.22,0.11,2.41,3.17,1.31,100
Labour Party,1443545,1.04,0.2,0.28,5.31,0.21,77.95,1.81,8.03,0.33,0.73,0.18,0.09,0.05,0.07,0.05,0.52,0.04,0.24,1.8,1.08,100
Maori Party,33630,0.54,1.16,0.66,5.66,0.09,22.69,55.38,4.71,0.8,0.77,0.46,0.39,0.1,0.08,0.03,0.63,0.38,0.58,1.91,2.98,100
National Party,738275,4.02,0.19,0.06,0.58,0.39,2.79,0.38,87.59,1.14,0.33,0.09,0.09,0.03,0.02,0.12,0.19,0.02,0.15,1.32,0.5,100
New Conservative,42613,0.72,0.73,0.05,0.46,0.23,3.71,0.18,25.24,64.19,0.73,0.26,0.67,0.09,0.03,0.03,0.2,0.07,0.55,1.2,0.67,100
New Zealand First Party,75020,2.67,1.16,0.38,2.43,0.51,37.82,3.8,22.24,3.34,18.1,0.73,0.44,0.34,0.17,0.08,0.58,0.12,0.97,3.2,0.93,100
NZ Outdoors Party,3256,3.96,4.58,1.38,5.56,0.21,14.22,1.72,14.25,3.16,1.69,36.92,0.43,1.01,0.58,0.25,1.38,0.18,3.65,3.35,1.5,100
ONE Party,8121,0.84,3.14,0.09,1.1,0.15,9.2,2.88,18.84,9.94,1.49,0.43,41.25,0.21,0.09,0.17,0.46,1.18,2.4,4.47,1.69,100
Social Credit,1520,1.97,2.43,0.2,4.54,0.39,20.13,0.59,12.17,3.22,2.7,2.11,0.53,38.36,0.53,0,1.58,0.07,3.03,4.41,1.05,100
Sustainable New Zealand Party,1880,3.88,1.28,0.53,16.7,0.48,20.21,1.06,24.15,1.91,1.7,2.93,0.37,0.64,13.3,0.27,2.61,0.21,3.46,3.46,0.85,100
TEA Party,2414,4.56,0.95,0.37,2.9,0.04,12.14,0.41,30.12,2.11,0.41,0.99,0.41,0.08,0.54,32.56,0.54,0.08,2.15,7,1.62,100
The Opportunities Party (TOP),43449,2.96,0.77,0.35,11.53,0.26,35.37,1.93,18.17,1.02,0.83,0.74,0.23,0.26,0.41,0.05,21.53,0.06,1.26,1.36,0.92,100
Vision New Zealand,4237,0.97,4.67,0.57,3.56,0.09,12.84,14.87,11.47,5.17,1.65,0.9,3.61,0.14,0.12,0.17,0.28,20.84,1.51,12.41,4.15,100
Informal Party Votes,21372,0.95,0.7,0.41,1.85,0.19,25.46,1.86,12.26,0.88,0.64,0.22,0.19,0.07,0.06,0.07,0.15,0.11,0.47,50.93,2.51,100
Total Party Votes and Percentages,2907792,3.36,0.91,0.28,5.58,0.29,46.68,2.09,33.15,1.71,1.04,0.27,0.23,0.09,0.08,0.1,0.87,0.07,0.32,1.96,0.91,100
