Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Auckland Central,2724,198,99,6937,1,16751,111,7680,197,622,15,20,7,59,35,776,11,36243,160
Banks Peninsula,3478,424,133,7089,4,25091,144,10453,626,991,37,69,22,41,10,1083,15,49710,241
Bay of Plenty,4571,712,244,2159,12,19398,195,14758,972,1337,42,83,10,31,11,754,29,45318,250
Botany,2563,159,76,1236,5,17900,70,13970,536,541,15,85,4,26,152,237,40,37615,261
Christchurch Central,2507,325,257,5168,2,21681,142,7921,478,862,24,92,20,24,11,887,22,40423,312
Christchurch East,2511,357,256,3447,8,24563,141,6760,827,1015,67,135,20,33,6,582,32,40760,299
Coromandel,4602,733,171,2658,14,20568,116,15471,772,1429,120,103,15,30,6,401,18,47227,369
Dunedin,2423,213,112,8165,0,25377,151,6477,415,978,35,61,57,42,8,1291,9,45814,189
East Coast,3305,734,183,2351,5,21412,320,11452,463,1462,55,217,13,9,6,387,109,42483,288
East Coast Bays,3365,237,83,2353,3,15372,65,14658,683,657,32,37,13,29,161,436,11,38195,188
Epsom,4355,147,36,4596,6,15078,108,15668,211,609,7,27,8,30,112,822,8,41828,203
Hamilton East,2744,291,126,3171,7,19471,193,10875,796,836,27,113,14,17,20,868,57,39626,320
Hamilton West,2779,390,214,2279,4,21136,212,10161,824,1029,44,133,15,21,9,837,60,40147,300
Hutt South,2568,309,112,4301,3,25159,201,10033,528,1071,38,201,9,30,25,986,51,45625,255
Ilam,3807,210,77,4489,3,19497,108,12861,533,769,45,54,20,41,21,856,6,43397,248
Invercargill,3846,406,220,1386,8,19252,76,11996,862,1218,44,158,81,20,16,433,8,40030,308
Kaikōura,4917,390,139,2282,4,19159,70,13007,798,1247,124,246,35,27,7,493,10,42955,251
Kaipara ki Mahurangi,5158,671,146,2887,7,18451,126,15547,682,1181,59,142,41,54,16,591,10,45769,191
Kelston,1543,294,135,2929,4,22081,185,6121,484,915,14,109,14,13,61,408,20,35330,367
Mana,2403,349,148,4187,4,25271,242,7976,425,954,22,233,12,20,6,857,55,43164,278
Māngere,483,333,128,1246,3,24167,280,2846,540,862,9,79,11,12,9,127,102,31237,400
Manurewa,519,250,136,907,8,22137,245,3904,505,861,9,80,6,14,37,139,196,29953,515
Maungakiekie,2660,206,99,3403,2,18895,159,9668,416,780,18,66,7,24,82,697,47,37229,306
