Actual Quotients for Party List Seat Allocation,,,,,,,,,,,,
Party List Seat Allocation,,,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,Green Party,Seat No.,ACT New Zealand,Seat No.,New Zealand First Party,Seat No.,Māori Party,Seat No.
1,1085851,1,767540,2,330907,4,246473,6,173553,8,87844,15
3,361950.333,3,255846.667,5,110302.333,12,82157.667,18,57851,24,29281.333,47
5,217170.2,7,153508,10,66181.4,21,49294.6,28,34710.6,40,17568.8,77
7,155121.571,9,109648.571,13,47272.429,29,35210.429,38,24793.286,55,12549.143,108
9,120650.111,11,85282.222,16,36767.444,36,27385.889,50,19283.667,70,9760.444,0
11,98713.727,14,69776.364,20,30082.455,45,22406.636,60,15777.545,85,7985.818,0
13,83527,17,59041.538,23,25454.385,53,18959.462,72,13350.231,101,6757.231,0
15,72390.067,19,51169.333,27,22060.467,62,16431.533,82,11570.2,117,5856.267,0
17,63873.588,22,45149.412,31,19465.118,69,14498.412,92,10209,0,5167.294,0
19,57150.053,25,40396.842,33,17416.158,78,12972.263,105,9134.368,0,4623.368,0
21,51707.19,26,36549.524,37,15757.476,86,11736.81,115,8264.429,0,4183.048,0
23,47210.913,30,33371.304,41,14387.261,95,10716.217,0,7545.783,0,3819.304,0
25,43434.04,32,30701.6,44,13236.28,102,9858.92,0,6942.12,0,3513.76,0
27,40216.704,34,28427.407,48,12255.815,110,9128.63,0,6427.889,0,3253.481,0
29,37443.138,35,26466.897,52,11410.586,120,8499.069,0,5984.586,0,3029.103,0
31,35027.452,39,24759.355,56,10674.419,0,7950.742,0,5598.484,0,2833.677,0
33,32904.576,42,23258.788,58,10027.485,0,7468.879,0,5259.182,0,2661.939,0
35,31024.314,43,21929.714,63,9454.486,0,7042.086,0,4958.657,0,2509.829,0
37,29347.324,46,20744.324,65,8943.432,0,6661.432,0,4690.622,0,2374.162,0
39,27842.333,49,19680.513,68,8484.795,0,6319.821,0,4450.077,0,2252.41,0
41,26484.171,51,18720.488,73,8070.902,0,6011.537,0,4233,0,2142.537,0
43,25252.349,54,17849.767,75,7695.512,0,5731.93,0,4036.116,0,2042.884,0
45,24130.022,57,17056.444,80,7353.489,0,5477.178,0,3856.733,0,1952.089,0
47,23103.213,59,16330.638,83,7040.574,0,5244.106,0,3692.617,0,1869.021,0
49,22160.224,61,15664.082,88,6753.204,0,5030.061,0,3541.898,0,1792.735,0
51,21291.196,64,15049.804,90,6488.373,0,4832.804,0,3403,0,1722.431,0
53,20487.755,66,14481.887,93,6243.528,0,4650.434,0,3274.585,0,1657.434,0
55,19742.745,67,13955.273,97,6016.491,0,4481.327,0,3155.509,0,1597.164,0
57,19050.018,71,13465.614,99,5805.386,0,4324.088,0,3044.789,0,1541.123,0
59,18404.254,74,13009.153,104,5608.593,0,4177.508,0,2941.576,0,1488.881,0
61,17800.836,76,12582.623,107,5424.705,0,4040.541,0,2845.131,0,1440.066,0
63,17235.73,79,12183.175,112,5252.492,0,3912.27,0,2754.81,0,1394.349,0
65,16705.4,81,11808.308,114,5090.877,0,3791.892,0,2670.046,0,1351.446,0
67,16206.731,84,11455.821,118,4938.91,0,3678.701,0,2590.343,0,1311.104,0
69,15736.971,87,11123.768,0,4795.754,0,3572.072,0,2515.261,0,1273.101,0
71,15293.676,89,10810.423,0,4660.662,0,3471.451,0,2444.408,0,1237.239,0
73,14874.671,91,10514.247,0,4532.973,0,3376.342,0,2377.438,0,1203.342,0
75,14478.013,94,10233.867,0,4412.093,0,3286.307,0,2314.04,0,1171.253,0
77,14101.961,96,9968.052,0,4297.494,0,3200.948,0,2253.935,0,1140.831,0
79,13744.949,98,9715.696,0,4188.696,0,3119.911,0,2196.873,0,1111.949,0
81,13405.568,100,9475.802,0,4085.272,0,3042.877,0,2142.63,0,1084.494,0
83,13082.542,103,9247.47,0,3986.831,0,2969.554,0,2091,0,1058.361,0
85,12774.718,106,9029.882,0,3893.024,0,2899.682,0,2041.8,0,1033.459,0
87,12481.046,109,8822.299,0,3803.529,0,2833.023,0,1994.862,0,1009.701,0
89,12200.573,111,8624.045,0,3718.056,0,2769.36,0,1950.034,0,987.011,0
91,11932.429,113,8434.505,0,3636.341,0,2708.495,0,1907.176,0,965.319,0
93,11675.817,116,8253.118,0,3558.14,0,2650.247,0,1866.161,0,944.559,0
95,11430.011,119,8079.368,0,3483.232,0,2594.453,0,1826.874,0,924.674,0
97,11194.34,0,7912.784,0,3411.412,0,2540.959,0,1789.206,0,905.608,0
99,10968.192,0,7752.929,0,3342.495,0,2489.626,0,1753.061,0,887.313,0
101,10751,0,7599.406,0,3276.307,0,2440.327,0,1718.347,0,869.743,0
Number of Party Votes,1085851,,767540,,330907,,246473,,173553,,87844,
Percentage,40.33,,28.51,,12.29,,9.16,,6.45,,3.26,
Electorate Seats,43,,17,,3,,2,,0,,6,
List Seats,5,,17,,12,,9,,8,,0,
Total seats,48,,34,,15,,11,,8,,6,
