Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,National Party,,New Zealand First Party,,Māori Party,,Other,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Auckland Central,1235,3.59,16624,48.26,2608,7.57,12728,36.95,0,0,0,0,1252,3.63,34447
Banks Peninsula,2073,4.24,8325,17.03,17464,35.72,17860,36.53,1598,3.27,0,0,1571,3.21,48891
Bay of Plenty,4202,9.43,4036,9.06,7898,17.72,23303,52.29,4025,9.03,0,0,1103,2.47,44567
Botany,1959,5.36,0,0,8446,23.12,24769,67.81,0,0,0,0,1352,3.7,36526
Christchurch Central,1395,3.6,5441,14.05,15553,40.17,13712,35.41,1563,4.04,0,0,1056,2.73,38720
Christchurch East,1679,4.38,4594,11.98,15163,39.55,12766,33.3,2030,5.3,0,0,2103,5.49,38335
Coromandel,2741,5.93,4940,10.69,7733,16.73,25082,54.28,3145,6.81,0,0,2571,5.56,46212
Dunedin,1696,4.06,8031,19.23,17111,40.97,9131,21.87,1304,3.12,0,0,4487,10.74,41760
East Coast,1923,4.88,1765,4.48,13808,35.01,17007,43.12,2517,6.38,1235,3.13,1186,3.01,39441
East Coast Bays,1584,4.15,0,0,7334,19.2,27687,72.47,0,0,0,0,1600,4.19,38205
Epsom,17826,44.82,3537,8.89,6189,15.56,9684,24.35,573,1.44,0,0,1967,4.95,39776
Hamilton East,1679,4.53,0,0,12890,34.79,17950,48.45,1206,3.25,1227,3.31,2100,5.67,37052
Hamilton West,2216,5.9,3230,8.59,11107,29.55,17595,46.82,1737,4.62,0,0,1697,4.52,37582
Hutt South,556,1.3,2492,5.82,17812,41.63,19144,44.74,1228,2.87,0,0,1554,3.63,42786
Ilam,0,0,2391,5.68,9010,21.41,18693,44.43,0,0,0,0,11980,28.47,42074
Invercargill,1990,5.39,0,0,10945,29.67,20819,56.43,0,0,0,0,3139,8.51,36893
Kaikōura,2624,6.32,2512,6.05,9329,22.47,20741,49.97,4347,10.47,0,0,1958,4.72,41511
Kaipara ki Mahurangi,2970,6.11,4739,9.74,8822,18.14,28281,58.15,2531,5.2,0,0,1292,2.66,48635
Kelston,1774,5.47,3777,11.64,14413,44.43,10017,30.88,1142,3.52,679,2.09,635,1.96,32437
Mana,1195,2.9,4232,10.29,20198,49.09,12874,31.29,1848,4.49,0,0,798,1.94,41145
Māngere,670,2.37,2700,9.57,17297,61.29,5585,19.79,0,0,934,3.31,1037,3.67,28223
Manurewa,0,0,0,0,16261,58.07,9148,32.67,0,0,1604,5.73,991,3.54,28004
Maungakiekie,1291,3.69,3138,8.96,12335,35.22,16952,48.41,920,2.63,0,0,385,1.1,35021
Mt Albert,1485,3.83,9296,23.95,13238,34.1,13220,34.06,0,0,0,0,1577,4.06,38816
Mt Roskill,2179,6.17,3379,9.57,14095,39.92,15659,44.34,0,0,0,0,0,0,35312
Napier,1215,3.04,2190,5.48,12474,31.21,21383,53.5,1729,4.33,0,0,980,2.45,39971
Nelson,2692,6.41,2791,6.64,17541,41.74,17515,41.68,0,0,0,0,1485,3.53,42024
New Lynn,2301,5.78,5376,13.51,14873,37.37,15886,39.91,0,0,0,0,1364,3.43,39800
New Plymouth,1957,4.61,0,0,15492,36.47,22483,52.92,0,0,0,0,2552,6.01,42484
North Shore,2061,5.1,3663,9.07,8562,21.19,24892,61.6,0,0,0,0,1229,3.04,40407
Northcote,962,2.54,3341,8.82,11537,30.46,20807,54.93,1048,2.77,0,0,186,0.49,37881
Northland,2135,4.71,2424,5.35,10185,22.46,16272,35.88,8143,17.96,0,0,6189,13.65,45348
Ōhāriu,759,1.79,4412,10.42,17565,41.47,16305,38.5,0,0,0,0,3313,7.82,42354
Ōtaki,1327,3.05,2946,6.78,15874,36.54,22145,50.97,0,0,0,0,1153,2.65,43445
Pakuranga,1298,3.6,0,0,7395,20.53,26105,72.47,0,0,0,0,1223,3.4,36021
Palmerston North,2841,8.11,3162,9.03,15339,43.81,12252,34.99,0,0,0,0,1418,4.05,35012
Panmure-Ōtāhuhu,1238,4.28,4312,14.91,15358,53.11,7388,25.55,0,0,0,0,622,2.15,28918
Papakura,3121,7.6,0,0,10590,25.79,24109,58.72,1728,4.21,0,0,1507,3.67,41055
Port Waikato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangitata,0,0,1784,4.46,11946,29.86,22792,56.97,2159,5.4,0,0,1327,3.32,40008
Rangitīkei,5914,14.66,3153,7.82,9160,22.71,18945,46.96,3167,7.85,0,0,0,0,40339
