All Electorates,Total Party Votes,ACT New Zealand,Animal Justice Party ,Aotearoa Legalise Cannabis Party,DemocracyNZ,Freedoms NZ,Green Party,Labour Party,Leighton Baker Party,National Party,New Conservatives,New Nation Party,New Zealand First Party,New Zealand Loyal,NewZeal,Māori Party,The Opportunities Party (TOP),Women’s Rights Party,Independents & parties with no list candidates,Candidate Informals,Party Vote Only,Total %
ACT New Zealand,246473,27.87,0.11,0.27,0.4,0.28,0.85,3.13,0.06,59.86,0.07,0.01,1.26,0.46,0.03,0.29,0.53,0,1.07,0.55,0.84,100
Animal Justice Party ,5018,4.98,15.92,1.65,0.94,1.63,15.01,20.79,0.16,18.87,0.18,0.06,3.51,2.11,0.22,2.25,1.28,0,3.61,3.25,1.73,100
Aotearoa Legalise Cannabis Party,13025,4.54,1.49,16.12,0.6,1.93,14.4,22.28,0.18,13.34,0.15,0.07,3.58,2.35,0.13,7.03,0.86,0,3.17,2.42,4.08,100
DemocracyNZ,6786,4.69,0.63,1.08,37.27,2.81,2.2,4.8,1.16,15.8,0.75,0.24,7.71,7.81,0.62,1.4,0.65,0,2.58,3.04,1.39,100
Freedoms NZ,9586,3.1,1.19,1.08,3.22,32.08,2.73,6.06,0.95,11.08,1.36,0.35,5.97,8.29,1.39,5.52,0.5,0,3.31,6.92,3.42,100
Green Party,330907,0.82,0.32,0.48,0.08,0.16,40.02,43.82,0.02,5.21,0.03,0,0.35,0.2,0.03,3.47,1.9,0,0.46,0.52,1.39,100
Labour Party,767540,0.73,0.11,0.36,0.08,0.17,6.58,77.71,0.01,4.01,0.02,0,0.82,0.15,0.03,4.05,0.52,0,0.37,1.25,2.02,100
Leighton Baker Party,2105,4.7,1.19,1.66,4.04,5.04,2.85,4.23,17.1,13.92,5.84,0.24,9.17,12.54,1.14,2.52,1.05,0,4.42,5.08,2.09,100
National Party,1085851,5.32,0.07,0.15,0.16,0.14,1.02,2.72,0.03,84.24,0.04,0.01,0.8,0.19,0.04,0.36,0.41,0,0.5,0.94,0.93,100
New Conservatives,4532,4.57,0.49,0.35,2.29,5.03,2.71,7.88,2.05,32.08,16.26,0.13,6.62,4.99,1.39,1.02,1.39,0,3.02,4.79,1.52,100
New Nation Party,1530,5.36,0.59,0.85,1.76,2.09,2.68,7.45,0.46,51.96,0.39,3.01,5.16,4.64,0.26,1.05,0.39,0,3.33,5.29,1.83,100
New Zealand First Party,173553,4.89,0.39,0.88,1.82,1.48,2.57,16.06,0.35,27.94,0.33,0.07,28.46,3.93,0.44,2.11,0.69,0,1.98,2.57,1.26,100
New Zealand Loyal,34478,3.04,0.91,1.79,3.74,3.82,2.39,3.73,1.23,8.65,0.46,0.08,7.65,47.07,0.84,2.89,0.67,0,3.29,3.83,2.35,100
NewZeal,16126,2.44,0.42,0.33,3.18,7.78,2.24,7.87,1.42,33.7,2.6,0.12,8.45,6.78,7.49,3.34,0.66,0,3.05,5.04,1.7,100
Māori Party,87844,0.36,0.16,0.74,0.08,0.64,10.41,19.89,0.02,2.13,0.02,0.02,0.58,0.33,0.04,57.62,0.49,0,0.49,0.86,4.75,100
The Opportunities Party (TOP),63344,3.56,0.58,0.87,0.35,0.36,18.5,31.69,0.08,20.32,0.11,0.01,1.23,0.59,0.17,1.59,14.94,0,1.61,1.31,1.34,100
Women’s Rights Party,2513,5.37,3.22,2.07,1.15,2.63,12.02,25.27,0.2,19.26,0.56,0,5.21,2.27,0.44,3.26,2.23,0,5.61,5.37,2.75,100
Informal Party Votes,16267,2.02,0.15,0.42,0.37,0.48,2.42,20.16,0.07,15.28,0.09,0,1.72,0.61,0.12,4.35,0.1,0,0.77,45.76,3.57,100
Total Party Votes and Percentages,2867478,5.21,0.2,0.44,0.42,0.49,7.9,29.85,0.09,41.58,0.11,0.02,2.67,1.12,0.13,3.72,0.98,0,0.71,1.41,1.48,100
