Winning Electorate Candidate Votes,,,,,,
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Auckland Central,"SWARBRICK, Chlöe Charlotte",Green Party,16624,3896,48.26%,Yes
Banks Peninsula,"WEENINK, Vanessa",National Party,17860,396,36.53%,Yes
Bay of Plenty,"RUTHERFORD, Tom",National Party,23303,15405,52.29%,Yes
Botany,"LUXON, Christopher",National Party,24769,16323,67.81%,Yes
Christchurch Central,"WEBB, Duncan",Labour Party,15553,1841,40.17%,Yes
Christchurch East,"DAVIDSON, Reuben John",Labour Party,15163,2397,39.55%,Yes
Coromandel,"SIMPSON, Scott",National Party,25082,17349,54.28%,Yes
Dunedin,"BROOKING, Rachel",Labour Party,17111,7980,40.97%,Yes
East Coast,"KIRKPATRICK, Dana Margot",National Party,17007,3199,43.12%,Yes
East Coast Bays,"STANFORD, Erica",National Party,27687,20353,72.47%,Yes
Epsom,"SEYMOUR, David Breen",ACT New Zealand,17826,8142,44.82%,Yes
Hamilton East,"HAMILTON, Ryan Alexander",National Party,17950,5060,48.45%,Yes
Hamilton West,"POTAKA, Tama William",National Party,17595,6488,46.82%,Yes
Hutt South,"BISHOP, Christopher",National Party,19144,1332,44.74%,Yes
Ilam,"CAMPBELL, Hamish George",National Party,18693,7830,44.43%,Yes
Invercargill,"SIMMONDS, Penelope Elsie",National Party,20819,9874,56.43%,Yes
Kaikōura,"SMITH, Stuart Tayler",National Party,20741,11412,49.97%,Yes
Kaipara ki Mahurangi,"PENK, Christopher Aidan",National Party,28281,19459,58.15%,Yes
Kelston,"SEPULONI, Carmel Jean",Labour Party,14413,4396,44.43%,Yes
Mana,"EDMONDS, Barbara Rachael Fati Palepa",Labour Party,20198,7324,49.09%,Yes
Māngere,"SOSENE, Lemauga Lydia",Labour Party,17297,11712,61.29%,Yes
Manurewa,"WILLIAMS, Arena",Labour Party,16261,7113,58.07%,Yes
Maungakiekie,"FLEMING, Gregory Wray",National Party,16952,4617,48.41%,Yes
Mt Albert,"WHITE, Helen",Labour Party,13238,18,34.10%,Yes
Mt Roskill,"CHEUNG, Chun Ho Carlos",National Party,15659,1564,44.34%,Yes
Napier,"NIMON, Katrina Margaret",National Party,21383,8909,53.50%,Yes
Nelson,"BOYACK-MAYER, Rachel Elizabeth",Labour Party,17541,26,41.74%,Yes
New Lynn,"GARCIA, Paulo Reyes",National Party,15886,1013,39.91%,Yes
New Plymouth,"MacLEOD, David Nigel",National Party,22483,6991,52.92%,Yes
North Shore,"WATTS, Simon Glen",National Party,24892,16330,61.60%,Yes
Northcote,"BIDOIS, Daniel Michael",National Party,20807,9270,54.93%,Yes
Northland,"McCALLUM, Grant Lewis",National Party,16272,6087,35.88%,Yes
Ōhāriu,"O'CONNOR, Gregory Eamon",Labour Party,17565,1260,41.47%,No
